entityschema;class_name;definition;parent_class;instance_of_controlled_value;direct_properties;inherited_properties;effective_properties
E1;AdministrativeUnit;Administrative territorial unit used to organize governance and jurisdiction;;Q28609;P35 | P37;;P35 | P37
E1;FishingArea;Maritime area defined for fisheries management, regulation, or reporting purposes;MaritimeAdministrativeUnit;Q13;P1 | P26 | P35 | P36 | P38 | P39 | P40;P35 | P37;P1 | P26 | P35 | P36 | P37 | P38 | P39 | P40
E1;LandAdministrativeUnit;Administrative unit representing a land-based territorial division;AdministrativeUnit;Q379;P35;P35 | P37;P35 | P37
E1;MaritimeAdministrativeUnit;Administrative unit representing a maritime jurisdiction or management area;AdministrativeUnit;Q28608;P35;P35 | P37;P35 | P37
E1;MaritimeDistrict;Maritime administrative unit responsible for the administration of one or more ports and coastal areas;MaritimeAdministrativeUnit;Q138;P3 | P7 | P26 | P35;P35 | P37;P3 | P7 | P26 | P35 | P37
E1;MaritimeProvince;Maritime administrative unit grouping one or more maritime districts under a common administration;MaritimeAdministrativeUnit;Q63;P3 | P5 | P6 | P35 | P43;P35 | P37;P3 | P5 | P6 | P35 | P37 | P43
E1;SpanishAutonomousCommunity;First-level administrative division of Spain with autonomous governmental powers;LandAdministrativeUnit;Q28610;P35 | P43;P35 | P37;P35 | P37 | P43
E2;Equipment;Physical equipment or device associated with fishing or maritime activities;;Q467;P35;;P35
E2;FishingVessel;Vessel specifically designed or authorized to perform fishing activities;Vessel;Q24;P9 | P10 | P14 | P15 | P16 | P17 | P20 | P21 | P22 | P24 | P25 | P28 | P29 | P30 | P35 | P49 | P51 | P55 | P57 | P58 | P59;P11 | P12 | P23 | P26 | P27 | P31 | P32 | P34 | P35 | P37 | P41 | P56;P9 | P10 | P11 | P12 | P14 | P15 | P16 | P17 | P20 | P21 | P22 | P23 | P24 | P25 | P26 | P27 | P28 | P29 | P30 | P31 | P32 | P34 | P35 | P37 | P41 | P49 | P51 | P55 | P56 | P57 | P58 | P59
E2;Material;Material or substance used in the construction or operation of vessels or equipment;;Q482;P26 | P35;;P26 | P35
E2;OnboardEquipment;Equipment installed or carried on board a vessel;VesselEquipment;Q470;P35;P35;P35
E2;Vessel;Watercraft used for navigation or maritime operations;;Q23;P11 | P12 | P23 | P26 | P27 | P31 | P32 | P34 | P35 | P37 | P41 | P56;;P11 | P12 | P23 | P26 | P27 | P31 | P32 | P34 | P35 | P37 | P41 | P56
E2;VesselEquipment;Equipment intended for installation or use on a vessel;Equipment;Q468;P35;P35;P35
E2;VesselSupportingFishingRelatedActivities;Vessel supporting fishing-related activities other than direct fishing operations;Vessel;Q398;P35 | P51;P11 | P12 | P23 | P26 | P27 | P31 | P32 | P34 | P35 | P37 | P41 | P56;P11 | P12 | P23 | P26 | P27 | P31 | P32 | P34 | P35 | P37 | P41 | P51 | P56
E3;FishingPort;Port where fishing vessels operate and fishery-related activities are conducted;Port;Q62;P35;P3 | P26 | P35 | P37 | P42 | P45 | P60;P3 | P26 | P35 | P37 | P42 | P45 | P60
E3;IndustrialPort;Port primarily intended for industrial or commercial maritime operations;Port;Q144;P35;P3 | P26 | P35 | P37 | P42 | P45 | P60;P3 | P26 | P35 | P37 | P42 | P45 | P60
E3;Port;Maritime facility where vessels dock for loading, unloading, or other operations;;Q609;P3 | P26 | P35 | P37 | P42 | P45 | P60;;P3 | P26 | P35 | P37 | P42 | P45 | P60
E4;Category;Controlled classification used to group entities sharing common characteristics;;Q473;P18 | P26 | P35 | P52 | P54;;P18 | P26 | P35 | P52 | P54
E4;FishingGearCategory;Controlled classification of fishing gear types;Category;Q472;P35 | P53;P18 | P26 | P35 | P52 | P54;P18 | P26 | P35 | P52 | P53 | P54
E4;FishingVesselCategory;Controlled classification of fishing vessel types;VesselCategory;Q399;P35;P18 | P26 | P35 | P52 | P53 | P54;P18 | P26 | P35 | P52 | P53 | P54
E4;VesselCategory;Controlled classification of vessel types;Category;Q471;P35 | P53;P18 | P26 | P35 | P52 | P54;P18 | P26 | P35 | P52 | P53 | P54
E4;VesselSupportingFishingRelatedActivitiesCategory;Controlled classification of vessels supporting fishing-related activities;VesselCategory;Q448;P35;P18 | P26 | P35 | P52 | P53 | P54;P18 | P26 | P35 | P52 | P53 | P54
