property_id;label;definition;wikibase_datatype;unit;property_roles;used_as_main_property;used_as_qualifier;used_as_reference_property;qualifies_properties;domain;range_type;range_or_controlled_values;cardinality;minimum_count;maximum_count;allowed_qualifiers
P1;defined by;Legal or normative instrument defining the entity.;string;;main statement property;yes;no;no;;FishingArea;literal_datatype;xsd:string;FishingArea:?;FishingArea:0;FishingArea:1;
P2;ID;Unique identifier assigned to the entity.;string;;"Defined for future extensions; not currently instantiated in the knowledge graph.";no;no;no;;—;—;—;—;—;—;
P3;belongs to administrative unit;Administrative unit to which the entity belongs.;wikibase-item;;main statement property;yes;no;no;;MaritimeDistrict | MaritimeProvince | Port;entity_class;AdministrativeUnit | MaritimeProvince | SpanishAutonomousCommunity;MaritimeDistrict:1 | MaritimeProvince:1 | Port:*;MaritimeDistrict:1 | MaritimeProvince:1 | Port:0;MaritimeDistrict:1 | MaritimeProvince:1 | Port:unbounded;
P4;has delimitation;Spatial delimitation associated with the entity.;geo-shape;;"Defined for future extensions; not currently instantiated in the knowledge graph.";no;no;no;;—;—;—;—;—;—;
P5;plate name;Official plate or registration plate designation.;string;;main statement property;yes;no;no;;MaritimeProvince;literal_datatype;xsd:string;MaritimeProvince:1;MaritimeProvince:1;MaritimeProvince:1;
P6;flag;Flag associated with the maritime administrative unit.;commonsMedia;;main statement property;yes;no;no;;MaritimeProvince;unrestricted;.;MaritimeProvince:1;MaritimeProvince:1;MaritimeProvince:1;
P7;has ports;Ports belonging to or administered by the entity.;wikibase-item;;main statement property;yes;no;no;;MaritimeDistrict;entity_class;Port;MaritimeDistrict:1;MaritimeDistrict:1;MaritimeDistrict:1;
P8;has demarcation;Maritime demarcation associated with the entity.;geo-shape;;"Defined for future extensions; not currently instantiated in the knowledge graph.";no;no;no;;—;—;—;—;—;—;
P9;external marking;External identification marking displayed by the vessel.;string;;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:string;FishingVessel:1;FishingVessel:1;FishingVessel:1;
P10;registration number;Official registration number assigned to the vessel.;string;;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:string;FishingVessel:1;FishingVessel:1;FishingVessel:1;
P11;registration place;Port or place where the vessel is registered.;wikibase-item;;main statement property;yes;no;no;;Vessel;entity_class;FishingPort;Vessel:*;Vessel:0;Vessel:unbounded;
P12;CFR;Community Fleet Register identifier.;string;;main statement property;yes;no;no;;Vessel;literal_datatype;xsd:string;Vessel:1;Vessel:1;Vessel:1;
P13;IRCS;International Radio Call Sign assigned to the vessel.;string;;qualifier property;no;yes;no;P28;P28;literal_datatype;xsd:string;P28:+;P28:1;P28:unbounded;
P14;UVI;Unique Vessel Identifier.;string;;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:string;FishingVessel:?;FishingVessel:0;FishingVessel:1;
P15;MMSI;Maritime Mobile Service Identity.;string;;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:string;FishingVessel:?;FishingVessel:0;FishingVessel:1;
P16;LOA;Length overall of the vessel, expressed in metres;quantity;metres;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:quantity;FishingVessel:1;FishingVessel:1;FishingVessel:1;
P17;LBP;Length between perpendiculars of the vessel, expressed in metres;quantity;metres;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:quantity;FishingVessel:?;FishingVessel:0;FishingVessel:1;
P18;has parent category;Parent category in a controlled classification.;wikibase-item;;main statement property;yes;no;no;;Category;entity_class;Category;Category:?;Category:0;Category:1;
