reference_url;source_resource;provider;resource_type;dynamic;version_or_snapshot;licence_or_reuse_conditions;main_contribution
https://webgate.ec.europa.eu/fleet-europa;European Fleet Register;Directorate-General for Maritime Affairs and Fisheries (European Commission);Online vessel registry;yes;December 2025;CC BY 4.0;Primary vessel registry, administrative identifiers, and technical vessel metadata.
https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Search;Spanish General Register of the Fishing Fleet;Ministerio de Agricultura, Pesca y Alimentación (Spain);Online vessel registry consultation service;yes;March 2026;Law 37/2007, as amended by Royal Decree-Law 24/2021;Additional vessel identifiers, operational metadata, and technical characteristics.
https://signa.ign.es/signa/;SIGNA;Instituto Geográfico Nacional (Spain);Geospatial information service;yes;February 2026;CC BY 4.0;Geospatial contextual information.
https://www.mapa.gob.es/es/pesca/temas/registro-flota/informacion-sobre-flota-pesquera;Situación de la flota pesquera española;Ministerio de Agricultura, Pesca y Alimentación (Spain);Official statistical publication or portal resource;no;2025 edition;Law 37/2007, as amended by Royal Decree-Law 24/2021;Information about number of vessels in Spanish ports per year.
https://openknowledge.fao.org/handle/20.500.14283/cb5201en;International Standard Statistical Classification of Fishery Vessels by Vessel Types (ISSCFV);Food and Agriculture Organization;Controlled classification standard;no;Rev. 1 (2019);"FAO copyright; reuse subject to the FAO Terms and Conditions. Non-commercial reuse with attribution is permitted; commercial reuse requires permission.";Standardised vessel classification hierarchy and vessel-type categories.
https://data.apps.fao.org/catalog/dataset/cwp-isscfg;International Standard Statistical Classification of Fishing Gear (ISSCFG);Food and Agriculture Organization;Controlled classification standard;no;2016.1;CC BY 3.0 IGO;Fishing gear classification taxonomy and gear-category definitions.
https://msi.nga.mil/Publications/WPI;World Port Index (WPI);National Geospatial-Intelligence Agency;Port gazetteer;yes;March 2026;Public domain (Title 17 U.S.C.);Port identifiers, geospatial coordinates, and port metadata.
https://www.data.gouv.fr/datasets/liste-des-ports-du-systeme-ers-avec-donnees-de-position;Liste des ports du système ERS avec données de position;Centre National de Surveillance des Pêches (France);Versioned downloadable port dataset;yes;March 2026;Etalab Open Licence 2.0;European ERS port identifiers, port metadata, and georeferenced port-position information.
https://www.fao.org/fishery/en/area;FAO Major Fishing Areas;Food and Agriculture Organization;Maritime-area classification and information resource;yes;March 2026;"FAO copyright; reuse subject to the FAO Terms and Conditions. Non-commercial reuse with attribution is permitted; commercial reuse requires permission.";Maritime spatial divisions and fishing-area hierarchies.
https://www.boe.es/eli/es/rd/2007/05/18/638/con;Boletín Oficial del Estado (BOE);Government of Spain;Legal and regulatory publication;no;BOE-A-2007-10951;Law 37/2007, as amended by Royal Decree-Law 24/2021;Information related to administrative boundaries and territorial metadata.
