Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
BEL;BEL000021964;8523448;DES;2023-02-27;2023-02-27;002;O.2;MIKE MICHEL JR;BEOST;Oostende (Ostend);OPAB;Y;Y;Y;Y;N;Y;205308000;FX;TBB;OTB;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000041982;;RET;1996-11-15;1996-11-15;004;BOU 4;ASTRID;BOEKH;;OPAD;Y;N;N;Y;;N;;TU;TBB;NO;;;;;13.85;12.58;0.00;15.67;0.00;79.00;0.00;2;1982-09-06;E10;;;PA;1982-01-01
BEL;BEL000061930;;DES;1996-08-30;1996-08-30;006;BOU 6;ANJA;BOEKH;;OPAF;Y;N;N;Y;;N;;FX;TBB;NO;;;;;16.62;13.56;0.00;29.79;0.00;103.00;0.00;2;1930-12-31;E10;;;PA;1930-01-01
BEL;BEL000071985;8530257;EXP;2018-04-24;2018-04-24;007;BOU.7;DE ENIGE ZOON;BOEKH;;OPAG;Y;Y;Y;Y;;N;;TU;TBB;NO;;;;;19.10;16.67;57.00;0.00;0.00;219.00;0.00;2;1986-06-06;MFL;NLD;EX;PA;1985-01-01
BEL;BEL000081967;8341096;MOD;2025-01-01;2100-12-31;008;Z.8;AQUARIUS;BEZEE;Zeebrugge;OPAH;Y;Y;Y;Y;N;Y;205264000;FX;TBB;OTB;;;;;21.91;19.31;58.00;0.00;0.00;220.00;0.00;2;1967-07-01;MFL;;;;1967-01-01
BEL;BEL000091953;;DES;1995-01-30;1995-01-30;009;O.9;STERN;OOSTE;;OPAI;Y;N;N;Y;;N;;FX;TBB;NO;;;;;26.32;23.12;97.00;0.00;0.00;221.00;0.00;2;1983-02-22;E10;;;AC;1953-01-01
BEL;BEL000131928;;RET;1989-01-30;1989-01-30;013;K.13;VIJF GEBROEDERS;KIELD;;OPAM;Y;N;N;Y;;N;;FX;TBB;NO;;;;;16.26;13.57;0.00;19.05;0.00;154.00;0.00;2;1928-07-01;BIN;;;PA;1928-01-01
BEL;BEL000131989;8564404;DES;2021-08-22;2021-08-22;013;O.13;MORGENSTER;BEOST;Oostende (Ostend);OPAM;Y;Y;Y;Y;;Y;205017000;FX;TBB;OTB;;;;;23.94;21.14;94.00;0.00;0.00;218.00;0.00;2;1989-02-15;MFL;;;;1989-01-01
BEL;BEL000241964;8564480;RET;2021-09-07;2021-09-07;024;BOU.24;ZEEVONK;BEBHE;Boekhoute;OPAX;Y;Y;Y;Y;;Y;205632000;FX;TBB;OTB;;;;;19.04;16.64;44.00;0.00;0.00;202.00;0.00;2;1964-07-01;MFL;;;;1964-01-01
BEL;BEL000281932;;RET;1996-01-17;1996-01-17;028;Z.28;ANN;ZEEBR;;OPBB;Y;Y;N;Y;;N;;FX;TBB;NO;;;;;16.19;13.39;0.00;28.67;0.00;88.00;0.00;2;1932-09-26;E10;;;PA;1932-01-01
BEL;BEL001191970;8432601;EXP;1992-06-30;1992-06-30;119;BOU.119;JOZINA;BOEKH;;OPEO;Y;N;N;Y;;N;;MO;TBB;NO;;;;;19.54;16.92;55.00;0.00;0.00;221.00;0.00;2;1970-07-01;C10;NLD;;PA;1970-01-01
BEL;BEL001391987;;EXP;1994-06-01;1994-06-01;139;BOU.139;BOLLEKE;BOEKH;;OPFI;Y;N;N;Y;;N;;FX;TBB;NO;;;;;11.13;9.80;13.00;0.00;0.00;114.00;0.00;2;1987-07-01;C10;NLD;;PA;1987-01-01
BEL;BEL002011991;;EXP;1994-08-17;1994-08-17;201;Z.201;ADRIANA-MARIA;ZEEBR;;OPHS;Y;Y;N;Y;;N;;FX;TBB;NO;;;;;23.90;20.86;156.00;0.00;0.00;220.00;0.00;2;1991-04-19;C10;NLD;EX;PA;1991-01-01
BEL;BEL003191989;8816120;EXP;2004-07-22;2004-07-22;319;Z.319;AVONTUUR;ZEEBR;;OPMG;Y;Y;Y;Y;;N;;TU;TBB;NO;;;;;40.25;35.86;469.00;0.00;0.00;882.00;0.00;2;1989-12-12;MFL;GBR;EX;PA;1989-01-01
BEL;BEL010201971;;EXP;1999-03-25;1999-03-25;020;O.20;GOEWIND;OOSTE;;OPAT;Y;Y;N;Y;;N;;FX;TBB;NO;;;;;14.31;12.28;29.00;25.80;0.00;110.00;0.00;2;1971-08-17;4A1;NLD;EX;PA;1971-01-01
BEL;BEL010231930;;DES;2003-03-13;2003-03-13;720;O.720;GEOFFREY WILLIAM;OOSTE;;OQCT;Y;N;Y;Y;;N;;FX;TBB;OTB;;;;;20.14;17.37;41.00;0.00;0.00;219.00;0.00;2;1971-09-02;MFL;;;PA;1930-01-01
BEL;BEL010291967;8745424;MOD;2021-02-03;2100-12-31;029;O.29;BROODWINNER;BEOST;Oostende (Ostend);OPBC;Y;Y;Y;Y;;Y;205150000;FX;TBB;OTB;;;;;27.20;23.58;109.00;0.00;0.00;221.00;0.00;2;1967-10-10;MFL;;;;1967-01-01
BEL;BEL010321935;;EXP;1991-04-09;1991-04-09;032;O.32;JESSICA;OOSTE;;OPBF;Y;N;N;Y;;N;;FX;TBB;NO;;;;;13.50;12.39;0.00;18.44;0.00;99.00;0.00;1;1935-05-08;ZEE;NLD;EX;PA;1935-01-01
BEL;BEL010322007;;EXP;2015-07-14;2015-07-14;032;N.32;JOLLY JUMPER;NIEUW;;OPBF;Y;Y;Y;Y;;N;;MO;OTB;NO;;;;;11.78;11.77;21.00;0.00;0.00;221.00;0.00;3;2007-08-20;MFL;IRL;EX;PA;2007-01-01
BEL;BEL010331976;7936791;MOD;2021-01-12;2100-12-31;033;O.33;MARBI;BEOST;Oostende (Ostend);OPBG;Y;Y;Y;Y;;Y;205275000;FX;TBB;OTB;;;;;34.80;31.03;254.00;0.00;0.00;1200.00;0.00;2;1976-04-09;MFL;;;;1976-01-01
BEL;BEL010351961;;EXP;1996-12-31;1996-12-31;035;Z.35;VILI;ZEEBR;;OPBI;Y;Y;N;Y;;N;;FX;TBB;NO;;;;;27.20;23.30;99.00;0.00;0.00;382.00;0.00;2;1962-04-18;E10;NLD;EX;PA;1961-01-01
BEL;BEL010511983;8308642;MOD;2021-10-11;2100-12-31;051;O.51;STORMVOGEL;BEOST;Oostende (Ostend);OPBY;Y;Y;Y;Y;;Y;205277000;FX;TBB;OTB;;;;;33.00;27.16;254.00;0.00;0.00;1119.00;0.00;2;1983-03-31;MFL;;;;1983-01-01
BEL;BEL010621963;8559722;MOD;2025-01-06;2100-12-31;062;O.62;DINI;BEOST;Oostende (Ostend);OPCJ;Y;Y;Y;Y;N;Y;205315000;FX;TBB;OTB;;;;;21.97;19.32;44.00;0.00;0.00;221.00;0.00;2;1963-07-01;MFL;;;;1963-01-01
