Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
BGR;BGR000203141;;RET;2016-03-16;2016-03-16;141;БС 141;БС 141;BGBOJ;Burgas;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;6.87;0.00;1.30;0.00;0.00;33.10;0.00;1;1988-02-17;MFL;;;PA;1988-01-01
BGR;BGR001010017;;MOD;2025-02-04;2100-12-31;ВН9370;ВН9370;ЕЛЕКТА 1;BGVAR;Varna;LZH3888;Y;Y;Y;Y;N;Y;207838880;FX;TBB;GNS;;;;;16.00;0.00;39.04;0.00;0.00;316.26;0.00;2;2024-01-22;MFL;;;PA;2017-01-01
BGR;BGR001010070;;DES;2013-04-19;2013-04-19;70;ВН70;СЛАВИНО;BGVAR;Varna;LZUR;Y;N;N;N;Y;N;;FX;GNS;GND;;;;;22.80;22.50;73.00;0.00;0.00;99.29;32.00;2;2004-09-16;MFL;;;AC;1948-01-01
BGR;BGR001010390;;MOD;2017-12-31;2100-12-31;390;ВН390;ДЕЛТА;BGVAR;Varna;LZH2228;Y;N;Y;Y;N;Y;207822280;FX;GNS;PTM;;;;;22.50;0.00;83.20;0.00;0.00;294.20;30.00;2;2002-12-27;MFL;;;PA;1998-01-01
BGR;BGR001010393;;MOD;2024-07-05;2100-12-31;393;ВН393;ТАИС;BGVAR;Varna;LZSU;Y;Y;Y;Y;N;Y;207293000;FX;OTM;GNS;;;;;19.40;17.30;46.00;0.00;0.00;378.00;35.00;2;2004-05-05;MFL;;;PA;1997-01-01
BGR;BGR001010408;;MOD;2018-01-09;2100-12-31;408;ВН408;Данчовото Георги;BGVAR;Varna;LZH2323;Y;N;Y;Y;N;Y;207823230;FX;GNS;GNS;;;;;23.80;21.50;58.70;0.00;0.00;368.00;0.00;2;2007-10-03;MFL;;;PA;2007-01-01
BGR;BGR001010422;8533431;MOD;2018-01-05;2100-12-31;ВН 422;ВН 422;ХАРАСИМОВ МЛАДШИ;BGVAR;Varna;LZH2732;Y;N;Y;Y;N;Y;207827320;FX;OTM;GNS;;;;;27.20;23.62;78.61;0.00;0.00;574.00;0.00;2;2009-11-12;MFL;;;PA;2009-01-01
BGR;BGR001010440;8532669;MOD;2025-03-05;2100-12-31;440;ВН 440;ИРИНА;BGVAR;Varna;LZH2928;Y;Y;Y;Y;N;Y;207829280;FX;GNS;PTM;;;;;25.00;23.35;76.33;0.00;0.00;661.70;0.00;2;2013-03-21;MFL;;;PA;1998-01-01
BGR;BGR001020395;;RET;2011-01-17;2011-01-17;395;Вн 395;Емона;BGVAR;Varna;;N;N;N;N;Y;N;;FX;OTM;GNS;;;;;21.00;0.00;71.00;0.00;0.00;195.00;28.00;1;2004-12-28;MFL;;;PA;1948-01-01
BGR;BGR001022006;;RET;2011-08-31;2011-08-31;2006;БЛ2006;БЛ2006;BGBYL;Byala;;N;N;N;N;Y;N;;FX;LHM;NO;;;;;6.64;0.00;1.19;0.00;0.00;22.00;0.00;1;1996-08-01;MFL;;;PA;1996-01-01
BGR;BGR001022031;;RET;2020-10-27;2020-10-27;2031;БЛ2031;Аспарух;BGBYL;Byala;;N;N;Y;N;Y;N;;FX;GNS;OTM;;;;;11.65;0.00;12.63;0.00;0.00;88.26;0.00;2;2004-07-20;MFL;;;PA;1972-01-01
BGR;BGR001022838;;RET;2009-06-19;2009-06-19;2838;ОБ2838;ОБ2838;BGVAR;Varna;;N;N;N;N;Y;N;;FX;GNS;GNS;;;;;9.00;0.00;4.63;0.00;0.00;33.10;0.00;2;1997-08-11;MFL;;;PA;1997-01-01
BGR;BGR001022961;;RET;2019-02-26;2019-02-26;2961;ВН2961;ВН2961;BGVAR;Varna;;N;N;N;N;Y;N;;FX;GNS;GND;;;;;5.70;0.00;0.75;0.00;0.00;8.83;0.00;3;2006-04-03;MFL;;;PA;2006-01-01
BGR;BGR001022964;;RET;2013-04-02;2013-04-02;2964;Вн 2964;Вн 2964;BGVAR;Varna;;N;N;N;N;Y;N;;FX;GNS;GND;;;;;4.92;0.00;1.05;0.00;0.00;62.50;0.00;3;2001-06-05;MFL;;;PA;2001-01-01
