Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
CYP;CYP000000001;;RET;2010-03-30;2010-03-30;LL12804;LL12804;AYIOS GEORGIOS;10;;;N;N;N;N;;N;;FX;GTR;GNS;;;;;7.35;0.00;1.51;0.00;0.00;17.65;0.00;1;1971-12-30;MFL;;;PA;
CYP;CYP000000002;;DES;2013-10-11;2013-10-11;LL11955;LL11955;MARIA;10;;;N;N;N;N;;N;;FX;LLS;GTR;;;;;7.62;0.00;2.58;0.00;0.00;24.27;0.00;1;1974-11-13;MFL;;;AC;
CYP;CYP000000003;;RET;2010-02-17;2010-02-17;FL461;FL461;KLEIO;11;;;N;N;N;;;;;FX;GTR;GNS;;;;;8.08;0.00;2.67;0.00;0.00;16.88;0.00;1;1975-02-03;MFL;;;PA;
CYP;CYP000000004;;DES;2013-09-27;2013-09-27;LL11945;LL11945;FROSO;10;;;N;N;N;N;;N;;FX;GTR;NK;;;;;8.34;0.00;2.39;0.00;0.00;16.18;0.00;1;1975-02-15;MFL;;;AC;
CYP;CYP000000005;;RET;2010-02-17;2010-02-17;FP478;FP478;AYIOS NICOLAOS;11;;;N;N;N;;;;;FX;GTR;GNS;;;;;8.18;0.00;3.36;0.00;0.00;24.27;0.00;1;1975-03-15;MFL;;;PA;
CYP;CYP000000006;;MOD;2023-07-18;2100-12-31;LL11920;LL11920;ARXAGGELOS MIXAHL;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;GNS;;;;;8.81;0.00;3.20;0.00;0.00;60.31;0.00;1;1975-03-20;MFL;;;PA;
CYP;CYP000000007;;MOD;2024-12-18;2100-12-31;LL13231;LL13231;MEGALOXARI;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;GNS;;;;;7.30;0.00;1.59;0.00;0.00;14.71;0.00;1;1975-03-20;MFL;;;PA;
CYP;CYP000000008;;RET;2017-01-23;2017-01-23;LL13468;LL13468;AYIOS GEORGIOS;10;;;N;N;N;;;;;FX;GTR;GNS;;;;;8.06;0.00;2.91;0.00;0.00;49.26;0.00;1;1976-10-25;MFL;;;PA;
CYP;CYP000000009;;MOD;2023-07-28;2100-12-31;LL12091;LL12091;EIRINI;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;9.87;0.00;4.95;0.00;0.00;26.11;0.00;1;1975-06-06;MFL;;;PA;
CYP;CYP000000010;;DES;2013-10-11;2013-10-11;LL12801;LL12801;NICOLETTA;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;7.45;0.00;2.14;0.00;0.00;16.18;0.00;1;1975-06-23;MFL;;;AC;
CYP;CYP000000011;;RET;2010-02-17;2010-02-17;FP518;FP518;ANTONIOS;11;;;N;N;N;;;;;FX;GTR;GNS;;;;;8.50;0.00;3.85;0.00;0.00;24.27;0.00;1;1975-07-14;MFL;;;PA;
CYP;CYP000000012;;RET;2012-03-22;2012-03-22;LL13658;LL13658;VRYONA;10;;;N;N;N;;;;;FX;GTR;GNS;;;;;6.67;0.00;1.33;0.00;0.00;13.24;0.00;1;1975-06-30;MFL;;;PA;
CYP;CYP000000013;;MOD;2022-02-09;2100-12-31;LL11924;LL11924;ANTRH;CYLIM;Limassol New Port;;N;Y;N;N;;N;;FX;GTR;GNS;;;;;8.05;0.00;2.34;0.00;0.00;50.73;0.00;1;1975-10-16;MFL;;;PA;
CYP;CYP000000014;;MOD;2024-09-27;2100-12-31;LL12024;LL12024;NAVARCHOS;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;8.22;0.00;3.22;0.00;0.00;70.12;0.00;1;1975-11-15;MFL;;;PA;
CYP;CYP000000015;;DES;2013-10-18;2013-10-18;LL12800;LL12800;MINAS PANTELAKIS;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;9.41;0.00;3.84;0.00;0.00;24.27;0.00;1;1976-10-25;MFL;;;AC;
CYP;CYP000000016;;RET;2015-11-06;2015-11-06;LL12092;LL12092;KARNAVALOS;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;7.55;2.17;1.54;0.00;0.00;14.71;0.00;1;1977-01-20;MFL;;;AC;
CYP;CYP000000017;;MOD;2020-06-15;2100-12-31;LL12086;LL12086;YIALOUSIANA;10;;;N;Y;N;N;;N;;FX;GTR;GNS;;;;;9.95;0.00;4.55;0.00;0.00;24.27;0.00;1;1977-12-09;MFL;;;PA;
CYP;CYP000000018;;MOD;2022-04-29;2100-12-31;LL13469;LL13469;APOSTOLOS ANDREAS;CYLIM;Limassol New Port;;N;Y;N;N;;N;;FX;LLS;GTR;;;;;10.53;0.00;6.30;0.00;0.00;24.27;0.00;1;1977-12-30;MFL;;;PA;
CYP;CYP000000019;;DES;2009-08-17;2009-08-17;FP702;FP702;MONIKA;10;;;N;N;N;;;;;FX;LLD;LLS;;;;;13.00;0.00;17.06;0.00;0.00;96.98;52.22;1;1979-06-08;MFL;;;AC;
CYP;CYP000000020;;RET;2012-03-22;2012-03-22;LL1384;LL1384;EFTHIVOULOS;10;;;N;N;N;;;;;FX;GTR;GNS;;;;;6.88;0.00;1.46;0.00;0.00;7.36;0.00;1;1982-06-08;MFL;;;PA;
CYP;CYP000000021;;MOD;2020-05-18;2100-12-31;LL12517;LL12517;ELENI;10;;;N;Y;N;N;;N;;FX;GTR;GNS;;;;;9.00;0.00;3.67;0.00;0.00;61.76;0.00;1;1983-08-21;MFL;;;PA;
CYP;CYP000000022;;MOD;2020-06-15;2100-12-31;LL12050;LL12050;KYRIAKH;10;;;N;Y;N;N;;N;;FX;GTR;GNS;;;;;8.23;0.00;2.67;0.00;0.00;29.39;0.00;1;1984-10-05;MFL;;;PA;
CYP;CYP000000023;;RET;2010-02-17;2010-02-17;FP1046;FP1046;RITA;11;;;N;N;N;;;;;FX;GTR;GNS;;;;;6.81;0.00;1.85;0.00;0.00;8.83;0.00;1;1985-07-25;MFL;;;PA;
CYP;CYP000000024;;RET;2004-09-16;2004-09-16;FP1055;FP1055;KIRKI;11;;;N;N;N;;;;;FX;GTR;GNS;;;;;9.91;0.00;6.03;0.00;0.00;52.96;0.00;1;1985-08-24;MFL;;;PA;
CYP;CYP000000025;;DES;2013-10-11;2013-10-11;LL12063;LL12063;VIKTOR;10;;;N;N;N;;;;;FX;GTR;GNS;;;;;8.18;0.00;2.65;0.00;0.00;17.65;0.00;1;1985-11-02;MFL;;;AC;
CYP;CYP000000026;;MOD;2020-06-15;2100-12-31;LL12200;LL12200;JULIA;10;;;N;Y;N;N;;N;;FX;GTR;LLS;;;;;7.25;0.00;1.93;0.00;0.00;23.54;0.00;1;1986-02-22;MFL;;;PA;
CYP;CYP000000027;;RET;2015-11-07;2015-11-07;LL12017;LL12017;ANTHOS;10;;;N;N;N;;;;;FX;GTR;GNS;;;;;7.56;0.00;1.97;0.00;0.00;70.12;0.00;1;1986-04-09;MFL;;;AC;
CYP;CYP000000028;;MOD;2020-06-15;2100-12-31;LL12525;LL12525;AYIOS NICOLAOS;10;;;N;Y;N;N;;N;;FX;GTR;GNS;;;;;8.20;0.00;3.53;0.00;0.00;16.18;0.00;1;1986-04-09;MFL;;;PA;
CYP;CYP000000029;;MOD;2019-01-14;2100-12-31;LL12838;LL12838;AYIOS CHRISTOFOROS;10;;;N;Y;N;N;;N;;FX;GTR;GNS;;;;;8.75;0.00;2.70;0.00;0.00;63.41;0.00;1;1989-03-08;MFL;;;PA;
CYP;CYP000000030;;MOD;2019-01-14;2100-12-31;LL1639;LL1639;MONIKA;10;;;N;Y;N;N;;N;;FX;GTR;GNS;;;;;8.12;0.00;2.20;0.00;0.00;22.07;0.00;1;1987-05-07;MFL;;;PA;
CYP;CYP000000031;;RET;2015-11-19;2015-11-19;LL11967;LL11967;SOFOYLLHS-MARIA;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;7.28;0.00;1.85;0.00;0.00;14.71;0.00;1;1988-01-21;MFL;;;AC;
CYP;CYP000000032;;RET;2010-03-30;2010-03-30;FP1258;FP1258;MONA LIZA;10;;;N;N;N;;;;;FX;GTR;GNS;;;;;12.75;0.00;15.75;0.00;0.00;84.58;0.00;1;1988-06-24;MFL;;;PA;
CYP;CYP000000033;;RET;2015-11-27;2015-11-27;LL12106;LL12106;AYIOS NICOLAOS;10;;;N;N;N;;;;;FX;GTR;GNS;;;;;7.25;0.00;1.60;0.00;0.00;14.71;0.00;1;1988-07-22;MFL;;;AC;
CYP;CYP000000034;;RET;2010-02-17;2010-02-17;FP1275;FP1275;THEIOS;11;;;N;N;N;;;;;FX;GTR;GNS;;;;;8.23;0.00;3.29;0.00;0.00;19.86;0.00;1;1988-09-07;MFL;;;PA;
CYP;CYP000000035;;RET;2013-03-06;2013-03-06;LL12110;LL12110;GRIGORIA;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;4.47;0.00;0.49;0.00;0.00;11.03;0.00;3;1989-02-06;MFL;;;PA;
CYP;CYP000000036;;RET;2015-11-29;2015-11-29;LL12099;LL12099;AYIA KYRIAKH;10;;;N;N;N;;;;;FX;GTR;GNS;;;;;11.04;0.00;7.18;0.00;0.00;62.00;0.00;1;1990-05-07;MFL;;;AC;
CYP;CYP000000037;;DES;2013-09-27;2013-09-27;LL12093;LL12093;AYIOS EPIFANIOS;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;8.60;0.00;3.21;0.00;0.00;36.77;0.00;1;1990-07-25;MFL;;;AC;
CYP;CYP000000038;;MOD;2019-01-14;2100-12-31;LL12202;LL12202;DOROTHEA;10;;;N;Y;N;N;;N;;FX;LLS;GTR;;;;;9.27;0.00;4.13;0.00;0.00;33.10;0.00;1;1990-07-30;MFL;;;PA;
CYP;CYP000000039;;RET;2010-02-17;2010-02-17;FP1410;FP1410;AFRICAN QUEEN;11;;;N;N;N;;;;;FX;GTR;GNS;;;;;8.26;0.00;2.71;0.00;0.00;22.07;0.00;1;1990-09-25;MFL;;;PA;
CYP;CYP000000040;;MOD;2024-01-16;2100-12-31;LL12797;LL12797;AYIOS ANTHIMOS;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;GNS;;;;;9.25;0.00;3.80;0.00;0.00;33.10;0.00;1;1991-09-16;MFL;;;PA;
CYP;CYP000000041;;MOD;2023-08-21;2100-12-31;LL11925;LL11925;GEORGIA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;GNS;;;;;9.70;0.00;5.14;0.00;0.00;93.55;0.00;1;1993-01-04;MFL;;;PA;
CYP;CYP000000042;;RET;2009-12-01;2009-12-01;LL12522;LL12522;CHIONATI;10;;;N;N;N;;;;;FX;GTR;GNS;;;;;5.40;0.00;0.54;0.00;0.00;37.30;0.00;1;1993-02-26;MFL;;;PA;
