Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
DEU;BEL011101959;;RET;2024-03-19;2024-03-19;FED10;FED10;OSTWIND;DECUX;Cuxhaven;DGDM2;Y;N;Y;Y;N;Y;211653680;TU;TBB;NK;;;;;18.00;16.20;34.00;0.00;0.00;221.00;0.00;2;1989-01-01;MFL;;;PA;1959-01-01
DEU;DEU000010300;;RET;2000-04-05;2000-04-05;NC302;NC302;ANDREA;0301;;DFPA;Y;N;N;;;;;FX;OTB;OTM;;;;;24.81;22.21;100.00;83.91;0.00;421.00;0.00;;1969-01-17;4C3;;;PA;
DEU;DEU000010400;;RET;1996-12-29;1996-12-29;HF574;HF574;JUWEL;0501;;DENU;Y;N;N;;;;;FX;LLS;OTM;;;;;26.05;23.00;170.00;128.76;0.00;423.00;0.00;;1973-01-20;G21;;;PA;
DEU;DEU000010500;;DES;1992-09-26;1992-09-26;HF348;HF348;ERNA BECKER;0501;;DECB;Y;N;N;;;;;FX;GNS;TBB;;;;;15.10;13.59;0.00;12.88;0.00;88.00;0.00;;1892-12-01;C12;;;PA;
DEU;DEU000010601;;DES;1991-12-31;1991-12-31;ROS304;ROS304;ERICH WEINERT;0601;;Y4BE;Y;N;N;;;;;FX;OTB;OTM;;;;;85.78;81.50;0.00;2431.63;0.00;1692.00;1176.00;;1962-08-30;1;;;PA;
DEU;DEU000010602;;DES;1997-06-10;1997-06-10;SAS025;SAS025;GLUECKAUF;0602;;Y4MJ;Y;N;N;;;;;FX;OTB;GNS;;;;;10.35;9.50;11.00;15.02;0.00;42.00;0.00;;1952-02-04;4C3;;;AC;
DEU;DEU000010603;;RET;1990-11-01;1990-11-01;WAR69;WAR69;WUSTROW;0603;;Y40W;Y;N;N;;;;;FX;OTB;PTB;;;;;11.95;0.00;0.00;10.09;0.00;44.00;0.00;;1956-05-01;4;;;PA;
DEU;DEU000010604;;RET;1990-12-31;1990-12-31;WIS107;WIS107;ATAIR;0604;;Y4PK;Y;N;N;;;;;FX;OTB;PTB;;;;;26.25;24.66;0.00;117.29;0.00;470.00;74.00;;1977-07-12;3;;;PA;
DEU;DEU000010606;;RET;1991-05-02;1991-05-02;KAR11;KAR11;INSEL USEDOM;0606;;Y4KX;Y;N;N;;;;;FX;OTB;OTM;;;;;26.27;24.66;0.00;117.29;0.00;470.00;49.00;;1977-02-07;3;;;PA;
DEU;DEU000010607;;RET;1992-01-08;1992-01-08;LAU01;LAU01;---;0607;;;N;N;N;;;;;FX;GNS;GNS;;;;;10.83;10.13;0.00;13.35;0.00;45.00;0.00;;1938-05-14;C19;;;PA;
DEU;DEU000010608;;RET;1990-11-29;1990-11-29;WIE31;WIE31;8. MAI;0608;;Y4TU;Y;N;N;;;;;FX;GNS;NK;;;;;11.95;0.00;0.00;15.17;0.00;44.00;0.00;;1956-07-19;4;;;PA;
DEU;DEU000010609;;RET;2005-12-08;2005-12-08;UEK1;UEK1;---;0609;;;N;N;N;;;;;FX;GNS;NK;;;;;8.60;0.00;2.00;0.00;0.00;7.00;0.00;1;1969-06-16;MFL;;;PA;1969-01-01
DEU;DEU000010610;;RET;2006-12-29;2006-12-29;BOD1;BOD1;---;0610;;;N;N;N;;;;;FX;GNS;NK;;;;;5.40;0.00;1.00;0.00;0.00;0.00;0.00;1;1981-11-14;MFL;;;PA;1981-01-01
DEU;DEU000010611;;RET;2018-12-31;2018-12-31;STA001;STA001;HEIMAT;0611;;DF8769;Y;N;N;N;;N;;GO;GNS;FPO;;;;;11.40;10.06;10.00;0.00;0.00;44.00;0.00;1;1953-02-07;MFL;;;PA;1952-01-01
DEU;DEU000010612;;RET;1998-03-23;1998-03-23;THI01;THI01;---;0612;;;N;N;N;;;;;FX;GNS;LLS;;;;;8.18;6.68;3.00;4.80;0.00;18.00;0.00;;1952-11-14;4C1;;;PA;
DEU;DEU000010613;;RET;1993-01-01;1993-01-01;BRE002;BRE002;---;0613;;;N;N;N;;;;;FX;GNS;LLS;;;;;10.79;0.00;0.00;12.95;0.00;37.00;0.00;;1935-08-12;4;;;PA;
DEU;DEU000010614;;RET;1992-03-30;1992-03-30;FRE2;FRE2;MARGARETE;0614;;Y4VA;Y;N;N;;;;;FX;GNS;OTB;;;;;13.72;0.00;0.00;18.94;0.00;44.00;0.00;;1937-06-11;G16;;;PA;
DEU;DEU000010615;;RET;1998-03-31;1998-03-31;GAG01;GAG01;---;0615;;;N;N;N;;;;;FX;GNS;GNS;;;;;8.03;7.63;4.00;5.93;0.00;18.00;0.00;;1948-07-24;4C1;;;PA;
DEU;DEU000010616;;RET;2010-05-18;2010-05-18;LAS25;LAS25;---;0616;;;N;N;N;;;;;FX;GNS;LLS;;;;;10.16;9.00;8.00;10.10;0.00;44.00;0.00;1;1949-03-30;MFL;;;PA;1949-01-01
DEU;DEU000010617;;RET;1991-08-01;1991-08-01;VIT2;VIT2;EMMI;0617;;Y4TW;Y;N;N;;;;;FX;OTB;PTB;;;;;14.75;0.00;0.00;26.00;0.00;98.00;0.00;;1940-02-21;4;;;PA;
DEU;DEU000010618;;RET;1993-07-01;1993-07-01;AHL001;AHL001;GISELA;0618;;;N;N;N;;;;;FX;GNS;LLS;;;;;9.02;7.70;0.00;9.67;0.00;44.00;0.00;;1965-04-12;4;;;PA;
DEU;DEU000010619;;DES;2022-12-01;2022-12-01;HER12;HER12;SEESCHWALBE;DEHDF;Heringsdorf;;N;N;N;N;;N;;GO;GNS;LLS;;;;;8.60;7.10;5.00;0.00;0.00;36.00;0.00;1;1978-04-03;MFL;;;AC;1978-01-01
DEU;DEU000010620;;RET;2007-03-28;2007-03-28;HER3;HER3;---;0620;;;N;N;N;;;;;FX;GNS;LLS;;;;;7.60;0.00;3.00;4.10;0.00;36.00;0.00;1;1964-05-10;MFL;;;PA;1964-01-01
DEU;DEU000010621;;RET;2022-01-01;2022-01-01;AHL43;AHL43;---;DEAHC;Ahlbeck;;N;N;N;N;;N;;GO;GNS;LLS;;;;;6.00;0.00;1.00;0.00;0.00;24.00;0.00;1;1976-05-02;MFL;;;PA;1976-01-01
DEU;DEU000010622;;RET;1994-03-22;1994-03-22;KOEL019;KOEL019;SANTA LUCIA;0622;;;N;N;N;;;;;FX;GNS;LLS;;;;;9.05;6.90;0.00;5.32;0.00;44.00;0.00;;1976-02-25;4;;;PA;
DEU;DEU000010623;;RET;1997-03-01;1997-03-01;KOS5;KOS5;---;0623;;;N;N;N;;;;;FX;GNS;LLS;;;;;7.20;0.00;1.00;3.66;0.00;5.00;0.00;;1953-04-19;4C1;;;PA;
DEU;DEU000010624;;RET;1998-03-23;1998-03-23;ZEM2;ZEM2;---;0624;;;N;N;N;;;;;FX;GNS;LLS;;;;;5.20;0.00;1.00;1.91;0.00;5.00;0.00;;1975-04-20;4C1;;;PA;
DEU;DEU000010625;;RET;2024-06-30;2024-06-30;ZIW1;ZIW1;---;DEZIN;Zinnowitz;;N;N;N;N;N;N;;GO;GNS;LLS;;;;;6.80;6.05;2.00;0.00;0.00;18.00;0.00;1;1977-03-01;MFL;;;PA;1977-01-01
DEU;DEU000010630;;RET;2006-10-25;2006-10-25;KAM47;KAM47;DRANSKE;0630;;Y4UB;Y;N;N;;;;;FX;OTB;OTM;;;;;11.95;11.49;16.00;15.17;0.00;150.00;0.00;1;1956-06-17;MFL;;;PA;1956-01-01
DEU;DEU000010631;;DES;2004-02-16;2004-02-16;AWA1;AWA1;---;0631;;;N;N;N;;;;;FX;GNS;NK;;;;;9.00;7.85;3.00;5.72;0.00;18.00;0.00;1;1981-02-15;MFL;;;PA;1981-01-01
DEU;DEU000010632;;RET;2006-05-16;2006-05-16;MOEN1;MOEN1;---;0632;;;N;N;N;;;;;FX;GNS;NK;;;;;8.05;7.10;2.00;0.00;0.00;22.00;0.00;2;1973-08-14;MFL;;;PA;1973-01-01
DEU;DEU000010633;;MOD;2004-11-04;2100-12-31;USE1;USE1;---;DEUSD;Usedom;;N;Y;N;N;Y;N;;GO;GNS;LLS;;;;;8.40;7.32;2.00;2.43;0.00;6.00;0.00;2;1978-04-15;MFL;;;;1978-01-01
DEU;DEU000010634;;RET;1995-07-17;1995-07-17;WOG001;WOG001;---;0634;;;N;N;N;;;;;FX;GNS;LLS;;;;;8.80;0.00;0.00;5.49;0.00;22.00;0.00;;1955-05-06;C19;;;PA;
DEU;DEU000010635;;RET;2007-03-21;2007-03-21;RAN2;RAN2;---;0635;;;N;N;N;;;;;FX;GNS;FPO;;;;;7.00;0.00;1.00;3.46;0.00;6.00;0.00;1;1949-03-02;MFL;;;PA;1949-01-01
DEU;DEU000010637;;MOD;2023-02-20;2100-12-31;NEU001;NEU001;LACHS;DENOZ;"Neuendorf"", Hiddensee";Y4TY;Y;Y;N;N;Y;N;;GO;GNS;OTB;;;;;11.59;11.04;17.00;0.00;0.00;100.00;0.00;1;1956-05-03;MFL;;;;1956-01-01
DEU;DEU000010638;;RET;1996-08-01;1996-08-01;LAU25;LAU25;EINHEIT;0607;;;N;N;N;;;;;FX;GNS;LLS;;;;;11.22;10.14;10.00;13.72;0.00;66.00;0.00;;1988-11-22;C19;;;PA;
DEU;DEU000010639;;RET;2023-01-19;2023-01-19;BRE60;BRE60;---;DEREQ;Breege;;N;N;N;N;N;N;;GO;GNS;LLS;;;;;10.72;10.42;7.00;0.00;0.00;37.00;0.00;1;1956-11-13;MFL;;;BO;1956-01-01
DEU;DEU000010640;;RET;1992-11-03;1992-11-03;WIR001;WIR001;MUTTLAND;0640;;;N;N;N;;;;;FX;GNS;LLS;;;;;11.35;10.85;0.00;17.05;0.00;44.00;0.00;;1951-04-12;4;;;PA;
DEU;DEU000010641;;RET;2019-01-01;2019-01-01;DRA004;DRA004;SEESTERN;0641;;;N;N;N;N;;N;;GO;GNS;LLS;;;;;9.53;8.50;9.00;0.00;0.00;81.00;0.00;1;1989-06-25;MFL;;;PA;1989-01-01
DEU;DEU000010642;;RET;1994-02-20;1994-02-20;KUEH001;KUEH001;---;0642;;;N;N;N;;;;;FX;GNS;LLS;;;;;8.87;0.00;0.00;5.56;0.00;18.00;0.00;;1975-01-01;4;;;PA;
DEU;DEU000010643;;RET;2000-01-10;2000-01-10;BOG001;BOG001;---;0643;;;N;N;N;;;;;FX;GNS;LLS;;;;;6.00;0.00;1.00;2.45;0.00;4.00;0.00;;1976-04-15;4C1;;;PA;
DEU;DEU000010644;;RET;1992-11-03;1992-11-03;GMUE1;GMUE1;---;0644;;;N;N;N;;;;;FX;GNS;LLS;;;;;4.50;0.00;0.00;1.43;0.00;0.00;0.00;;1989-04-14;C19;;;PA;
