Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
DNK;DEU000280300;;RET;1996-05-31;1996-05-31;RI75;RI75;CONNIE VINTHER;20001;;OWNQ;Y;Y;N;;;;;TO;GNS;OTB;;;;;24.71;21.60;89.40;0.00;0.00;221.00;147.00;;1983-01-01;B12;;;;
DNK;DEU300200702;;CHA;2022-03-14;2100-12-31;DEU300200702;T18;MILLE;DKNRR;Nørre Vorupør;OU8281;Y;Y;N;N;;N;;WO;GNS;LL;LLS;FPO;;;11.98;11.98;15.70;0.00;0.00;115.00;0.00;3;2001-01-01;MFL;;;;1983-01-01
DNK;DEU302520207;;RET;2018-08-25;2018-08-25;;FN226;ANDREA KLITBO;12002;;OWXZ;Y;Y;Y;Y;;Y;;TO;OTB;OTB;;;;;18.60;15.94;79.80;0.00;0.00;219.92;11.03;2;2002-01-01;MFL;;;;1982-01-01
DNK;DEU302540207;9034080;DES;2023-08-23;2023-08-23;DEU302540207;L153;MALLE;DKTHN;Thyborøn;OUOT;Y;Y;Y;Y;;Y;220166000;TOX;OTB;NO;;;;;43.80;43.80;620.00;0.00;0.00;1325.00;0.00;2;1992-01-01;MFL;;;;1992-01-01
DNK;DEU302640234;;MOD;2022-05-18;2100-12-31;DEU302640234;L383;PJEVS;DKODO;Oddesund Nord;;N;Y;N;N;;N;;WO;GNS;FPO;FYK;;;;7.28;6.56;2.90;0.00;0.00;42.00;0.00;3;2005-12-01;MFL;;;;1997-01-01
DNK;DEU400840101;;DES;2009-12-21;2009-12-21;RI568;RI568;JULI-ANE II;20001;;OVIT;Y;Y;Y;;;;;TUB;TBB;NO;;;;;17.20;15.63;43.10;0.00;0.00;221.00;0.00;2;1968-01-01;MFL;;;;1968-01-01
DNK;DEU500290105;;DES;2009-12-30;2009-12-30;L299;L299;MALLEMUKKEN;23001;;OWGC;Y;Y;Y;;;;;TUB;TBB;NO;;;;;17.82;15.47;31.80;0.00;0.00;170.00;0.00;2;1991-01-01;MFL;;;;1962-01-01
DNK;DNK000000001;;DES;2003-03-25;2003-03-25;AA22;AA22;THEA;18036;;XP2053;Y;Y;N;;;;;WO;GNS;GNS;;;;;8.00;0.00;5.80;6.85;0.00;34.00;0.00;1;1962-01-01;MFL;;;;1962-01-01
DNK;DNK000000010;;RET;2006-09-08;2006-09-08;H34;H34;RIKKE ANDREAS;29011;;;N;Y;N;;;;;MTG;OTB;GNS;;;;;9.26;0.00;5.80;5.45;0.00;36.00;0.00;1;1946-01-01;MFL;;;;1945-01-01
DNK;DNK000000013;;DES;1997-06-25;1997-06-25;L4;L4;SYNØVA;22007;;XP2089;Y;Y;N;;;;;WO;GNS;GNS;;;;;13.11;0.00;0.00;19.21;0.00;113.00;0.00;;1963-01-01;4B2;;;;
DNK;DNK000000030;;RET;1995-10-09;1995-10-09;AS33;AS33;RAMI II;16004;;XP9858;Y;Y;N;;;;;WO;GNS;LTL;;;;;8.30;0.00;0.00;7.00;0.00;40.00;0.00;;1974-01-01;B13;;;;
DNK;DNK000000032;;MOD;2022-02-11;2100-12-31;DNK000000032;FN168;GRÆSHOLM;DKQSB;"Østerby"", Læsø";OU5721;Y;Y;N;N;Y;Y;219001553;WO;OTB;FYK;FPO;GNS;;;9.95;9.95;10.40;0.00;0.00;93.00;0.00;1;1968-01-01;MFL;;;;1968-01-01
DNK;DNK000000040;;CST;2006-12-31;2100-12-31;DNK000000040;FA50;INGRID;DKSNK;"Sønderskov"", Øst For Skærbæk";5PHX;Y;Y;N;N;Y;N;;MTS;SX;NO;OTB;;;;11.89;11.65;15.70;0.00;0.00;81.00;0.00;1;1944-01-01;MFL;;;;1944-01-01
DNK;DNK000000085;;EXP;1989-07-11;1989-07-11;AS119;AS119;BENTE-LONE;16004;;OWYN;Y;Y;N;;;;;TS;OTB;NO;;;;;14.90;0.00;0.00;19.97;0.00;121.00;0.00;;1917-01-01;3;FIN;EX;PA;
DNK;DNK000000086;;RET;2005-05-31;2005-05-31;DNK000000086;AS123;PILKEN;16029;;XP2742;Y;Y;N;N;;N;;WO;GNS;LTL;NO;;;;0.00;0.00;4.10;0.00;0.00;16.00;0.00;3;1967-01-01;MFL;;;;1967-01-01
DNK;DNK000000095;;DES;2004-08-25;2004-08-25;AS109;AS109;TREÅ;16026;;5QHZ;Y;Y;N;;;;;TS;OTB;NO;;;;;12.27;0.00;16.10;13.21;0.00;81.00;0.00;1;1961-01-01;MFL;;;;1961-01-01
DNK;DNK000000122;;RET;2000-02-21;2000-02-21;SG470;SG470;HEKLA;09061;;XP2071;Y;Y;N;;;;;MTG;GNS;GNS;;;;;12.45;0.00;20.00;17.59;0.00;91.00;0.00;;1939-01-01;4B3;;;;
DNK;DNK000000123;;RET;2015-09-21;2015-09-21;H277;H277;SØPØLSEN;29011;;XP3208;Y;Y;N;;;;;MTG;GNS;OTB;;;;;10.85;0.00;10.60;0.00;0.00;93.00;0.00;1;1957-01-01;MFL;;;;1957-01-01
DNK;DNK000000125;;RET;2005-05-03;2005-05-03;DNK000000125;AS194;HANS;11002;;;N;Y;N;N;;N;;WO;GNS;LTL;NO;;;;0.00;0.00;8.00;0.00;0.00;29.00;0.00;1;1952-01-01;MFL;;;;1952-01-01
DNK;DNK000000127;;DES;1999-07-12;1999-07-12;AS202;AS202;DORTHE CLAUS;16026;;XP3317;Y;Y;N;;;;;WO;GNS;LLS;;;;;9.24;0.00;8.10;9.26;0.00;50.00;0.00;;1975-01-01;4B1;;;;
DNK;DNK000000131;;DES;1993-11-29;1993-11-29;AS222;AS222;KAMMA JESS;16029;;XP2288;Y;Y;N;;;;;TS;OTB;NO;;;;;13.70;0.00;0.00;19.97;0.00;113.00;0.00;;1964-01-01;B12;;;;
DNK;DNK000000132;;RET;2003-01-16;2003-01-16;RS63;RS63;MARGITH;16004;;XP3032;Y;Y;N;;;;;MTG;OTB;GNS;;;;;11.14;0.00;13.80;11.42;0.00;29.00;0.00;1;1943-01-01;MFL;;;;1943-01-01
DNK;DNK000000134;;CHA;2021-10-07;2100-12-31;DNK000000134;SG42;CHRISTINA CHARLOTTE;DKSPB;Spodsbjerg Havn;XP3071;Y;Y;N;N;;N;;WO;GNS;NO;;;;;8.05;8.05;2.50;0.00;0.00;34.00;0.00;3;1973-01-01;MFL;;;;1973-01-01
DNK;DNK000000152;;DES;1998-04-07;1998-04-07;AS273;AS273;ELSE;16026;;XP3123;Y;Y;N;;;;;MTG;GNS;LTL;;;;;8.76;0.00;5.10;0.00;0.00;16.00;0.00;;1973-01-01;4B3;;;;
DNK;DNK000000153;;RET;1997-06-30;1997-06-30;AS274;AS274;KYHOLM;17026;;XP2453;Y;Y;N;;;;;FX;GNS;NO;;;;;11.00;0.00;0.00;13.39;0.00;99.00;0.00;;1956-01-01;4B1;;;;
DNK;DNK000000160;;DES;1998-06-26;1998-06-26;AS305;AS305;SØREN;16026;;XP3072;Y;Y;N;;;;;WO;GNS;LTL;;;;;9.80;0.00;0.00;6.96;0.00;55.00;0.00;;1935-01-01;4B1;;;;
DNK;DNK000000172;;CHA;2011-12-14;2100-12-31;KA83;KA83;VERITAS;32014;;XP3156;Y;Y;N;;;;;WO;GNS;LTL;;;;;7.75;0.00;4.00;0.00;0.00;16.00;0.00;3;1974-01-01;MFL;;;;1974-01-01
DNK;DNK000000173;;RET;2013-06-14;2013-06-14;O35;O35;RIKKE;08018;;5PGN;Y;Y;N;;;;;MTG;OTB;GNS;;;;;9.33;0.00;6.00;0.00;0.00;46.00;0.00;1;1949-01-01;MFL;;;;1949-01-01
DNK;DNK000000174;;MOD;2013-08-27;2100-12-31;O40;O40;ILSE;08018;;OU5901;Y;Y;N;;;;;WO;GNS;OTB;;;;;7.55;0.00;1.90;0.00;0.00;22.00;0.00;3;1974-01-01;MFL;;;;1974-01-01
DNK;DNK000000181;;DES;2002-06-25;2002-06-25;AS380;AS380;ANNETTE-HELLE;13004;;XPA6588;Y;Y;N;;;;;WO;GNS;LTL;;;;;10.02;0.00;7.40;0.00;0.00;48.00;0.00;;1974-01-01;4B1;;;;
DNK;DNK000000182;;DES;1992-12-21;1992-12-21;AS400;AS400;LISSIE;16016;;5PGS;Y;Y;N;;;;;TS;OTB;NO;;;;;14.85;0.00;0.00;19.94;0.00;110.00;0.00;;1938-01-01;B12;;;;
DNK;DNK000000183;;DES;1997-01-10;1997-01-10;AS413;AS413;JENSINE;16026;;5PZT;Y;Y;N;;;;;WO;GNS;LTL;;;;;8.42;0.00;0.00;6.58;0.00;16.00;0.00;;1949-01-01;4B1;;;;
DNK;DNK000000184;;RET;2005-05-03;2005-05-03;AS414;AS414;FALKEN;11002;;;N;Y;N;;;;;WO;GNS;LTL;;;;;9.76;0.00;7.60;0.00;0.00;52.00;0.00;1;1949-01-01;MFL;;;;1949-01-01
DNK;DNK000000185;;RET;1992-10-15;1992-10-15;AS416;AS416;RITA;16026;;;N;Y;N;;;;;WO;GNS;LTL;;;;;10.15;0.00;0.00;9.39;0.00;22.00;0.00;;1937-01-01;B13;;;;
DNK;DNK000000186;;RET;2005-09-29;2005-09-29;AS417;AS417;TEJSTEN;16026;;;N;Y;N;;;;;WO;GNS;LTL;;;;;10.13;0.00;7.90;0.00;0.00;29.00;0.00;1;1953-01-01;MFL;;;;1953-01-01
DNK;DNK000000195;;RET;2002-04-09;2002-04-09;AS702;AS702;IRENE;01012;;XP2645;Y;Y;N;;;;;WO;OTB;GNS;;;;;12.34;0.00;15.20;0.00;0.00;70.00;0.00;;1907-01-01;4B3;;;;
DNK;DNK000000221;;DES;2003-03-21;2003-03-21;FN64;FN64;HELLE;12010;;XP2578;Y;Y;N;;;;;TO;GNS;GNS;;;;;14.10;0.00;22.30;0.00;0.00;213.00;0.00;1;1965-01-01;MFL;;;;1965-01-01
DNK;DNK000000239;;DES;1993-04-11;1993-04-11;L133;L133;TOMMY-LAILA;22011;;5PJB;Y;Y;N;;;;;TOX;OTB;PTM;;;;;9.80;0.00;0.00;7.00;0.00;110.00;0.00;;1952-01-01;B12;;;;
DNK;DNK000000243;;DES;2003-04-07;2003-04-07;HM103;HM103;ILSE;27015;;5QAT;Y;Y;N;;;;;TS;GNS;OTB;;;;;12.18;0.00;14.20;14.19;0.00;85.00;0.00;1;1950-01-01;MFL;;;;1950-01-01
DNK;DNK000000245;;RET;1990-03-31;1990-03-31;A168;A168;HANNELENE;27004;;XP7227;Y;Y;N;;;;;WO;GNS;LTL;;;;;8.70;0.00;0.00;7.53;0.00;48.00;0.00;;1939-01-01;4;;;;
DNK;DNK000000249;;MOD;2017-03-31;2100-12-31;DNK000000249;A201;HEIAN;25035;;XP3015;Y;Y;N;N;;N;;TT;OTB;GNS;;;;;11.99;11.99;14.60;0.00;0.00;121.00;0.00;1;1972-01-01;MFL;;;;1972-01-01
