Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
FIN;DEU000120400;8332277;MOD;2014-01-21;2100-12-31;FIN-14-V;FIN-14-V;CHRISTINA JARCHAU;V;Vaasa;OF7544;Y;Y;Y;Y;N;Y;230996190;TO;OTM;OTB;;;;;33.34;28.26;319.00;0.00;0.00;683.00;173.46;2;1983-01-01;MFL;;;PA;1983-01-01
FIN;DEU001160602;;RET;2015-05-20;2015-05-20;FIN-31613-T;FIN-31613-T;BÄRBEL;T;Turku;;N;N;N;;;;;FX;PTM;OTM;;;;;11.99;0.00;20.23;0.00;0.00;350.00;0.00;2;1998-01-01;MFL;;;PA;1998-01-01
FIN;DNK000006137;8331833;IMP;2023-08-25;2100-12-31;FIN-1151-T;FIN-1151-T;GlomskÃ¤r;T;Turku;OJUS;Y;Y;Y;Y;N;Y;230179120;TO;OTM;OTB;;;;;39.90;35.14;373.00;0.00;0.00;700.00;333.00;2;2023-08-25;MFL;SWE;;PA;1983-01-01
FIN;DNK000006814;;IMP;2025-08-13;2100-12-31;FIN-39-K;FIN-39-K;NordnÃ¦s;K;Kymi;;N;Y;N;N;Y;N;;TT;OTB;OTM;;;;;11.70;0.00;14.84;0.00;0.00;168.00;0.00;1;2025-08-13;MFL;DNK;;PA;1965-01-01
FIN;DNK000007253;;RET;2014-10-17;2014-10-17;;FIN-1137-T;DIANA;T;Turku;OJ8624;Y;N;N;N;;N;;TT;OTB;OTM;;;;;18.52;18.51;71.00;0.00;0.00;308.00;12.00;1;2009-09-02;MFL;;;PA;1959-01-01
FIN;DNK000008392;;RET;2005-12-07;2005-12-07;FIN-171-T;FIN-171-T;WINDÖ;T;Turku;OXNQ;Y;N;Y;;;;;FX;OTM;OTB;;;;;27.04;24.93;123.34;0.00;0.00;368.00;10.00;2;2001-11-12;MFL;;;PA;1960-01-01
FIN;DNK000012310;6900563;RET;2024-04-02;2024-04-02;;FIN-168-V;HANNE;V;Vaasa;OJQD;Y;N;Y;Y;N;Y;230942350;TO;OTM;OTB;;;;;34.70;31.27;247.00;0.00;0.00;749.00;175.00;2;1968-06-18;MFL;;;PA;1968-01-01
FIN;DNK000012807;;MOD;2020-02-12;2100-12-31;;FIN-1143-T;LINDESNES;T;Turku;OJQN;Y;Y;Y;Y;;Y;230069190;TT;OTB;OTM;;;;;20.60;18.68;113.00;0.00;0.00;448.00;17.00;2;1985-01-01;MFL;;;PA;1984-01-01
FIN;DNK000013087;8612110;RET;2018-10-16;2018-10-16;;AAL-127;MONICA;A;Åland;OH3858;Y;N;Y;Y;;N;;TO;OTM;PTM;;;;;19.51;17.31;110.00;0.00;0.00;368.00;0.00;2;2014-05-07;MFL;;;PA;1985-01-07
FIN;DNK000013170;7637292;RET;2021-08-17;2021-08-17;;FIN-172-V;MILTON;V;Vaasa;OH5494;Y;N;Y;Y;;Y;230083540;TO;OTM;PTM;;;;;31.70;28.24;182.00;0.00;0.00;749.00;100.00;2;1976-07-08;MFL;;;PA;1976-01-01
