Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
FRA;BEL015542000;8740814;MOD;2025-08-26;2100-12-31;934711;LO934711;ROUANEZ AN ARVOR;FRLRT;Lorient;FJZW;Y;Y;Y;Y;N;Y;228099900;FX;GNS;FPO;;;;;21.53;21.00;133.00;0.00;0.00;331.00;0.00;6;2018-05-18;MFL;;;;2000-01-01
FRA;DNK000045520;9867815;MOD;2025-01-29;2100-12-31;938270;GV938270;ASTRID;FRGVC;Guilvinec;FMUK;Y;Y;Y;Y;N;Y;228436900;FX;OTT;OTB;;;;;23.95;21.00;209.00;0.00;0.00;634.00;0.00;2;2022-09-13;MFL;;;;2019-01-01
FRA;ESP000022941;9108013;MOD;2021-10-04;2100-12-31;932998;BA932998;PLAYA DE TUYA;FRBAY;Bayonne;FIUW;Y;Y;Y;Y;;Y;228067700;FX;OTB;NO;;;;;33.50;33.00;279.00;0.00;0.00;707.00;0.00;2;2015-08-06;MFL;;;;1994-01-01
FRA;ESP000022972;9103257;MOD;2023-11-08;2100-12-31;922721;BA922721;RIO DA BOUZA;FRBAY;Bayonne;FFZU;Y;Y;Y;Y;N;Y;228004700;FX;OTB;NO;;;;;30.47;30.00;250.00;178.47;0.00;588.00;0.00;2;2011-03-22;MFL;;;;1995-01-01
FRA;ESP000022984;9108025;MOD;2024-09-03;2100-12-31;929520;BA929520;FERREIRA MARTINEZ;FRBAY;Bayonne;FLTR;Y;Y;Y;Y;N;Y;228349800;FX;OTB;NO;;;;;28.99;25.00;227.00;158.60;0.00;570.00;0.00;4;2010-07-02;MFL;;;;1994-01-01
FRA;ESP000023157;9105712;MOD;2025-09-12;2100-12-31;930430;BA930430;FARPESCA;FRBAY;Bayonne;FHZJ;Y;Y;Y;Y;N;Y;228015700;FX;OTB;NO;;;;;33.09;30.00;305.00;196.90;0.00;810.00;0.00;2;2011-09-28;MFL;;;;1996-01-01
FRA;ESP000023252;9105724;MOD;2022-08-29;2100-12-31;938261;BA938261;LAREDO;FRBAY;Bayonne;FMUJ;Y;Y;Y;N;;Y;228436800;FX;OTB;NO;;;;;36.30;34.00;315.00;0.00;0.00;734.00;0.00;2;2022-07-21;MFL;;;;1995-01-01
FRA;ESP000023601;9160645;MOD;2025-07-21;2100-12-31;931195;BA931195;MARIA VIDAL;FRBAY;Bayonne;FIFF;Y;Y;Y;Y;N;Y;228031700;FX;LLS;LLD;;;;;24.82;24.05;244.00;113.29;0.00;588.00;0.00;2;2012-11-15;MFL;;;;1997-01-01
FRA;ESP000023933;9187291;MOD;2022-06-23;2100-12-31;930501;BA930501;FARO PICAMILLO;FRBAY;Bayonne;FICU;Y;Y;Y;Y;;Y;226045000;FX;OTB;NO;;;;;32.00;29.36;298.00;191.34;0.00;588.00;0.00;2;2012-02-23;MFL;;;;1998-01-01
FRA;ESP000024117;9194189;MOD;2024-07-17;2100-12-31;935990;BA935990;PUENTEAREAS UNO;FRBAY;Bayonne;FLXH;Y;Y;Y;Y;N;Y;228378700;FX;OTB;OTM;;;;;36.00;31.76;340.00;0.00;0.00;720.00;0.00;2;2019-07-19;MFL;;;;1999-01-01
FRA;ESP000024436;9166091;MOD;2023-07-27;2100-12-31;936938;BA936938;GURE AMETZA II;FRBAY;Bayonne;FMQJ;Y;Y;Y;Y;N;Y;228413900;FX;LLS;GNS;;;;;34.00;25.00;393.00;0.00;0.00;646.00;0.00;2;2021-05-28;MFL;;;;1999-01-01
FRA;ESP000024554;8962503;MOD;2023-11-13;2100-12-31;930590;BA930590;PEDRA BLANCA II;FRBAY;Bayonne;FIDD;Y;Y;Y;Y;N;Y;228020900;FX;OTB;NO;;;;;29.38;25.00;295.00;168.33;0.00;688.00;0.00;2;2012-01-27;MFL;;;;2000-01-01
FRA;ESP000024588;9221542;MOD;2023-12-05;2100-12-31;932355;LO932355;ARGELES;FRLRT;Lorient;FIOI;Y;Y;Y;Y;N;Y;228048600;FX;OTB;NO;;;;;33.60;33.00;393.00;211.81;0.00;954.00;0.00;2;2014-11-18;MFL;;;;2000-01-01
FRA;ESP000024806;9218739;EXP;2020-05-19;2020-05-19;929795;BA929795;KIRRIXKI;BA;United Kingdom;FFZX;Y;N;Y;Y;;Y;228005600;TO;OTB;NO;;;;;37.25;30.00;361.00;273.81;0.00;1080.00;0.00;2;2011-03-30;MFL;ESP;EX;PA;2000-01-01
