Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
HRV;ESP000026387;;IMP;2024-08-28;2100-12-31;SIN KALI 1;ZD R 289016;SIN KALI 1;HRZAD;Zadar;9AA4226;Y;Y;Y;N;N;Y;238059610;FX;PS;LHP;;;;;22.00;0.00;58.00;0.00;0.00;706.00;0.00;3;2024-08-28;MFL;ESP;;PA;2005-01-01
HRV;FRA000683111;8705187;MOD;2024-06-19;2100-12-31;MUCHO;DB R 60;MUCHO;HRDBV;Dubrovnik;9A5269;Y;Y;Y;Y;N;Y;238680040;FX;OTB;LLS;;;;;22.40;0.00;132.00;0.00;0.00;492.00;0.00;2;2018-11-27;MFL;;;;1986-01-01
HRV;FRA000686455;;MOD;2023-11-17;2100-12-31;MARETA JEDAN;ST R 317;MARETA JEDAN;HRSPU;Split;9A3460;Y;Y;Y;Y;N;Y;238680040;FX;OTB;NO;;;;;16.53;0.00;78.00;0.00;0.00;324.00;0.00;2;2016-10-19;MFL;;;;1987-01-01
HRV;HRV000000001;;DES;2024-07-16;2024-07-16;391-ŠB;391-ŠB;391-ŠB;HRSIB;Šibenik;;N;N;Y;Y;Y;N;;FX;PS;NO;;;;;8.66;0.00;5.65;0.00;0.00;25.76;0.00;2;2013-07-01;MFL;;;AC;1983-01-01
HRV;HRV000000002;8570790;MOD;2025-07-17;2100-12-31;ANE;ST R 314;ANE;HRSPU;Split;9AA4801;Y;N;N;Y;N;Y;238434040;FX;PS;NO;;;;;26.21;0.00;180.88;0.00;0.00;534.00;0.00;1;2013-07-01;MFL;;;;1980-01-01
HRV;HRV000000003;;RET;2015-04-03;2015-04-03;PAČE;ŠB R 58;PAČE;SB;;9AA4802;Y;N;Y;;;;;FX;PS;OTM;;;;;34.35;0.00;341.00;0.00;0.00;698.00;1.00;2;2013-07-01;MFL;;;PA;1977-01-01
HRV;HRV000000004;;RET;2023-11-27;2023-11-27;425-CS;425-CS;425-CS;HRCRS;Cres;;N;N;N;N;Y;N;;FX;OTB;NO;;;;;14.20;0.00;12.35;0.00;0.00;106.60;0.00;2;2013-07-01;MFL;;;PA;1990-01-01
HRV;HRV000000005;;MOD;2023-12-04;2100-12-31;497-RK;497-RK;497-RK;HRRJK;Rijeka;;N;Y;N;N;Y;N;;FX;LLS;FPO;;;;;13.43;0.00;15.00;0.00;0.00;162.00;0.00;1;2013-07-01;MFL;;;;1952-01-01
HRV;HRV000000006;;CEN;2013-07-01;2100-12-31;731-ML;731-ML;731-ML;ML;United Kingdom;;N;N;N;;;;;FX;GNS;LHP;;;;;4.85;0.00;1.25;0.00;0.00;66.20;0.00;4;2013-07-01;MFL;;;;2004-01-01
HRV;HRV000000007;;RET;2025-02-21;2025-02-21;OBLIĆ;PU R 265;OBLIĆ;HRPUY;Pula;9AA5668;Y;N;Y;Y;N;N;;FX;GTR;FPO;;;;;17.53;0.00;37.00;0.00;0.00;162.00;0.00;1;2013-07-01;MFL;;;PA;1956-01-01
HRV;HRV000000008;;MOD;2014-05-26;2100-12-31;340-KK;340-KK;340-KK;KK;;;N;N;N;;;;;FX;LLS;GNS;;;;;5.90;0.00;1.66;0.00;0.00;15.30;4.80;3;2013-07-01;MFL;;;;1985-01-01
HRV;HRV000000009;;MOD;2023-12-04;2100-12-31;304-RB;304-RB;304-RB;HRRAB;Rab;;N;Y;N;N;Y;N;;FX;GNS;LLS;;;;;4.10;0.00;0.41;0.00;0.00;14.70;0.00;1;2013-07-01;MFL;;;;1992-01-01
HRV;HRV000000010;;RET;2022-04-28;2022-04-28;218-CS;218-CS;218-CS;HRCRS;Cres;;N;N;N;N;;N;;FX;FPO;LLS;;;;;9.00;0.00;3.93;0.00;0.00;41.00;0.00;1;2013-07-01;MFL;;;PA;1985-01-01
HRV;HRV000000011;8657433;MOD;2023-11-17;2100-12-31;SISOL;PU R 264;SISOL;HRPUY;Pula;9A8516;Y;Y;Y;Y;N;Y;238975610;FX;PS;NO;;;;;28.65;0.00;149.00;0.00;0.00;405.00;0.00;2;2013-07-01;MFL;;;;1997-01-01
HRV;HRV000000012;;RET;2023-12-14;2023-12-14;474-RB;474-RB;474-RB;HRRAB;Rab;;N;N;N;N;Y;N;;FX;GNS;LLS;;;;;3.71;0.00;1.00;0.00;0.00;3.67;0.00;1;2013-07-01;MFL;;;PA;1992-01-01
HRV;HRV000000013;;CEN;2013-07-01;2100-12-31;858-ŠB;858-ŠB;858-ŠB;SB;;;N;N;N;;;;;FX;FPO;GNS;;;;;9.50;0.00;4.45;0.00;0.00;41.00;0.00;1;2013-07-01;MFL;;;;1983-01-01
HRV;HRV000000014;;MOD;2023-12-04;2100-12-31;452-CS;452-CS;452-CS;HRCRS;Cres;;N;Y;N;N;Y;N;;FX;GNS;LLS;;;;;6.90;0.00;1.00;0.00;0.00;21.35;0.00;1;2013-07-01;MFL;;;;1986-01-01
HRV;HRV000000015;;MOD;2023-12-04;2100-12-31;RK-9808;RK-9808;RK-9808;HRRJK;Rijeka;;N;Y;N;N;Y;N;;FX;GNS;LLS;;;;;12.75;0.00;8.00;0.00;0.00;109.59;0.00;1;2013-07-01;MFL;;;;1979-01-01
HRV;HRV000000016;;MOD;2019-09-16;2100-12-31;604-ML;604-ML;604-ML;ML;United Kingdom;;N;N;N;N;;N;;FX;FPO;GNS;;;;;9.16;0.00;4.00;0.00;0.00;56.00;0.00;1;2013-07-01;MFL;;;;1974-01-01
HRV;HRV000000017;;CEN;2013-07-01;2100-12-31;420-RB;420-RB;420-RB;RB;;;N;Y;N;;;;;FX;GNS;LLS;;;;;4.86;0.00;0.65;0.00;0.00;3.67;0.00;1;2013-07-01;MFL;;;;1993-01-01
HRV;HRV000000018;;MOD;2025-03-25;2100-12-31;102100-LO;102100-LO;102100-LO;HRLPR;Lopar;;N;Y;N;N;Y;N;;FX;GNS;LLS;;;;;4.20;0.00;1.00;0.00;0.00;14.70;0.00;3;2013-07-01;MFL;;;;2006-01-01
HRV;HRV000000019;;RET;2017-10-26;2017-10-26;105-RB;105-RB;105-RB;RB;;;N;N;N;;;;;FX;GTR;LLS;;;;;9.05;0.00;3.88;0.00;0.00;73.00;0.00;1;2013-07-01;MFL;;;PA;1987-01-01
