Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
ITA;GBR000B12568;;EXP;2005-02-11;2005-02-11;00MV00291M;00MV00291M;ITTIPESCA QUARTO;00273;Mazara Del Vallo;I.Y.X.T;Y;Y;N;;;;;FX;OTB;NO;;;;;42.20;38.35;414.00;384.82;0.00;1350.00;0.00;2;1997-07-08;MFL;GIN;EX;AC;1983-01-01
ITA;ITA000000001;;RET;1998-05-18;1998-05-18;00AN00199;00AN00199;PINTA;00187;Ancona;;N;Y;N;;;;;FX;GNS;NK;;;;;6.98;0.00;1.00;2.78;0.00;8.80;0.00;1;1946-05-02;4H1;;;PA;1923-01-01
ITA;ITA000000002;;MOD;2009-10-28;2100-12-31;00AN00204;00AN00204;AQUILA;00187;Ancona;;N;Y;N;;;;;FX;GNS;SB;;;;;3.85;3.52;1.00;0.70;0.00;5.50;0.00;1;1934-04-25;MFL;;;;1934-01-01
ITA;ITA000000003;;EXP;1995-08-23;1995-08-23;00AN00226M;00AN00226M;LARUS;00187;Ancona;I.P.H.E;Y;Y;N;;;;;FX;OTB;NO;;;;;46.52;0.00;0.00;404.03;0.00;551.60;0.00;3;1962-06-05;G15;;;PA;1949-01-01
ITA;ITA000000004;;DES;1999-02-09;1999-02-09;00AN00299;00AN00299;GINA;00187;Ancona;;N;Y;N;;;;;FX;LLS;GNS;;;;;3.75;3.27;1.00;0.63;0.00;18.40;0.00;1;1946-04-11;4H1;;;AC;1946-01-01
ITA;ITA000000005;;MOD;2015-05-14;2100-12-31;00AN00616;00AN00616;KEVIN;00187;Ancona;;N;Y;N;;;;;FX;GNS;NO;;;;;4.04;3.06;1.00;0.61;0.00;0.00;0.00;1;1950-03-23;MFL;;;;1950-01-01
ITA;ITA000000006;;RET;2015-02-23;2015-02-23;00AN00653;00AN00653;MATILDE;00187;Ancona;;N;Y;N;;;;;FX;LLS;GNS;;;;;4.00;3.51;1.00;1.00;0.00;4.25;0.00;1;1950-06-20;MFL;;;PA;1910-01-01
ITA;ITA000000007;;DES;2017-12-05;2017-12-05;00AN00726;00AN00726;MARCO POLO;00187;Ancona;;N;Y;N;;;;;FX;LLS;GNS;;;;;5.10;4.08;1.00;1.40;0.00;7.30;0.00;1;1952-08-19;MFL;;;PA;1952-01-01
ITA;ITA000000008;;DES;2007-02-09;2007-02-09;00AN03904;00AN03904;INTREPIDO;00187;Ancona;I.P.P.N;Y;Y;Y;;;;;FX;OTB;NO;;;;;24.70;20.80;95.00;112.23;0.00;466.00;0.00;1;1982-08-21;MFL;;;AC;1979-01-01
ITA;ITA000000009;;RET;1996-05-08;1996-05-08;00AN00900;00AN00900;ROBERTO PADRE;00187;Ancona;;N;Y;N;;;;;FX;OTB;NO;;;;;14.74;0.00;0.00;22.43;0.00;44.10;0.00;1;1956-01-01;C22;;;PA;1955-01-01
