Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
LVA;DEU000150400;8716942;MOD;2022-08-16;2100-12-31;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;275312000;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DNK000006781;8612108;MOD;2022-08-02;2100-12-31;LVR0842;LVR0842;SIRIUS;RG;Riga;YL2771;Y;Y;Y;Y;N;Y;275420000;FX;OTB;OTM;;;;;33.50;32.16;246.00;0.00;0.00;633.00;35.00;2;2012-05-15;MFL;;;;1985-01-01
LVA;DNK000007384;;DES;2012-09-24;2012-09-24;LVL2144;LVL2144;SEA LADY;LA;Liepaja;YLDA;Y;N;Y;Y;N;Y;;FX;OTM;OTB;;;;;35.09;0.00;296.00;0.00;0.00;577.00;510.00;2;1985-01-01;MFL;;;AC;1985-01-01
LVA;DNK000013618;;DES;2011-04-27;2011-04-27;LVV1553;LVV1553;INGRID GAY;VP;Ventspils;YL2661;Y;N;Y;Y;N;Y;;FX;OTB;OTM;;;;;35.25;0.00;396.00;0.00;0.00;735.00;326.00;2;1984-01-01;MFL;;;AC;1984-01-01
LVA;EST010101150;8315956;MOD;2024-01-19;2100-12-31;LVR0851;LVR0851;AUSEKLIS;RG;Riga;YLPL;Y;Y;Y;Y;N;Y;275500000;FX;OTB;OTM;;;;;63.83;58.11;1410.00;0.00;0.00;1840.00;0.00;2;2020-01-23;MFL;;;;1984-01-01
LVA;EST010126471;;DES;2011-04-08;2011-04-08;LVL2139;LVL2139;ESTA;LA;Liepaja;YL2550;Y;N;Y;Y;N;Y;;FX;GNS;NO;;;;;27.10;24.60;89.00;0.00;0.00;165.00;0.00;2;1973-12-31;MFL;;;AC;1973-01-01
LVA;EST090617002;8970823;EXP;2020-09-08;2020-09-08;LVL2146;LVL2146;VIVITA;LA;Liepaja;YL2791;Y;N;Y;Y;N;Y;275423000;FX;OTM;;;;;;25.50;24.48;117.00;0.00;0.00;354.00;26.20;2;2001-01-01;MFL;RUS;EX;;2001-01-01
LVA;GBR000B10280;;MOD;2025-01-22;2100-12-31;VP108;VP108;SILVA;VP;Ventspils;;N;Y;N;N;Y;N;;FX;GNS;NK;;;;;11.20;10.75;15.12;0.00;0.00;125.00;0.00;2;1989-01-01;MFL;;;;1989-01-01
LVA;GBR000B11108;8821010;MOD;2020-07-02;2100-12-31;LVV1555;LVV1555;GLENROSE;VP;Ventspils;YL2694;Y;Y;Y;Y;N;Y;275107000;FX;OTM;OTB;;;;;38.50;33.20;554.00;0.00;0.00;1268.00;158.00;2;2009-08-10;MFL;;;;1990-01-01
LVA;IRL000I13750;9456642;MOD;2024-11-20;2100-12-31;LVV0855;LVV0855;ARDENT;VP;Ventspils;YLSG;Y;Y;Y;Y;N;Y;275547000;FX;OTM;LLS;;;;;23.20;0.00;224.00;0.00;0.00;749.00;162.00;2;2007-01-01;MFL;;;;2007-01-01
LVA;LTU000000001;8876780;MOD;2023-03-04;2100-12-31;LVL2159;LVL2159;ALBATROSS 2;LA;Liepaja;YLRU;Y;Y;Y;Y;N;Y;275526000;FX;OTM;LLS;;;;;25.50;22.00;118.00;0.00;0.00;221.00;70.00;2;2021-10-21;MFL;;;;1976-01-01
LVA;LTU000000005;8876651;MOD;2023-10-30;2100-12-31;LVL2160;LVL2160;ALBATROSS 3;LA;Liepaja;YLRV;Y;Y;Y;Y;N;Y;275527000;FX;OTM;LLS;;;;;25.50;0.00;118.00;0.00;0.00;221.00;34.00;2;1981-10-21;MFL;;;;1981-01-01
LVA;LTU000000011;8725955;MOD;2025-03-08;2100-12-31;LVL1545;LVL1545;LIBAVA;LA;Liepaja;YL2330;Y;N;N;Y;N;Y;275243000;FX;OTM;OTB;;;;;23.86;22.00;111.00;0.00;0.00;221.00;30.00;2;2023-03-09;MFL;;;;1985-01-01
LVA;LTU000000047;8829244;DES;2024-11-08;2024-11-08;LVL2148;LVL2148;ILONA;LA;Liepaja;YL2830;Y;N;Y;Y;N;Y;275440000;FX;OTB;OTM;;;;;25.50;0.00;117.00;0.00;0.00;220.00;30.00;2;1990-01-01;MFL;;;AC;1990-01-01
LVA;LTU000000060;;EXP;2017-11-24;2017-11-24;LVL0600;LVL0600;ALBATROSS;LA;Liepaja;YL2163;Y;N;Y;Y;N;Y;;FX;OTM;OTB;;;;;25.50;0.00;118.00;0.00;0.00;221.00;0.00;2;1977-01-01;MFL;RUS;EX;;1977-01-01
LVA;LVA000000001;;EXP;2017-01-06;2017-01-06;LVR0711;LVR0711;AGNESE;RG;Riga;YL2069;Y;N;Y;Y;N;Y;;FX;OTM;OTB;;;;;25.45;22.00;112.00;0.00;0.00;386.00;34.00;2;1980-01-01;MFL;RUS;EX;PA;1980-01-01
LVA;LVA000000002;9076715;MOD;2022-11-26;2100-12-31;LVR0798;LVR0798;AKO;RG;Riga;YL2256;Y;Y;Y;Y;N;Y;275230000;FX;OTM;NO;;;;;25.45;22.00;112.00;0.00;0.00;368.00;42.00;2;1992-12-31;MFL;;;;1992-01-01
LVA;LVA000000003;;EXP;2007-01-30;2007-01-30;LVL2071;LVL2071;ATLAS;LA;Liepaja;YLHQ;Y;N;Y;Y;N;Y;;FX;OTB;OTM;;;;;62.26;55.02;1898.00;0.00;0.00;1766.00;0.00;2;1984-12-31;MFL;SGP;EX;PA;1984-01-01
LVA;LVA000000004;;DES;2004-05-28;2004-05-28;LVL2109;LVL2109;BULDURI;LA;Liepaja;YL2334;Y;N;N;Y;N;Y;;FX;OTM;NO;;;;;31.63;29.15;194.00;0.00;0.00;224.00;0.00;2;1975-12-31;MFL;;;PA;1975-01-01
LVA;LVA000000006;;DES;2006-10-30;2006-10-30;LVL2117;LVL2117;DIĀNA;LA;Liepaja;YL2370;Y;N;Y;Y;N;Y;;FX;OTM;NO;;;;;31.60;30.00;191.00;0.00;0.00;224.00;0.00;2;1978-12-31;MFL;;;PA;1978-01-01
LVA;LVA000000007;8868513;EXP;2021-05-12;2021-05-12;LVV1507;LVV1507;BANDAVA;LA;Liepaja;YL2055;Y;N;Y;Y;N;Y;275218000;FX;OTM;OTB;;;;;25.45;22.00;112.00;0.00;0.00;287.00;30.00;2;1981-01-01;MFL;RUS;EX;;1981-01-01
LVA;LVA000000008;;EXP;2005-03-22;2005-03-22;LVV0715;LVV0715;ALFA;VP;Ventspils;YL2070;Y;N;Y;Y;N;Y;;FX;OTM;NO;;;;;25.45;22.00;112.00;0.00;0.00;221.00;0.00;2;1983-12-31;MFL;RUS;EX;PA;1983-01-01
LVA;LVA000000009;;DES;2005-09-22;2005-09-22;LVV1503;LVV1503;BRĪZE;VP;Ventspils;YL2040;Y;N;Y;Y;N;Y;;FX;OTM;OTB;;;;;25.40;22.00;109.00;0.00;0.00;221.00;0.00;2;1976-12-31;MFL;;;AC;1976-01-01
LVA;LVA000000010;;MOD;2020-12-22;2100-12-31;LVR0830;LVR0830;BUBIS;RG;Riga;YL2403;Y;Y;Y;Y;N;Y;275270000;FX;OTM;NO;;;;;17.80;15.50;41.00;0.00;0.00;214.00;0.00;2;1987-01-01;MFL;;;;1987-01-01
LVA;LVA000000011;;DES;2006-06-08;2006-06-08;LVL2104;LVL2104;BUTE;LA;Liepaja;YL2311;Y;N;Y;Y;N;Y;;FX;GNS;NO;;;;;25.23;22.00;73.00;0.00;0.00;110.00;0.00;2;1971-12-31;MFL;;;AC;1971-01-01
LVA;LVA000000012;;DES;2008-12-05;2008-12-05;LVL0654;LVL0654;MILZKALNE;LA;Liepaja;YL2129;Y;N;Y;Y;N;Y;;FX;GNS;NO;;;;;27.10;24.60;85.00;0.00;0.00;165.00;0.00;2;1980-12-31;MFL;;;AC;1980-01-01
LVA;LVA000000013;;DES;2012-08-22;2012-08-22;LVR0728;LVR0728;METEORS;RG;Riga;YL2219;Y;N;Y;Y;N;Y;;FX;GNS;NO;;;;;27.10;24.60;81.00;0.00;0.00;220.00;0.00;2;1971-12-31;MFL;;;AC;1971-01-01
LVA;LVA000000014;;DES;2006-10-12;2006-10-12;LVR0795;LVR0795;ORNE;RG;Riga;YL2328;Y;N;N;Y;N;N;;FX;OTB;OTM;;;;;14.54;0.00;30.00;0.00;0.00;220.00;0.00;2;1966-12-31;MFL;;;AC;1966-01-01
LVA;LVA000000015;9077692;DES;2025-06-19;2025-06-19;LVR0797;LVR0797;AUDA;RG;Riga;YL2257;Y;N;Y;Y;N;Y;275231000;FX;OTM;GNS;;;;;25.45;22.00;112.00;0.00;0.00;330.00;44.00;2;1992-12-31;MFL;;;AC;1992-01-01
LVA;LVA000000016;;DES;2014-12-02;2014-12-02;LVR0833;LVR0833;ARNARBORG;RG;Riga;YLDV;Y;N;Y;Y;N;Y;;FX;OTB;OTM;;;;;51.95;49.26;828.00;0.00;0.00;1472.00;0.00;2;1973-01-01;MFL;;;PA;1973-01-01
LVA;LVA000000017;;DES;2008-12-09;2008-12-09;LVR0719;LVR0719;ADA;RG;Riga;YL2063;Y;N;Y;Y;N;Y;;FX;OTM;NO;;;;;17.56;15.00;27.00;0.00;0.00;110.00;0.00;2;1973-12-31;MFL;;;AC;1973-01-01
LVA;LVA000000019;;EXP;2004-08-17;2004-08-17;LVR0645;LVR0645;AIRA;RG;Riga;YL2159;Y;N;N;Y;N;Y;;FX;OTM;NO;;;;;17.56;15.00;27.00;0.00;0.00;110.00;0.00;2;1977-12-31;MFL;LTU;EX;PA;1977-01-01
LVA;LVA000000020;;DES;2009-01-21;2009-01-21;LVR0648;LVR0648;AGRIS;RG;Riga;YL2162;Y;N;Y;Y;N;Y;;FX;OTM;NO;;;;;17.56;15.00;27.00;0.00;0.00;110.00;0.00;2;1981-12-31;MFL;;;AC;1981-01-01
LVA;LVA000000021;;DES;2011-06-07;2011-06-07;LVR0501;LVR0501;ZĪTARS;RG;Riga;YL2017;Y;N;Y;Y;N;Y;;FX;OTM;NO;;;;;25.45;22.00;112.00;0.00;0.00;368.00;0.00;2;1984-12-31;MFL;;;AC;1984-01-01
LVA;LVA000000022;;DES;2009-01-20;2009-01-20;LVR0767;LVR0767;ZODIAKS;RG;Riga;YL2015;Y;N;Y;Y;N;Y;;FX;OTM;NO;;;;;27.10;24.60;80.00;0.00;0.00;132.00;0.00;2;1975-12-31;MFL;;;AC;1975-01-01
LVA;LVA000000023;;DES;2014-05-27;2014-05-27;LVR0772;LVR0772;ZVAIGZNE;RG;Riga;YL2012;Y;N;Y;Y;N;Y;;FX;OTM;NO;;;;;27.10;24.60;80.00;0.00;0.00;220.00;42.00;2;1971-01-01;MFL;;;AC;1971-01-01
LVA;LVA000000024;;DES;2005-05-31;2005-05-31;LVR0773;LVR0773;ZVĀRE;RG;Riga;YL2013;Y;N;Y;Y;N;Y;;FX;OTM;OTB;;;;;25.45;22.00;112.00;0.00;0.00;221.00;0.00;2;1974-12-31;MFL;;;AC;1974-01-01
LVA;LVA000000025;;DES;2009-11-19;2009-11-19;LVR0765;LVR0765;ZILUPE;RG;Riga;YL2022;Y;N;Y;Y;N;Y;;FX;OTM;NO;;;;;17.56;15.00;27.00;0.00;0.00;110.00;0.00;2;1976-12-31;MFL;;;AC;1976-01-01
LVA;LVA000000026;;DES;2009-01-20;2009-01-20;LVR0776;LVR0776;ZIEMELIS;RG;Riga;YL2023;Y;N;Y;Y;N;Y;;FX;OTM;NO;;;;;17.56;15.00;27.00;0.00;0.00;162.00;0.00;2;1976-12-31;MFL;;;AC;1976-01-01
LVA;LVA000000028;;DES;2008-12-11;2008-12-11;LVR0655;LVR0655;ZENTENE;RG;Riga;YL2130;Y;N;Y;Y;N;Y;;FX;GNS;NO;;;;;27.10;24.60;85.00;0.00;0.00;165.00;0.00;2;1982-12-31;MFL;;;AC;1982-01-01
