Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
MLT;CYP000000780;;MOD;2023-03-30;2100-12-31;MFA7197;MFA7197;STELLA DEL MARE II;M1333;Valletta (Pixkerija);9HB2106;Y;Y;Y;Y;;N;;TO;OTB;NO;;;;;23.70;0.00;85.00;0.00;0.00;184.00;0.00;2;2010-12-09;MFL;;;;1962-01-01
MLT;CYP000000793;;MOD;2024-07-24;2100-12-31;MFA6025;MFA6025;TREMAR;M1333;Valletta (Pixkerija);9H9651;Y;Y;Y;Y;;N;;TO;OTB;NO;;;;;27.53;0.00;195.00;0.00;0.00;448.00;0.00;2;2010-08-28;MFL;;;;1980-01-01
MLT;FRA000623068;;MOD;2024-05-16;2100-12-31;MFA7963;MFA7963;JOSEPH;M2121;Marsaxlokk (Ix-Xatt);9HB6537;Y;N;Y;Y;;N;;LL;LLS;LHP;;;;;20.40;0.00;72.00;0.00;0.00;300.00;0.00;2;2019-12-20;MFL;;;;1986-01-01
MLT;FRA000644732;;MOD;2023-01-20;2100-12-31;MFA7011;MFA7011;LELI;M2091;Marsaxlokk (Il-Maghluq);9HB4326;Y;Y;Y;Y;;N;;LL;LLS;LLD;;;;;20.40;0.00;128.00;0.00;0.00;650.00;0.00;2;2015-04-29;MFL;;;;1986-01-01
MLT;HRV000003219;;MOD;2023-04-20;2100-12-31;MFA7515;MFA7515;MARIA MADRE;M2121;Marsaxlokk (Ix-Xatt);9HA5852;Y;Y;N;N;;N;;SO;LLD;LLD;;;;;39.81;0.00;328.00;0.00;0.00;1250.00;0.00;2;2023-04-13;MFL;;;;2008-01-01
MLT;IRL000I11129;7521560;MOD;2019-09-05;2100-12-31;MFA6035;MFA6035;Salve Regina;M1301;Valletta (Grand Harbour);9H8798;Y;Y;Y;Y;;N;;TO;OTB;NO;;;;;27.35;0.00;225.00;0.00;0.00;444.38;0.00;2;2008-11-26;MFL;;;;1985-01-01
MLT;ITA000013607;8530441;MOD;2022-03-08;2100-12-31;MFA7012;MFA7012;Costabile;M2121;Marsaxlokk (Ix-Xatt);9HB5318;Y;Y;Y;Y;;N;;MO;PS;LLS;;;;;17.25;0.00;14.00;0.00;0.00;164.12;0.00;1;2016-10-06;MFL;;;;1951-01-01
MLT;ITA000018441;8533003;MOD;2015-09-11;2100-12-31;MFA7033;MFA7033;Sandokan;M2151;Marsaxlokk (Kavallerizza);9HB4656;Y;Y;Y;Y;;N;;LL;LLD;LLS;;;;;22.65;0.00;76.00;0.00;0.00;227.90;213.20;1;2015-09-02;MFL;;;;1992-01-01
MLT;ITA000018615;8688183;MOD;2022-02-02;2100-12-31;MFA7116;MFA7116;Marie De Lourdes I;M2091;Marsaxlokk (Il-Maghluq);9HB3737;Y;Y;Y;Y;;N;;MO;LLD;LLD;;;;;23.96;0.00;106.00;0.00;0.00;350.00;0.00;3;2014-04-30;MFL;;;;1992-01-01
MLT;ITA000025170;;MOD;2019-05-16;2100-12-31;MFA7277;MFA7277;Falco;M2091;Marsaxlokk (Il-Maghluq);9HB3646;Y;Y;Y;N;;N;;MO;LLD;LLS;;;;;10.50;0.00;7.78;0.00;0.00;73.50;73.40;1;2014-02-21;MFL;;;;2000-01-01
