Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
NLD;BEL000041982;;MOD;2024-06-07;2100-12-31;BEL000041982;BR-9;BOURIC;NLBRS;Breskens;PA2442;Y;Y;Y;Y;N;N;;TU;FPO;LHP;;;;;14.36;0.00;14.00;0.00;0.00;83.00;0.00;2;2012-01-12;MFL;;;;1982-01-01
NLD;BEL000071985;8530257;MOD;2023-08-09;2100-12-31;BEL000071985;ZK-44;JELTE ALBERT;NLZOT;Zoutkamp;PDKV;Y;Y;Y;Y;N;Y;244170523;TU;TBB;FPO;;;;;19.10;0.00;57.00;0.00;0.00;221.00;0.00;2;1985-03-22;MFL;;;;1985-01-01
NLD;BEL001191970;8432601;MOD;2023-07-25;2100-12-31;BEL001191970;WR-27;VISAREND;NLWRG;Wieringen/Den Oever;PDPG;Y;Y;Y;Y;N;Y;244052000;MO;TBB;OTB;;;;;22.55;0.00;66.00;0.00;0.00;220.00;13.00;2;1992-06-30;MFL;;;;1970-01-01
NLD;BEL001391987;;MOD;2025-06-26;2100-12-31;BEL001391987;TX-50;EVA MARIA;NLTEX;Texel;;N;Y;N;N;Y;N;;MO;OTB;TBB;;;;;11.10;0.00;9.00;0.00;0.00;66.00;0.00;2;1997-11-10;MFL;;;PA;1987-01-01
NLD;BEL002011991;;EXP;1995-08-08;1995-08-08;BEL002011991;BRU-201;ADRIANA MARIA;NLBSE;Bruinisse;PCDU;Y;N;N;N;N;N;;FX;OTB;OTM;;;;;23.93;0.00;160.00;0.00;0.00;220.00;398.00;2;1994-08-17;E17;DEU;EX;PA;1989-01-01
NLD;BEL010821987;8431803;MOD;2024-02-16;2100-12-31;BEL010821987;WL-18;VRIJHEID;NLWDE;Westdongeradeel;PIIW;Y;Y;Y;Y;N;Y;245504000;DB;TBB;MIS;;;;;20.86;0.00;50.00;0.00;0.00;221.00;56.00;2;1994-10-17;MFL;;;;1987-01-01
NLD;BEL011101959;;EXP;2017-05-23;2017-05-23;BEL011101959;ZK-67;DORUS;NLZOT;Zoutkamp;PCHO;Y;N;Y;N;N;N;;FX;TBB;MIS;;;;;18.00;0.00;34.00;0.00;0.00;221.00;3.00;2;1999-12-14;MFL;DEU;EX;PA;1959-01-01
NLD;BEL012111971;;MOD;2021-01-15;2100-12-31;BEL012111971;UK-190;GERRIT SENIOR;NLURK;Urk;PBAY;Y;Y;Y;Y;N;Y;244810702;MTG;OTB;MIS;;;;;14.95;0.00;28.00;0.00;0.00;194.00;37.00;2;1999-08-23;MFL;;;;1971-01-01
NLD;BEL014271964;;DES;2012-02-03;2012-02-03;BEL014271964;TH-11;MARJON;NLTHO;Tholen;;N;N;Y;N;N;N;;FX;TBB;OTB;;;;;22.31;0.00;69.00;0.00;0.00;220.00;40.00;2;1999-01-25;MFL;;;PA;1964-01-01
NLD;BEL014551964;;RET;2014-05-12;2014-05-12;BEL014551964;WL-23;MARLOUGER;NLWDE;Westdongeradeel;PFAK;Y;N;Y;N;N;N;;FX;TBB;MIS;;;;;18.56;0.00;34.00;0.00;0.00;221.00;0.00;2;2000-07-19;MFL;;;PA;1964-01-01
NLD;BEL025181998;8740797;DES;2023-07-04;2023-07-04;BEL025181998;UK-136;DRAKKAR;NLURK;Urk;PBJS;Y;N;Y;Y;N;Y;244150372;MO;TBB;MIS;;;;;37.81;0.00;384.00;0.00;0.00;1471.00;833.00;2;1998-06-26;MFL;;;AC;1998-01-01
