Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
PRT;DEU002120300;9048902;MOD;2024-11-19;2100-12-31;PTAVE-138850-N;PTAVE-138850-N;SANTA PRINCESA;PTAVE;Aveiro;CUXE3;Y;Y;Y;Y;N;Y;263442601;TTP;OTB;NO;;;;;80.35;73.65;2348.00;0.00;0.00;3000.00;536.00;2;1992-12-31;MFL;;;PA;1992-01-01
PRT;DEU110000301;7234636;MOD;2022-07-05;2100-12-31;PTAVE-113028-N;PTAVE-113028-N;PRINCESA SANTA JOANA;PTAVE;Aveiro;CUIY6;Y;Y;Y;Y;N;Y;263588000;TTP;OTB;OTM;;;;;92.01;84.90;3104.00;0.00;0.00;3530.00;0.00;2;1973-02-01;MFL;;;PA;1973-01-01
PRT;ESP000015586;8619687;MOD;2024-04-09;2100-12-31;PTAVE-113027-N;PTAVE-113027-N;NOVO VIRGEM DA BARCA;PTAVE;Aveiro;CUKB8;Y;Y;Y;Y;N;Y;263587000;TTP;OTB;NO;;;;;56.20;47.99;966.00;0.00;0.00;1879.00;0.00;2;1988-01-01;MFL;;;PA;1988-01-01
PRT;ESP000023312;9148702;MOD;2022-11-23;2100-12-31;PTAVE-112671-C;PTAVE-112671-C;MAR DE ÁGUEDA;PTAVE;Aveiro;CUIX2;Y;Y;Y;Y;N;Y;263434960;TTW;OTB;NO;;;;;28.30;0.00;209.00;0.00;0.00;707.60;0.00;2;1996-10-28;MFL;;;PA;1996-01-01
PRT;ESP000024061;9192844;MOD;2023-01-12;2100-12-31;PTLEI-117282-C;PTLEI-117282-C;MONTELOURO;PTLEI;Leixões;CUZY3;Y;Y;Y;Y;N;Y;263436270;TTW;OTB;FPO;LLS;;;;28.00;23.32;227.24;0.00;0.00;686.10;172.00;2;1998-08-06;MFL;;;PA;1998-01-01
PRT;ESP000024184;9192870;MOD;2022-03-15;2100-12-31;PTLEI-113026-C;PTLEI-113026-C;CRISTINA PEDROSA;PTLEI;Leixões;CUIX5;Y;Y;Y;Y;N;Y;263435250;TTW;OTB;NO;;;;;28.00;0.00;217.82;0.00;0.00;544.20;0.00;2;1999-04-20;MFL;;;PA;1999-04-20
PRT;ESP000024233;;MOD;2025-01-01;2100-12-31;PTCAS-117610-C;PTCAS-117610-C;VIRGEM DA PIEDADE;PTCAS;Cascais;CUJO7;Y;N;Y;Y;N;Y;263436480;TTW;OTB;NO;;;;;16.31;13.83;25.59;0.00;0.00;95.62;0.00;3;1999-05-05;MFL;;;PA;1999-05-05
PRT;ESP000024358;2858815;MOD;2022-08-10;2100-12-31;PTANC-112937-C;PTANC-112937-C;CARLOS CUNHA;PTANC;Âncora;CUET2;Y;Y;Y;Y;N;Y;263422240;LL;GNS;LLD;;;;;20.50;17.38;87.03;0.00;0.00;317.00;0.00;2;1999-10-29;MFL;;;PA;1999-10-14
PRT;ESP000024628;8733861;MOD;2022-03-15;2100-12-31;PTLEI-123776-C;PTLEI-123776-C;ANTÓNIO DO VELLIÑO;PTLEI;Leixões;CUAW8;Y;Y;Y;Y;N;Y;263441300;TTW;OTB;NO;;;;;24.85;20.51;181.29;0.00;0.00;610.30;0.00;2;2000-07-06;MFL;;;PA;2000-01-01
PRT;ESP000024804;9223978;MOD;2023-01-19;2100-12-31;PTLEI-117606-C;PTLEI-117606-C;PRAIA SÃO FRANCISCO;PTLEI;Leixões;CUXT7;Y;Y;Y;Y;N;Y;263434780;TTF;OTB;NO;;;;;28.00;23.32;227.11;0.00;0.00;640.80;242.70;2;2000-09-18;MFL;;;PA;2000-01-01
PRT;ESP000024882;8687476;MOD;2022-09-09;2100-12-31;PTVDC-118925-C;PTVDC-118925-C;NOSSA;PTVDC;Viana Do Castelo;CUIC7;Y;Y;Y;Y;N;Y;263427750;LL;LLS;NO;;;;;26.10;22.67;210.32;0.00;0.00;128.70;0.00;2;2001-03-13;MFL;;;PA;2001-03-13
PRT;ESP000024883;;EXP;2015-03-24;2015-03-24;A-3877-N;A-3877-N;POLO SUL;A;Finland;CUIG5;Y;N;Y;;;;;FX;OTB;NO;;;;;35.00;29.00;338.00;0.00;0.00;365.50;0.00;2;2001-03-28;MFL;MOZ;EX;PA;2001-01-01
PRT;ESP000025049;9252151;EXP;2017-06-20;2017-06-20;L-2077-C;L-2077-C;LABAYEN;L;Finland;CUEK5;Y;N;Y;;;;;FX;OTB;NO;;;;;32.50;27.12;297.00;0.00;0.00;538.70;0.00;2;2001-10-02;MFL;ESP;EX;PA;2001-10-02
PRT;ESP000025478;;MOD;2025-01-01;2100-12-31;PTOLH-112942-C;PTOLH-112942-C;CASADO MARTIN;PTOLH;Olhão;CUIY5;Y;N;Y;Y;N;Y;263435370;TTW;OTB;NO;;;;;23.00;19.65;75.58;0.00;0.00;165.50;41.22;3;2003-01-01;MFL;;;PA;2003-01-01
PRT;ESP000025499;9313319;MOD;2022-10-17;2100-12-31;PTLEI-117561-C;PTLEI-117561-C;SIMON BALAYO SAMBADE;PTLEI;Leixões;CUZY2;Y;Y;Y;Y;N;Y;263436260;TTW;OTB;NO;;;;;33.70;0.00;269.00;0.00;0.00;729.20;0.00;2;2003-03-05;MFL;;;PA;2003-01-01
PRT;ESP000025916;9312262;MOD;2022-03-15;2100-12-31;PTAVE-121936-C;PTAVE-121936-C;CRUZ DE MALTA;PTAVE;Aveiro;CUAV6;Y;Y;Y;Y;N;Y;263441150;TTW;OTB;NO;;;;;27.90;24.55;210.00;0.00;0.00;783.00;0.00;2;2004-04-01;MFL;;;PA;2004-01-01
PRT;ESP000026840;8795584;MOD;2025-07-07;2100-12-31;PTVRE-137844-C;PTVRE-137844-C;IRMÃOS LUCAS;PTVRE;Vila Real De Santo António;CUXE7;Y;Y;Y;Y;N;Y;263442640;TTW;OTB;NO;;;;;21.73;18.65;42.67;0.00;0.00;328.00;0.00;3;2006-11-13;MFL;;;PA;2006-01-01
PRT;ESP000027665;8609357;EXP;2024-08-26;2024-08-26;PTVDC-112150-N;PTVDC-112150-N;SANTA PRINCESA;PTVDC;Viana Do Castelo;CUIZ5;Y;N;Y;Y;N;Y;263589000;TTP;OTB;OTM;;;;;65.50;0.00;2165.00;0.00;0.00;3000.00;0.00;2;2014-12-05;MFL;BLZ;EX;PA;1986-02-01
