Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
ROU;BGR002010206;8966236;MOD;2021-06-18;2100-12-31;65154;3 6523 CT;RK 21;CT;Constanta;YQQC;Y;N;N;Y;;Y;264900344;FX;TBB;OTM;GNS;;;;23.19;0.00;119.00;0.00;0.00;220.65;0.00;2;2016-08-15;MFL;;;;1975-01-01
ROU;ROM000000001;;RET;2008-06-17;2008-06-17;ROUP048639CT;ROUP048639CT;PELICAN 1;CONSTANTA;;;Y;N;N;N;;N;;FX;OTM;GNS;;;;;39.80;34.80;246.00;0.00;0.00;441.00;71.20;2;2004-03-26;MFL;;;PA;1986-01-01
ROU;ROM000000002;;RET;2011-09-05;2011-09-05;63247;ROUP090187CT;MORUNUL;CT;Constanta;YQLC;Y;N;N;Y;N;Y;;FX;OTM;NO;;;;;25.67;0.00;134.00;0.00;0.00;420.00;50.00;2;2004-03-26;MFL;;;;1981-01-01
ROU;ROM000000003;;RET;2008-07-17;2008-07-17;63252;ROUP054365CT;DELFIN;CT;Constanta;;N;N;N;Y;N;Y;;FX;OTM;NO;;;;;25.80;0.00;134.00;0.00;0.00;420.00;0.00;2;2005-03-01;MFL;;;;1981-01-01
ROU;ROM000000004;;RET;2010-07-12;2010-07-12;ROUP040082SL;ROUP040082SL;CHEFALU 6;SULINA;;YQZV;Y;N;N;N;;N;;FX;OTM;GNS;;;;;25.30;23.48;129.00;0.00;0.00;283.00;68.00;2;2004-03-26;MFL;;;AC;1985-01-01
ROU;ROM000000005;;RET;2010-07-15;2010-07-15;ROUP100073CT;ROUP100073CT;MEDUZA 2;CONSTANTA;;YQZU;Y;N;Y;Y;;N;;FX;OTM;GNS;;;;;25.43;0.00;115.00;0.00;0.00;287.00;47.00;2;2004-03-26;MFL;;;AC;1981-01-01
ROU;ROM000000006;;RET;2010-07-19;2010-07-19;63261;ROUP105745SL;CHEFALU 12;SL;Sulina;YQZY;Y;N;N;Y;N;Y;;FX;OTM;NO;;;;;25.35;0.00;129.00;0.00;0.00;283.00;70.00;2;2005-03-21;MFL;;;;1989-01-01
ROU;ROM000000008;;RET;2011-07-25;2011-07-25;ROUP040026CT;ROUP040026CT;HENDEM MUSTAFA;CONSTANTA;;YQZW;Y;N;Y;Y;;N;;FX;OTM;GNS;;;;;21.70;0.00;137.00;0.00;0.00;470.00;20.00;2;2004-03-26;MFL;;;PA;1997-01-01
ROU;ROM000000009;;RET;2012-09-14;2012-09-14;ROUP040025CT;ROUP040025CT;MARIO;CONSTANTA;;;Y;N;Y;Y;;N;;FX;GNS;LLD;;;;;15.42;0.00;20.00;0.00;0.00;110.00;0.00;2;2004-03-26;MFL;;;PA;1956-01-01
ROU;ROM000000010;;RET;2008-07-17;2008-07-17;ROUP047090CT;ROUP047090CT;TETHYS 2;CONSTANTA;;;Y;N;N;N;;N;;FX;OTM;NO;;;;;25.28;0.00;129.00;0.00;0.00;283.00;0.00;2;2004-03-26;MFL;;;PA;1987-01-01
ROU;ROM000000011;;RET;2010-06-16;2010-06-16;ROUP040144CT;ROUP040144CT;MEDUZA 4;CONSTANTA;;YQZT;Y;N;Y;Y;;N;;FX;OTM;GNS;;;;;25.45;0.00;115.00;0.00;0.00;220.00;96.00;2;2004-03-26;MFL;;;AC;1982-01-01
ROU;ROM000000012;9043249;MOD;2024-12-30;2100-12-31;63280;3 1007 CT;FLAMINGO 4;CT;Constanta;YQZS;Y;N;N;Y;N;Y;264900113;FX;TBB;LLS;PS;OTM;DRB;;23.01;0.00;129.00;0.00;0.00;309.00;0.00;2;2007-01-01;MFL;;;;1996-01-01
ROU;ROM000000014;;RET;2012-09-14;2012-09-14;ROUP050026CT;ROUP050026CT;26 CT;CONSTANTA;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;6.70;0.00;0.87;0.00;0.00;3.60;0.00;1;2005-03-01;MFL;;;PA;1998-01-01
ROU;ROM000000015;;RET;2012-09-12;2012-09-12;ROUP050246TO;ROUP050246TO;246 TO;TOMIS;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;7.22;0.00;0.96;0.00;0.00;3.80;0.00;1;2005-01-18;MFL;;;PA;2004-01-01
