Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
SVN;HRV000003336;;MOD;2024-10-15;2100-12-31;141-KP;141-KP;LUŠTURA;SIKOP;Koper;S50K3;Y;Y;Y;;;Y;278956000;FX;OTB;OTM;;;;;17.90;0.00;36.00;0.00;0.00;270.00;0.00;1;2018-03-16;MFL;;;;
SVN;ITA000012130;;MOD;2022-06-16;2100-12-31;223-KP;223-KP;223-KP;SIKOP;Koper;S5UC7;Y;Y;Y;N;Y;Y;;FX;OTB;OTM;;;;;12.33;0.00;7.26;0.00;0.00;132.30;0.00;1;2022-03-09;MFL;;;;
SVN;ITA000016988;;IMP;2024-10-18;2100-12-31;98-IZ;98-IZ;ZVEZDA;SIIZO;Izola;S5Z1098;Y;Y;Y;;;Y;;FX;OTB;DRB;;;;;19.85;0.00;20.88;0.00;0.00;244.40;0.00;1;2024-10-01;MFL;;;;
SVN;SVN000000001;;DES;2012-11-21;2012-11-21;R-31;R-31;Riba I;SIKOP;Koper;S50Z2;Y;N;Y;N;Y;N;;FX;PTM;OTB;;;;;29.13;0.00;156.20;0.00;0.00;600.00;0.00;2;1981-04-22;MFL;;;AC;
SVN;SVN000000002;;DES;2012-11-21;2012-11-21;R-32;R-32;Riba II;SIKOP;Koper;S50Z3;Y;N;Y;N;Y;N;;FX;PTM;OTB;;;;;29.13;0.00;156.20;0.00;0.00;600.00;0.00;2;1981-04-22;MFL;;;AC;
SVN;SVN000000003;;MOD;2025-03-14;2100-12-31;20-KP;20-KP;Kirka;SIKOP;Koper;S5K2020;Y;Y;Y;;;N;278698000;FX;OTB;GNS;;;;;11.10;0.00;9.35;0.00;0.00;124.00;0.00;1;1982-05-10;MFL;;;;
SVN;SVN000000004;;RET;2011-12-20;2011-12-20;37-KP;37-KP;37-KP;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;4.50;0.00;0.45;0.00;0.00;0.00;0.00;1;2003-07-14;MFL;;;PA;
SVN;SVN000000005;;DES;2024-06-26;2024-06-26;42-KP;42-KP;Saetta;SIKOP;Koper;S5UC2;Y;N;Y;;;N;278786000;FX;OTB;GNS;;;;;11.23;0.00;4.80;0.00;0.00;103.00;0.00;1;1996-06-26;MFL;;;;
SVN;SVN000000006;;MOD;2020-12-18;2100-12-31;57-KP;57-KP;57-KP;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;4.83;0.00;0.79;0.00;0.00;24.26;0.00;3;2004-01-27;MFL;;;;
SVN;SVN000000007;;MOD;2018-07-10;2100-12-31;71-KP;71-KP;Mira III;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;7.00;0.00;3.04;0.00;0.00;12.23;0.00;1;1983-01-06;MFL;;;;
SVN;SVN000000008;;MOD;2021-03-26;2100-12-31;80-KP;80-KP;80-KP;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;5.20;0.00;0.85;0.00;0.00;8.03;0.00;1;1993-06-04;MFL;;;;
SVN;SVN000000009;;MOD;2021-03-26;2100-12-31;81-KP;81-KP;Amigo;SIKOP;Koper;S5UC4;Y;Y;Y;N;Y;N;278837000;FX;PS;GNS;;;;;13.48;0.00;11.77;0.00;0.00;117.68;0.00;4;1985-09-25;MFL;;;;
SVN;SVN000000010;;MOD;2022-10-19;2100-12-31;117-KP;117-KP;Andrea;SIKOP;Koper;S5K2117;Y;Y;Y;N;Y;Y;278538000;FX;OTB;DRB;;;;;12.32;0.00;7.48;0.00;0.00;184.00;0.00;1;2001-03-14;MFL;;;;
SVN;SVN000000011;;MOD;2020-12-18;2100-12-31;120-KP;120-KP;Levante;SIKOP;Koper;S5K2120;Y;Y;Y;N;Y;N;278575000;FX;PS;GND;;;;;14.13;0.00;11.75;0.00;0.00;96.00;155.00;1;1998-07-17;MFL;;;;
SVN;SVN000000012;;RET;2011-07-11;2011-07-11;140-KP;140-KP;140-KP;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;5.97;0.00;1.61;0.00;0.00;84.60;0.00;4;2003-07-15;MFL;;;PA;
SVN;SVN000000013;;RET;2018-06-26;2018-06-26;KP-162;KP-162;Loris;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;4.50;0.00;1.22;0.00;0.00;2.94;0.00;1;2004-04-05;MFL;;;PA;
SVN;SVN000000014;;MOD;2019-05-22;2100-12-31;171-KP;171-KP;171-KP;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;8.60;0.00;5.41;0.00;0.00;220.50;0.00;3;2003-12-11;MFL;;;;
SVN;SVN000000015;;DES;2013-02-12;2013-02-12;197-KP;197-KP;Due fratelli - Folpo;SIKOP;Koper;S5K2197;Y;N;N;N;Y;N;;FX;OTB;GNS;;;;;13.96;0.00;14.81;0.00;0.00;161.80;0.00;1;2001-09-04;MFL;;;AC;
