Administración responsable del Registro;Alta en RGFP;Arqueo GT;CFR;Capacidad del buque no aportable por:;Censo por modalidad;Código;Eslora total;Estado;IMO;IRCS;Imagen;Material del casco;Matrícula;Nombre;Potencia;Puerto base;Tipo de auxiliar
Secretaría General de Pesca;10/05/1989;1,37;ESP000004885;;ARTES MENORES EN EL MEDITERRANEO;4885;6,41 m;Baja Definitiva (desde el 17/01/2000);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3446;Madera;3AL-1-479;ADORACION;11,03 kW (15,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;23/03/2006;4,00;ESP000026613;;ARTES MENORES EN EL MEDITERRANEO;26613;10,50 m;Alta Definitiva (desde el 10/01/2007);-;EB2302;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14375;Poliester;3AL-1-1-05;ALFONSITO CHICO;22,06 kW (30,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Andalucía;10/02/2006;33,57;-;;;26570;18,00 m;Alta Definitiva (desde el 10/02/2006);-;EA7181;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14332;Poliester;4AL-1-1-04;ALMADRABA DIEZ;261,10 kW (355,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);Auxiliar de almadraba
Secretaría General de Pesca;10/05/1989;1,09;ESP000004900;;ARTES MENORES EN EL MEDITERRANEO;4900;6,00 m;Alta Definitiva (desde el 10/03/2022);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/20965;Madera;3AL-1-433;AMALIA;22,06 kW (30,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;17/06/2011;1,98;ESP000027431;;ARTES MENORES EN EL MEDITERRANEO;27431;9,04 m;Alta Definitiva (desde el 06/08/2012);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/15188;Poliester;3AL-1-1-10;ANA ISABEL SEGUNDO;33,82 kW (46,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,76;ESP000004879;;ARTES MENORES EN EL MEDITERRANEO;4879;0,00 m;Baja Definitiva (desde el 13/03/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3444;Madera;3AL-1-442;ANTONIO Y MANUEL;7,35 kW (10,0 CV);43100 - Ceuta;
Andalucía;24/10/2022;1,06;-;;;100401;5,83 m;Alta Definitiva (desde el 30/03/2023);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22913;Fibra de Vidrio/Plástico;4AL-1-1-22;AUXILIAR JC MACKINTOSH;12,14 kW (16,5 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);Auxiliar de cerquero y otros
Secretaría General de Pesca;10/05/1989;0,79;ESP000004908;;ARTES MENORES EN EL MEDITERRANEO;4908;0,00 m;Baja Definitiva (desde el 13/03/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3463;Madera;3AL-1-469;CARACOLA DEL MAR;5,88 kW (8,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;3,40;ESP000014184;;ARTES MENORES EN EL MEDITERRANEO;14184;8,30 m;Baja Definitiva (desde el 02/10/2015);-;-;;Madera;3AL-1-492;CRISTO;22,06 kW (30,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;05/07/1991;10,05;ESP000022025;;CERCO EN EL MEDITERRANEO;22025;10,76 m;Alta Definitiva (desde el 03/09/2012);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/9861;Poliester;3AL-1-1-91;DASERBE;44,12 kW (60,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,65;ESP000004909;;ARTES MENORES EN EL MEDITERRANEO;4909;0,00 m;Baja Definitiva (desde el 13/03/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3464;Madera;3AL-1-472;DIEGUITO;8,83 kW (12,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;3,44;ESP000004902;;-;4902;0,00 m;Baja Definitiva (desde el 01/02/1995);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3459;Madera;3AL-1-471;ENCARNACION;47,81 kW (65,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;1,25;ESP000004890;;ARTES MENORES EN EL MEDITERRANEO;4890;5,83 m;Alta Definitiva (desde el 31/03/2023);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3451;Madera;3AL-1-467;FRANCISCO Y JOSE;11,03 kW (15,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;13/11/2006;9,75;ESP000026809;;ARTES MENORES EN EL GOLFO DE CADIZ;26809;13,00 m;Baja Definitiva (desde el 15/04/2021);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14571;Poliester;3AL-1-2-05;HERMANOS BRALO;69,12 kW (94,0 CV);33510 - Conil, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,00;ESP000008568;;-;8568;8,07 m;Baja Definitiva (desde el 09/07/1992);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/5456;Madera;3AL-1-495;HERMANOS GABANCHO;22,06 kW (30,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;2,52;ESP000003671;;ARTES MENORES EN EL MEDITERRANEO;3671;7,50 m;Alta Definitiva (desde el 20/09/2012);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/2569;Madera;3AL-1-462;HERMANOS HUERTAS;27,21 kW (37,0 CV);42100 - Adra, ALMERÍA (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;2,55;ESP000004878;;ARTES MENORES EN EL MEDITERRANEO;4878;7,37 m;Baja Definitiva (desde el 18/05/2012);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3443;Madera;3AL-1-470;HERMANOS LOBATON;21,33 kW (29,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,66;ESP000004892;;ARTES MENORES EN EL MEDITERRANEO;4892;0,00 m;Baja Definitiva (desde el 13/03/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3452;Madera;3AL-1-422;HERMANOS ORTIZ;7,35 kW (10,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;5,86;ESP000004877;;ARTES MENORES EN EL MEDITERRANEO;4877;11,17 m;Alta Definitiva (desde el 10/05/1989);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3442;Madera;3AL-1-494;HERMANOS SANCHEZ;94,12 kW (128,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;12/09/1994;4,67;ESP000022865;;ARTES MENORES EN EL MEDITERRANEO;22865;9,45 m;Alta Definitiva (desde el 12/09/1994);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/21346;Madera;3AL-1-1-94;HNOS. BLANCO;47,80 kW (65,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;04/11/2003;2,82;ESP000025738;;ARTES MENORES EN EL MEDITERRANEO;25738;7,90 m;Alta Definitiva (desde el 21/09/2004);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/13504;Poliester;3AL-1-2-03;JOSE Y ANA;40,45 kW (55,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,00;ESP000004898;;-;4898;0,00 m;Baja Definitiva (desde el 19/11/1990);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3456;Madera;3AL-1-459;JUAN;29,42 kW (40,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;5,11;ESP000014171;;ARTES MENORES EN EL MEDITERRANEO;14171;0,00 m;Baja Definitiva (desde el 30/11/1995);-;-;;Madera;3AL-1-496;LA GAVIOTA;36,77 kW (50,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/06/1997;48,81;ESP000023523;;PALANGRE DE SUPERFICIE EN EL MEDITERRANEO;23523;17,00 m;Baja Definitiva (desde el 07/01/2009);-;EB3133;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/11321;Poliester;3AL-1-1-97;MANUEL EL LOBICO;86,79 kW (118,0 CV);34200 - Algeciras, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;26/02/1999;7,36;ESP000024115;;ARTES MENORES EN EL MEDITERRANEO;24115;11,00 m;Alta Definitiva (desde el 21/06/2022);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22726;Poliester;3AL-1-2-98;MANUEL Y ANTONIO 6;72,06 kW (98,0 CV);41400 - Málaga (ANDALUCÍA);
Secretaría General de Pesca;16/04/2004;2,67;ESP000025911;;ARTES MENORES EN EL MEDITERRANEO;25911;7,84 m;Alta Definitiva (desde el 31/05/2005);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/13677;Poliester;3AL-1-1-03;MANUEL Y PATRICIA;32,36 kW (44,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
