CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
BEL000021964;205308000;BEL;;;53.00;0.00;0.00;;21.39;18.66;MIKE MICHEL JR;002;O.2;Oostende (Ostend);;Y;OPAB;Y;Y;Y;8523448;;FX;;TBB, OTB;213.00;0.00;Metal;;1975-03-26;MFL;1964-01-01;2023-02-27;
BEL000041982;;BEL;;;0.00;15.67;0.00;;13.85;12.58;ASTRID;004;BOU 4;;;Y;OPAD;N;Y;N;;;TU;;TBB, NO;79.00;0.00;Metal;;1982-09-06;E10;1982-01-01;;1996-11-15
BEL000061930;;BEL;;;0.00;29.79;0.00;;16.62;13.56;ANJA;006;BOU 6;;;Y;OPAF;N;Y;N;;;FX;;TBB, NO;103.00;0.00;Metal;;1930-12-31;E10;1930-01-01;1996-08-30;
BEL000071985;;BEL;;;57.00;0.00;0.00;;19.10;16.67;DE ENIGE ZOON;007;BOU.7;;;Y;OPAG;Y;Y;N;8530257;;TU;;TBB, NO;219.00;0.00;Metal;;1986-06-06;MFL;1985-01-01;;
BEL000081967;205264000;BEL;;;58.00;0.00;0.00;;21.91;19.31;AQUARIUS;008;Z.8;Zeebrugge;;Y;OPAH;Y;Y;Y;8341096;;FX;;TBB, OTB;220.00;0.00;Metal;;1967-07-01;MFL;1967-01-01;;
BEL000091953;;BEL;;;97.00;0.00;0.00;;26.32;23.12;STERN;009;O.9;;;Y;OPAI;N;Y;N;;;FX;;TBB, NO;221.00;0.00;Metal;;1983-02-22;E10;1953-01-01;1995-01-30;
BEL000131928;;BEL;;;0.00;19.05;0.00;;16.26;13.57;VIJF GEBROEDERS;013;K.13;;;Y;OPAM;N;Y;N;;;FX;;TBB, NO;154.00;0.00;Metal;;1928-07-01;BIN;1928-01-01;;1989-01-30
BEL000131989;205017000;BEL;;;94.00;0.00;0.00;;23.94;21.14;MORGENSTER;013;O.13;Oostende (Ostend);;Y;OPAM;Y;Y;Y;8564404;;FX;;TBB, OTB;218.00;0.00;Metal;;1989-02-15;MFL;1989-01-01;2021-08-22;
BEL000241964;205632000;BEL;;;44.00;0.00;0.00;;19.04;16.64;ZEEVONK;024;BOU.24;Boekhoute;;Y;OPAX;Y;Y;Y;8564480;;FX;;TBB, OTB;202.00;0.00;Metal;;1964-07-01;MFL;1964-01-01;;2021-09-07
BEL000281932;;BEL;;;0.00;28.67;0.00;;16.19;13.39;ANN;028;Z.28;;;Y;OPBB;N;Y;N;;;FX;;TBB, NO;88.00;0.00;Metal;;1932-09-26;E10;1932-01-01;;1996-01-17
BEL001191970;;BEL;;;55.00;0.00;0.00;;19.54;16.92;JOZINA;119;BOU.119;;;Y;OPEO;N;Y;N;8432601;;MO;;TBB, NO;221.00;0.00;Metal;;1970-07-01;C10;1970-01-01;;
BEL001391987;;BEL;;;13.00;0.00;0.00;;11.13;9.80;BOLLEKE;139;BOU.139;;;Y;OPFI;N;Y;N;;;FX;;TBB, NO;114.00;0.00;Metal;;1987-07-01;C10;1987-01-01;;
BEL002011991;;BEL;;;156.00;0.00;0.00;;23.90;20.86;ADRIANA-MARIA;201;Z.201;;;Y;OPHS;N;Y;N;;;FX;;TBB, NO;220.00;0.00;Metal;;1991-04-19;C10;1991-01-01;;
BEL003191989;;BEL;;;469.00;0.00;0.00;;40.25;35.86;AVONTUUR;319;Z.319;;;Y;OPMG;Y;Y;N;8816120;;TU;;TBB, NO;882.00;0.00;Metal;;1989-12-12;MFL;1989-01-01;;
BEL010201971;;BEL;;;29.00;25.80;0.00;;14.31;12.28;GOEWIND;020;O.20;;;Y;OPAT;N;Y;N;;;FX;;TBB, NO;110.00;0.00;Metal;;1971-08-17;4A1;1971-01-01;;
BEL010231930;;BEL;;;41.00;0.00;0.00;;20.14;17.37;GEOFFREY WILLIAM;720;O.720;;;Y;OQCT;Y;Y;N;;;FX;;TBB, OTB;219.00;0.00;Metal;;1971-09-02;MFL;1930-01-01;2003-03-13;
