CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
BGR000203141;;BGR;;;1.30;0.00;0.00;;6.87;0.00;БС 141;141;БС 141;Burgas;;N;;N;N;N;;;FX;;GNS, LHP;33.10;0.00;Wood;;1988-02-17;MFL;1988-01-01;;2016-03-16
BGR001010017;207838880;BGR;;;39.04;0.00;0.00;;16.00;0.00;ЕЛЕКТА 1;ВН9370;ВН9370;Varna;;Y;LZH3888;Y;Y;Y;;;FX;;TBB, GNS;316.26;0.00;Metal;;2024-01-22;MFL;2017-01-01;;
BGR001010070;;BGR;;;73.00;0.00;0.00;;22.80;22.50;СЛАВИНО;70;ВН70;Varna;;Y;LZUR;N;N;N;;;FX;;GNS, GND;99.29;32.00;Metal;;2004-09-16;MFL;1948-01-01;2013-04-19;
BGR001010390;207822280;BGR;;;83.20;0.00;0.00;;22.50;0.00;ДЕЛТА;390;ВН390;Varna;;Y;LZH2228;Y;Y;Y;;;FX;;GNS, PTM;294.20;30.00;Metal;;2002-12-27;MFL;1998-01-01;;
BGR001010393;207293000;BGR;;;46.00;0.00;0.00;;19.40;17.30;ТАИС;393;ВН393;Varna;;Y;LZSU;Y;Y;Y;;;FX;;OTM, GNS;378.00;35.00;Metal;;2004-05-05;MFL;1997-01-01;;
BGR001010408;207823230;BGR;;;58.70;0.00;0.00;;23.80;21.50;Данчовото Георги;408;ВН408;Varna;;Y;LZH2323;Y;Y;Y;;;FX;;GNS;368.00;0.00;Metal;;2007-10-03;MFL;2007-01-01;;
BGR001010422;207827320;BGR;;;78.61;0.00;0.00;;27.20;23.62;ХАРАСИМОВ МЛАДШИ;ВН 422;ВН 422;Varna;;Y;LZH2732;Y;Y;Y;8533431;;FX;;OTM, GNS;574.00;0.00;Metal;;2009-11-12;MFL;2009-01-01;;
BGR001010440;207829280;BGR;;;76.33;0.00;0.00;;25.00;23.35;ИРИНА;440;ВН 440;Varna;;Y;LZH2928;Y;Y;Y;8532669;;FX;;GNS, PTM;661.70;0.00;Metal;;2013-03-21;MFL;1998-01-01;;
BGR001020395;;BGR;;;71.00;0.00;0.00;;21.00;0.00;Емона;395;Вн 395;Varna;;N;;N;N;N;;;FX;;OTM, GNS;195.00;28.00;Wood;;2004-12-28;MFL;1948-01-01;;2011-01-17
BGR001022006;;BGR;;;1.19;0.00;0.00;;6.64;0.00;БЛ2006;2006;БЛ2006;Byala;;N;;N;N;N;;;FX;;LHM, NO;22.00;0.00;Wood;;1996-08-01;MFL;1996-01-01;;2011-08-31
BGR001022031;;BGR;;;12.63;0.00;0.00;;11.65;0.00;Аспарух;2031;БЛ2031;Byala;;N;;Y;N;N;;;FX;;GNS, OTM;88.26;0.00;Metal;;2004-07-20;MFL;1972-01-01;;2020-10-27
BGR001022838;;BGR;;;4.63;0.00;0.00;;9.00;0.00;ОБ2838;2838;ОБ2838;Varna;;N;;N;N;N;;;FX;;GNS;33.10;0.00;Metal;;1997-08-11;MFL;1997-01-01;;2009-06-19
