CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
CYP000000001;;CYP;;;1.51;0.00;0.00;;7.35;0.00;AYIOS GEORGIOS;LL12804;LL12804;;;N;;N;N;N;;;FX;;GTR, GNS;17.65;0.00;Wood;;1971-12-30;MFL;;;2010-03-30
CYP000000002;;CYP;;;2.58;0.00;0.00;;7.62;0.00;MARIA;LL11955;LL11955;;;N;;N;N;N;;;FX;;LLS, GTR;24.27;0.00;Wood;;1974-11-13;MFL;;2013-10-11;
CYP000000003;;CYP;;;2.67;0.00;0.00;;8.08;0.00;KLEIO;FL461;FL461;;;N;;N;;;;;FX;;GTR, GNS;16.88;0.00;Wood;;1975-02-03;MFL;;;2010-02-17
CYP000000004;;CYP;;;2.39;0.00;0.00;;8.34;0.00;FROSO;LL11945;LL11945;;;N;;N;N;N;;;FX;;GTR, NK;16.18;0.00;Wood;;1975-02-15;MFL;;2013-09-27;
CYP000000005;;CYP;;;3.36;0.00;0.00;;8.18;0.00;AYIOS NICOLAOS;FP478;FP478;;;N;;N;;;;;FX;;GTR, GNS;24.27;0.00;Wood;;1975-03-15;MFL;;;2010-02-17
CYP000000006;;CYP;;;3.20;0.00;0.00;;8.81;0.00;ARXAGGELOS MIXAHL;LL11920;LL11920;Limassol New Port;;N;;N;N;N;;;FX;;GTR, GNS;60.31;0.00;Wood;;1975-03-20;MFL;;;
CYP000000007;;CYP;;;1.59;0.00;0.00;;7.30;0.00;MEGALOXARI;LL13231;LL13231;Limassol New Port;;N;;N;N;N;;;FX;;GTR, GNS;14.71;0.00;Wood;;1975-03-20;MFL;;;
CYP000000008;;CYP;;;2.91;0.00;0.00;;8.06;0.00;AYIOS GEORGIOS;LL13468;LL13468;;;N;;N;;;;;FX;;GTR, GNS;49.26;0.00;Wood;;1976-10-25;MFL;;;2017-01-23
CYP000000009;;CYP;;;4.95;0.00;0.00;;9.87;0.00;EIRINI;LL12091;LL12091;Limassol New Port;;N;;N;N;N;;;FX;;GNS, GTR;26.11;0.00;Wood;;1975-06-06;MFL;;;
CYP000000010;;CYP;;;2.14;0.00;0.00;;7.45;0.00;NICOLETTA;LL12801;LL12801;;;N;;N;;;;;FX;;GTR, LLS;16.18;0.00;Wood;;1975-06-23;MFL;;2013-10-11;
