CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
BEL011101959;211653680;DEU;;;34.00;0.00;0.00;;18.00;16.20;OSTWIND;FED10;FED10;Cuxhaven;;Y;DGDM2;Y;Y;Y;;;TU;;TBB, NK;221.00;0.00;Metal;;1989-01-01;MFL;1959-01-01;;2024-03-19
DEU000010300;;DEU;;;100.00;83.91;0.00;;24.81;22.21;ANDREA;NC302;NC302;;;Y;DFPA;N;;;;;FX;;OTB, OTM;421.00;0.00;;;1969-01-17;4C3;;;2000-04-05
DEU000010400;;DEU;;;170.00;128.76;0.00;;26.05;23.00;JUWEL;HF574;HF574;;;Y;DENU;N;;;;;FX;;LLS, OTM;423.00;0.00;;;1973-01-20;G21;;;1996-12-29
DEU000010500;;DEU;;;0.00;12.88;0.00;;15.10;13.59;ERNA BECKER;HF348;HF348;;;Y;DECB;N;;;;;FX;;GNS, TBB;88.00;0.00;;;1892-12-01;C12;;1992-09-26;
DEU000010601;;DEU;;;0.00;2431.63;0.00;;85.78;81.50;ERICH WEINERT;ROS304;ROS304;;;Y;Y4BE;N;;;;;FX;;OTB, OTM;1692.00;1176.00;;;1962-08-30;1;;1991-12-31;
DEU000010602;;DEU;;;11.00;15.02;0.00;;10.35;9.50;GLUECKAUF;SAS025;SAS025;;;Y;Y4MJ;N;;;;;FX;;OTB, GNS;42.00;0.00;;;1952-02-04;4C3;;1997-06-10;
DEU000010603;;DEU;;;0.00;10.09;0.00;;11.95;0.00;WUSTROW;WAR69;WAR69;;;Y;Y40W;N;;;;;FX;;OTB, PTB;44.00;0.00;;;1956-05-01;4;;;1990-11-01
DEU000010604;;DEU;;;0.00;117.29;0.00;;26.25;24.66;ATAIR;WIS107;WIS107;;;Y;Y4PK;N;;;;;FX;;OTB, PTB;470.00;74.00;;;1977-07-12;3;;;1990-12-31
DEU000010606;;DEU;;;0.00;117.29;0.00;;26.27;24.66;INSEL USEDOM;KAR11;KAR11;;;Y;Y4KX;N;;;;;FX;;OTB, OTM;470.00;49.00;;;1977-02-07;3;;;1991-05-02
DEU000010607;;DEU;;;0.00;13.35;0.00;;10.83;10.13;---;LAU01;LAU01;;;N;;N;;;;;FX;;GNS;45.00;0.00;;;1938-05-14;C19;;;1992-01-08
DEU000010608;;DEU;;;0.00;15.17;0.00;;11.95;0.00;8. MAI;WIE31;WIE31;;;Y;Y4TU;N;;;;;FX;;GNS, NK;44.00;0.00;;;1956-07-19;4;;;1990-11-29
DEU000010609;;DEU;;;2.00;0.00;0.00;;8.60;0.00;---;UEK1;UEK1;;;N;;N;;;;;FX;;GNS, NK;7.00;0.00;Wood;;1969-06-16;MFL;1969-01-01;;2005-12-08
DEU000010610;;DEU;;;1.00;0.00;0.00;;5.40;0.00;---;BOD1;BOD1;;;N;;N;;;;;FX;;GNS, NK;0.00;0.00;Wood;;1981-11-14;MFL;1981-01-01;;2006-12-29
DEU000010611;;DEU;;;10.00;0.00;0.00;;11.40;10.06;HEIMAT;STA001;STA001;;;Y;DF8769;N;N;N;;;GO;;GNS, FPO;44.00;0.00;Wood;;1953-02-07;MFL;1952-01-01;;2018-12-31
DEU000010612;;DEU;;;3.00;4.80;0.00;;8.18;6.68;---;THI01;THI01;;;N;;N;;;;;FX;;GNS, LLS;18.00;0.00;;;1952-11-14;4C1;;;1998-03-23
DEU000010613;;DEU;;;0.00;12.95;0.00;;10.79;0.00;---;BRE002;BRE002;;;N;;N;;;;;FX;;GNS, LLS;37.00;0.00;;;1935-08-12;4;;;1993-01-01
DEU000010614;;DEU;;;0.00;18.94;0.00;;13.72;0.00;MARGARETE;FRE2;FRE2;;;Y;Y4VA;N;;;;;FX;;GNS, OTB;44.00;0.00;;;1937-06-11;G16;;;1992-03-30
DEU000010615;;DEU;;;4.00;5.93;0.00;;8.03;7.63;---;GAG01;GAG01;;;N;;N;;;;;FX;;GNS;18.00;0.00;;;1948-07-24;4C1;;;1998-03-31
DEU000010616;;DEU;;;8.00;10.10;0.00;;10.16;9.00;---;LAS25;LAS25;;;N;;N;;;;;FX;;GNS, LLS;44.00;0.00;Wood;;1949-03-30;MFL;1949-01-01;;2010-05-18
DEU000010617;;DEU;;;0.00;26.00;0.00;;14.75;0.00;EMMI;VIT2;VIT2;;;Y;Y4TW;N;;;;;FX;;OTB, PTB;98.00;0.00;;;1940-02-21;4;;;1991-08-01
DEU000010618;;DEU;;;0.00;9.67;0.00;;9.02;7.70;GISELA;AHL001;AHL001;;;N;;N;;;;;FX;;GNS, LLS;44.00;0.00;;;1965-04-12;4;;;1993-07-01
DEU000010619;;DEU;;;5.00;0.00;0.00;;8.60;7.10;SEESCHWALBE;HER12;HER12;Heringsdorf;;N;;N;N;N;;;GO;;GNS, LLS;36.00;0.00;Wood;;1978-04-03;MFL;1978-01-01;2022-12-01;
DEU000010620;;DEU;;;3.00;4.10;0.00;;7.60;0.00;---;HER3;HER3;;;N;;N;;;;;FX;;GNS, LLS;36.00;0.00;Wood;;1964-05-10;MFL;1964-01-01;;2007-03-28
DEU000010621;;DEU;;;1.00;0.00;0.00;;6.00;0.00;---;AHL43;AHL43;Ahlbeck;;N;;N;N;N;;;GO;;GNS, LLS;24.00;0.00;Wood;;1976-05-02;MFL;1976-01-01;;2022-01-01
DEU000010622;;DEU;;;0.00;5.32;0.00;;9.05;6.90;SANTA LUCIA;KOEL019;KOEL019;;;N;;N;;;;;FX;;GNS, LLS;44.00;0.00;;;1976-02-25;4;;;1994-03-22
DEU000010623;;DEU;;;1.00;3.66;0.00;;7.20;0.00;---;KOS5;KOS5;;;N;;N;;;;;FX;;GNS, LLS;5.00;0.00;;;1953-04-19;4C1;;;1997-03-01
DEU000010624;;DEU;;;1.00;1.91;0.00;;5.20;0.00;---;ZEM2;ZEM2;;;N;;N;;;;;FX;;GNS, LLS;5.00;0.00;;;1975-04-20;4C1;;;1998-03-23
DEU000010625;;DEU;;;2.00;0.00;0.00;;6.80;6.05;---;ZIW1;ZIW1;Zinnowitz;;N;;N;N;N;;;GO;;GNS, LLS;18.00;0.00;Wood;;1977-03-01;MFL;1977-01-01;;2024-06-30
DEU000010630;;DEU;;;16.00;15.17;0.00;;11.95;11.49;DRANSKE;KAM47;KAM47;;;Y;Y4UB;N;;;;;FX;;OTB, OTM;150.00;0.00;Wood;;1956-06-17;MFL;1956-01-01;;2006-10-25
DEU000010631;;DEU;;;3.00;5.72;0.00;;9.00;7.85;---;AWA1;AWA1;;;N;;N;;;;;FX;;GNS, NK;18.00;0.00;Wood;;1981-02-15;MFL;1981-01-01;2004-02-16;
DEU000010632;;DEU;;;2.00;0.00;0.00;;8.05;7.10;---;MOEN1;MOEN1;;;N;;N;;;;;FX;;GNS, NK;22.00;0.00;Metal;;1973-08-14;MFL;1973-01-01;;2006-05-16
DEU000010633;;DEU;;;2.00;2.43;0.00;;8.40;7.32;---;USE1;USE1;Usedom;;N;;N;N;N;;;GO;;GNS, LLS;6.00;0.00;Metal;;1978-04-15;MFL;1978-01-01;;
DEU000010634;;DEU;;;0.00;5.49;0.00;;8.80;0.00;---;WOG001;WOG001;;;N;;N;;;;;FX;;GNS, LLS;22.00;0.00;;;1955-05-06;C19;;;1995-07-17
