CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
DEU000280300;;DNK;;;89.40;0.00;0.00;;24.71;21.60;CONNIE VINTHER;RI75;RI75;;;Y;OWNQ;N;;;;;TO;;GNS, OTB;221.00;147.00;;;1983-01-01;B12;;;1996-05-31
DEU300200702;;DNK;;;15.70;0.00;0.00;;11.98;11.98;MILLE;DEU300200702;T18;Nørre Vorupør;;Y;OU8281;N;N;N;;;WO;;GNS, LL, LLS, FPO;115.00;0.00;Fiber/Plastic;;2001-01-01;MFL;1983-01-01;;
DEU302520207;;DNK;;;79.80;0.00;0.00;;18.60;15.94;ANDREA KLITBO;;FN226;;;Y;OWXZ;Y;Y;Y;;;TO;;OTB;219.92;11.03;Metal;;2002-01-01;MFL;1982-01-01;;2018-08-25
DEU302540207;220166000;DNK;;;620.00;0.00;0.00;;43.80;43.80;MALLE;DEU302540207;L153;Thyborøn;;Y;OUOT;Y;Y;Y;9034080;;TOX;;OTB, NO;1325.00;0.00;Metal;;1992-01-01;MFL;1992-01-01;2023-08-23;
DEU302640234;;DNK;;;2.90;0.00;0.00;;7.28;6.56;PJEVS;DEU302640234;L383;Oddesund Nord;;N;;N;N;N;;;WO;;GNS, FPO, FYK;42.00;0.00;Fiber/Plastic;;2005-12-01;MFL;1997-01-01;;
DEU400840101;;DNK;;;43.10;0.00;0.00;;17.20;15.63;JULI-ANE II;RI568;RI568;;;Y;OVIT;Y;;;;;TUB;;TBB, NO;221.00;0.00;Metal;;1968-01-01;MFL;1968-01-01;2009-12-21;
DEU500290105;;DNK;;;31.80;0.00;0.00;;17.82;15.47;MALLEMUKKEN;L299;L299;;;Y;OWGC;Y;;;;;TUB;;TBB, NO;170.00;0.00;Metal;;1991-01-01;MFL;1962-01-01;2009-12-30;
DNK000000001;;DNK;;;5.80;6.85;0.00;;8.00;0.00;THEA;AA22;AA22;;;Y;XP2053;N;;;;;WO;;GNS;34.00;0.00;Wood;;1962-01-01;MFL;1962-01-01;2003-03-25;
DNK000000010;;DNK;;;5.80;5.45;0.00;;9.26;0.00;RIKKE ANDREAS;H34;H34;;;N;;N;;;;;MTG;;OTB, GNS;36.00;0.00;Wood;;1946-01-01;MFL;1945-01-01;;2006-09-08
DNK000000013;;DNK;;;0.00;19.21;0.00;;13.11;0.00;SYNØVA;L4;L4;;;Y;XP2089;N;;;;;WO;;GNS;113.00;0.00;;;1963-01-01;4B2;;1997-06-25;
DNK000000030;;DNK;;;0.00;7.00;0.00;;8.30;0.00;RAMI II;AS33;AS33;;;Y;XP9858;N;;;;;WO;;GNS, LTL;40.00;0.00;;;1974-01-01;B13;;;1995-10-09
DNK000000032;219001553;DNK;;;10.40;0.00;0.00;;9.95;9.95;GRÆSHOLM;DNK000000032;FN168;"Østerby"", Læsø";;Y;OU5721;N;N;Y;;;WO;;OTB, FYK, FPO, GNS;93.00;0.00;Wood;;1968-01-01;MFL;1968-01-01;;
DNK000000040;;DNK;;;15.70;0.00;0.00;;11.89;11.65;INGRID;DNK000000040;FA50;"Sønderskov"", Øst For Skærbæk";;Y;5PHX;N;N;N;;;MTS;;SX, NO, OTB;81.00;0.00;Wood;;1944-01-01;MFL;1944-01-01;;
DNK000000085;;DNK;;;0.00;19.97;0.00;;14.90;0.00;BENTE-LONE;AS119;AS119;;;Y;OWYN;N;;;;;TS;;OTB, NO;121.00;0.00;;;1917-01-01;3;;;
DNK000000086;;DNK;;;4.10;0.00;0.00;;0.00;0.00;PILKEN;DNK000000086;AS123;;;Y;XP2742;N;N;N;;;WO;;GNS, LTL, NO;16.00;0.00;Fiber/Plastic;;1967-01-01;MFL;1967-01-01;;2005-05-31
DNK000000095;;DNK;;;16.10;13.21;0.00;;12.27;0.00;TREÅ;AS109;AS109;;;Y;5QHZ;N;;;;;TS;;OTB, NO;81.00;0.00;Wood;;1961-01-01;MFL;1961-01-01;2004-08-25;
DNK000000122;;DNK;;;20.00;17.59;0.00;;12.45;0.00;HEKLA;SG470;SG470;;;Y;XP2071;N;;;;;MTG;;GNS;91.00;0.00;;;1939-01-01;4B3;;;2000-02-21
DNK000000123;;DNK;;;10.60;0.00;0.00;;10.85;0.00;SØPØLSEN;H277;H277;;;Y;XP3208;N;;;;;MTG;;GNS, OTB;93.00;0.00;Wood;;1957-01-01;MFL;1957-01-01;;2015-09-21
DNK000000125;;DNK;;;8.00;0.00;0.00;;0.00;0.00;HANS;DNK000000125;AS194;;;N;;N;N;N;;;WO;;GNS, LTL, NO;29.00;0.00;Wood;;1952-01-01;MFL;1952-01-01;;2005-05-03
DNK000000127;;DNK;;;8.10;9.26;0.00;;9.24;0.00;DORTHE CLAUS;AS202;AS202;;;Y;XP3317;N;;;;;WO;;GNS, LLS;50.00;0.00;;;1975-01-01;4B1;;1999-07-12;
DNK000000131;;DNK;;;0.00;19.97;0.00;;13.70;0.00;KAMMA JESS;AS222;AS222;;;Y;XP2288;N;;;;;TS;;OTB, NO;113.00;0.00;;;1964-01-01;B12;;1993-11-29;
DNK000000132;;DNK;;;13.80;11.42;0.00;;11.14;0.00;MARGITH;RS63;RS63;;;Y;XP3032;N;;;;;MTG;;OTB, GNS;29.00;0.00;Wood;;1943-01-01;MFL;1943-01-01;;2003-01-16
DNK000000134;;DNK;;;2.50;0.00;0.00;;8.05;8.05;CHRISTINA CHARLOTTE;DNK000000134;SG42;Spodsbjerg Havn;;Y;XP3071;N;N;N;;;WO;;GNS, NO;34.00;0.00;Fiber/Plastic;;1973-01-01;MFL;1973-01-01;;
DNK000000152;;DNK;;;5.10;0.00;0.00;;8.76;0.00;ELSE;AS273;AS273;;;Y;XP3123;N;;;;;MTG;;GNS, LTL;16.00;0.00;;;1973-01-01;4B3;;1998-04-07;
DNK000000153;;DNK;;;0.00;13.39;0.00;;11.00;0.00;KYHOLM;AS274;AS274;;;Y;XP2453;N;;;;;FX;;GNS, NO;99.00;0.00;;;1956-01-01;4B1;;;1997-06-30
DNK000000160;;DNK;;;0.00;6.96;0.00;;9.80;0.00;SØREN;AS305;AS305;;;Y;XP3072;N;;;;;WO;;GNS, LTL;55.00;0.00;;;1935-01-01;4B1;;1998-06-26;
