CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
DNK000013170;276863000;EST;;;182.00;0.00;0.00;;31.70;28.24;MILTON;910;EK-2102;Haapsalu Kalasadam;;Y;ESLV;Y;Y;Y;7637292;;TO;;OTB, OTM;749.00;152.50;Metal;;1978-12-30;MFL;1978-01-01;;
ESP000015587;276831000;EST;;;971.00;0.00;0.00;;56.20;46.00;LENNUK;772;EK-1602;Tallinn;;Y;ESKT;Y;Y;Y;8619699;;TO;;OTB, NO;904.00;592.00;Metal;;1988-12-31;MFL;1988-01-01;;2025-03-04
EST000202119;;EST;;;0.30;0.00;0.00;;5.50;5.28;BSA-484;6S000219;BSA-484;Jaama küla lauter;;N;;N;N;N;;;GO;;GNS, NO;0.00;0.00;Wood;;1997-12-31;MFL;1997-01-01;;
EST000314164;;EST;;;2.31;0.00;0.00;;8.10;7.78;BMA-198;BMA-198;BMA-198;Narva-Jõesuu;;N;;N;N;N;;;GO;;GNS, FPO;3.39;0.00;Metal;;1990-12-31;MFL;1990-01-01;;
EST000403160;;EST;;;0.80;0.00;0.00;;4.65;4.46;BMA-263;6M000169;BMA-263;;;N;;N;N;N;;;GO;;FPO, GNS;22.06;0.00;Metal;;1980-12-31;MFL;1980-01-01;;
EST000606348;;EST;;;6.90;0.00;0.00;;10.28;9.87;JOHANNA;SMA-299;SMA-299;Veere Sadam;;Y;ES2427;N;N;N;;;WO;;OTB, OTM;202.00;0.00;Fiber/Plastic;;1993-12-31;MFL;1993-01-01;;2018-04-18
EST000825038;;EST;;;10.60;0.00;0.00;;12.60;12.10;VILLE;1F0058;EK-1516;Tallinn;;Y;ES2325;N;N;N;;;TO;;OTM, NO;54.00;0.00;Metal;;1990-12-31;MFL;1990-01-01;;2006-03-29
EST000825423;;EST;;;79.00;0.00;0.00;;27.10;24.82;VIIKARI;1F00H57;EK-9244;Tallinn;;Y;ES2120;N;N;N;;;TO;;OTM, PTB, OTB;165.00;0.00;Metal;;1974-12-31;MFL;1974-01-01;;
EST000825424;;EST;;;117.00;0.00;0.00;;25.50;23.06;TOOLSE;1F00G56;EK-3231;Tallinn;;Y;ESBR;Y;N;N;8928181;;TO;;NO;221.00;0.00;Metal;;1975-12-31;MFL;1975-01-01;2014-08-19;
EST000825462;;EST;;;122.00;0.00;0.00;;25.42;23.06;LIU;3F00F10;EK-9250;Pärnu Sadam;;Y;ES2027;Y;N;N;8331601;;TO;;NO;221.00;0.00;Metal;;1984-12-31;MFL;1984-01-01;;2013-12-30
EST000825463;;EST;;;126.00;0.00;0.00;;28.30;25.50;AMAZON;397FA02;EK-9702;Nasva Sadam;;Y;ES2281;Y;N;N;5341112;;TO;;OTM, OTB;423.00;0.00;Metal;;1961-12-31;MFL;1961-01-01;;2017-10-18
EST000825464;;EST;;;166.00;0.00;0.00;;27.54;24.29;HANNA;397FL13;EK-9723;Nasva Sadam;;Y;ES2356;Y;N;N;5295155;;TO;;OTM, OTB;662.00;0.00;Metal;;1961-12-31;MFL;1961-01-01;;
EST000825465;;EST;;;129.00;0.00;0.00;;26.47;22.55;SOLVEIG;397FG12;EK-9709;Nasva Sadam;;Y;ES2333;Y;N;N;;;TO;;OTB, OTM;423.00;0.00;Metal;;1961-12-31;MFL;1961-01-01;;2006-02-08
EST000826036;;EST;;;17.00;0.00;0.00;;15.37;14.76;THERESE;3F00H14;EK-9412;Nasva Sadam;;Y;ES2079;N;N;N;;;TO;;OTM, NO;106.70;0.00;Metal;;1994-12-31;MFL;1994-01-01;;2007-03-13
EST000912075;;EST;;;0.74;0.00;0.00;;4.65;4.46;BMA-787;6M000760;BMA-787;Alajõe Saare kinnistu;;N;;N;N;N;;;GO;;GNS, NO;18.39;0.00;Fiber/Plastic;;1994-12-31;MFL;1994-01-01;;
EST001128499;;EST;;;12.44;0.00;0.00;;12.98;12.46;ERIK;196FH02;EK-9607;Tallinn;;Y;ES2263;N;N;N;;;TO;;PS, PTM;58.00;0.00;Wood;;1986-12-31;MFL;1986-01-01;;2006-03-30
EST001218001;;EST;;;698.00;0.00;0.00;;47.90;43.07;HELTERMAA;1F00L74;EK-9901;Tallinn;;Y;ESGM;Y;N;N;8003981;;TO;;OTB, NO;1325.00;860.00;Metal;;1981-12-31;MFL;1981-01-01;;
EST010101010;;EST;;;17.00;0.00;0.00;;15.73;15.10;AVE;1F00D22;EK-1005;Tallinn;;Y;ES2283;N;N;N;;;TO;;OTM, NO;73.50;0.00;Wood;;1991-12-31;MFL;1991-01-01;;2007-03-13
EST010101011;;EST;;;25.00;0.00;0.00;;17.56;16.86;KAAVI;197FC01;EK-9704;Tallinn;;Y;ES2176;N;N;N;;;TO;;NO;110.00;0.00;Metal;;1979-12-31;MFL;1979-01-01;;2009-05-13
EST010101012;;EST;;;13.93;0.00;0.00;;12.98;12.46;MAJAK-5;1F00F32;EK-9409;Tallinn;;Y;ES2103;N;N;N;;;TO;;OTM, NO;66.00;0.00;Wood;;1976-12-31;MFL;1976-01-01;;2006-03-29
EST010101013;;EST;;;13.00;0.00;0.00;;15.73;15.10;MAJAK-6;1F00F25;EK-9410;Tallinn;;Y;ES2104;N;N;N;;;TO;;OTM, NO;66.00;0.00;Wood;;1986-12-31;MFL;1986-01-01;;2006-03-29
EST010101014;;EST;;;117.00;0.00;0.00;;23.06;22.14;NARVIA;199FJ36;EK-9222;Narva-Jõesuu;;Y;ESHB;Y;N;N;8858465;;TO;;OTM, NO;220.00;0.00;Metal;;1991-12-31;MFL;1991-01-01;;
EST010101015;;EST;;;10.89;0.00;0.00;;12.92;12.40;KELNASE-1;195FH21;EK-9512;Kelnase Sadam;;N;;N;N;N;;;TO;;NO;61.60;0.00;Wood;;1995-12-31;MFL;1995-01-01;2009-07-15;
EST010101016;;EST;;;9.80;0.00;0.00;;12.98;12.46;KELNASE-5;1F00F30;EK-1506;Kelnase Sadam;;N;;N;N;N;;;TO;;NO;44.00;0.00;Wood;;1983-12-31;MFL;1983-01-01;;2009-05-13
EST010101017;;EST;;;28.65;0.00;0.00;;17.56;16.86;AIDU;198FG01;EK-9301;Westmeri Sadam;;Y;ES2204;Y;N;N;;;TO;;OTB, OTM;110.00;0.00;Metal;;1981-12-31;MFL;1981-01-01;;2017-07-04
EST010101018;;EST;;;75.00;0.00;0.00;;25.20;22.15;RANNA;199FG21;EK-2047;Narva-Jõesuu;;Y;ES2219;Y;N;N;;;TO;;NO;367.00;0.00;Metal;;1968-12-31;MFL;1968-01-01;2009-05-13;
EST010101019;;EST;;;117.00;0.00;0.00;;25.40;22.44;VIRU;199FI32;EK-9223;Narva-Jõesuu;;Y;ESHA;Y;N;N;8729755;;TO;;NO;220.00;0.00;Metal;;1989-12-31;MFL;1989-01-01;2009-07-10;
EST010101020;;EST;;;73.00;0.00;0.00;;25.20;22.08;FORTUUNA;195FD03;EK-9508;Narva-Jõesuu;;Y;ES2122;Y;N;N;;;TO;;OTM, NO;294.00;0.00;Metal;;1972-12-31;MFL;1972-01-01;;2006-03-31
EST010101021;;EST;;;113.00;0.00;0.00;;23.06;22.00;HIIESAARE;805;EK-1801;Miiduranna Sadam;;Y;ESLA;Y;Y;Y;8878348;;TO;;OTM, NO;368.00;0.00;Metal;;1981-12-31;MFL;1981-01-01;;
EST010101022;;EST;;;46.00;0.00;0.00;;19.38;18.60;JOHNNY;198FI10;EK-9606;Tallinn;;Y;ES2257;N;N;N;;;TO;;OTM, NO;240.00;0.00;Wood;;1957-12-31;MFL;1957-01-01;;2006-03-01
EST010101023;;EST;;;122.00;0.00;0.00;;25.42;23.06;KASTNA;3F00E05;EK-9233;Pärnu Sadam;;Y;ES2135;Y;N;Y;8870889;;TO;;OTM, NO;221.00;0.00;Metal;;1983-12-31;MFL;1983-01-01;;
EST010101024;;EST;;;117.00;0.00;0.00;;25.50;23.06;ILLUSTE;1F00G54;EK-9251;Virtsu Sadam;;Y;ES2274;Y;N;N;8887648;;TO;;OTM, NO;221.00;0.00;Metal;;1983-12-31;MFL;1983-01-01;;2006-03-16
EST010101025;;EST;;;117.00;0.00;0.00;;25.40;23.06;MAALI;199FK42;EK-9403;Tallinn;;Y;ES2055;Y;N;N;8897253;;TO;;NO;221.00;0.00;Metal;;1973-12-31;MFL;1973-01-01;;2011-05-19
EST010101026;;EST;;;14.07;0.00;0.00;;13.20;12.67;PÜÜTON 2;196FJ06;EK-9610;Loksa Sadam;;Y;ES2269;Y;N;N;;;TO;;PTM, NO;104.00;0.00;Wood;;1996-12-31;MFL;1996-01-01;;2018-02-26
