CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
DEU000120400;230996190;FIN;;;319.00;0.00;0.00;;33.34;28.26;CHRISTINA JARCHAU;FIN-14-V;FIN-14-V;Vaasa;;Y;OF7544;Y;Y;Y;8332277;;TO;;OTM, OTB;683.00;173.46;Metal;;1983-01-01;MFL;1983-01-01;;
DEU001160602;;FIN;;;20.23;0.00;0.00;;11.99;0.00;BÄRBEL;FIN-31613-T;FIN-31613-T;Turku;;N;;N;;;;;FX;;PTM, OTM;350.00;0.00;Metal;;1998-01-01;MFL;1998-01-01;;2015-05-20
DNK000006137;230179120;FIN;;;373.00;0.00;0.00;;39.90;35.14;Glomskär;FIN-1151-T;FIN-1151-T;Turku;;Y;OJUS;Y;Y;Y;8331833;;TO;;OTM, OTB;700.00;333.00;Metal;;2023-08-25;MFL;1983-01-01;;
DNK000006814;;FIN;;;14.84;0.00;0.00;;11.70;0.00;Nordnæs;FIN-39-K;FIN-39-K;Kymi;;N;;N;N;N;;;TT;;OTB, OTM;168.00;0.00;Wood;;2025-08-13;MFL;1965-01-01;;
DNK000007253;;FIN;;;71.00;0.00;0.00;;18.52;18.51;DIANA;;FIN-1137-T;Turku;;Y;OJ8624;N;N;N;;;TT;;OTB, OTM;308.00;12.00;Wood;;2009-09-02;MFL;1959-01-01;;2014-10-17
DNK000008392;;FIN;;;123.34;0.00;0.00;;27.04;24.93;WINDÖ;FIN-171-T;FIN-171-T;Turku;;Y;OXNQ;Y;;;;;FX;;OTM, OTB;368.00;10.00;Metal;;2001-11-12;MFL;1960-01-01;;2005-12-07
DNK000012310;230942350;FIN;;;247.00;0.00;0.00;;34.70;31.27;HANNE;;FIN-168-V;Vaasa;;Y;OJQD;Y;Y;Y;6900563;;TO;;OTM, OTB;749.00;175.00;Metal;;1968-06-18;MFL;1968-01-01;;2024-04-02
DNK000012807;230069190;FIN;;;113.00;0.00;0.00;;20.60;18.68;LINDESNES;;FIN-1143-T;Turku;;Y;OJQN;Y;Y;Y;;;TT;;OTB, OTM;448.00;17.00;Metal;;1985-01-01;MFL;1984-01-01;;
DNK000013087;;FIN;;;110.00;0.00;0.00;;19.51;17.31;MONICA;;AAL-127;Åland;;Y;OH3858;Y;Y;N;8612110;;TO;;OTM, PTM;368.00;0.00;Metal;;2014-05-07;MFL;1985-01-07;;2018-10-16
DNK000013170;230083540;FIN;;;182.00;0.00;0.00;;31.70;28.24;MILTON;;FIN-172-V;Vaasa;;Y;OH5494;Y;Y;Y;7637292;;TO;;OTM, PTM;749.00;100.00;Metal;;1976-07-08;MFL;1976-01-01;;2021-08-17
DNK000013968;219239000;FIN;;;441.00;0.00;0.00;;40.80;37.30;LAGUNA;FIN-1122-T;FIN-1122-T;Turku;;Y;OJ9406;Y;Y;Y;7392309;;TO;;OTM, PTM;956.15;847.00;Metal;;1974-01-01;MFL;1974-01-01;;
EST010101021;;FIN;;;113.00;0.00;0.00;;23.90;23.06;HIIESAARE;;FIN-1114-U;Uusimaa;;Y;OJPN;Y;Y;N;8878348;;TO;;OTM, PTM;551.00;120.00;Metal;;2012-01-05;MFL;1981-01-01;;2018-02-01
FIN000010001;;FIN;;;33.00;0.00;0.00;;16.95;16.18;DORITA;FIN-162-O;FIN-162-O;Oulu;;Y;OF2343;Y;;;;;FX;;OTM, GNS;239.04;0.00;Wood;;1960-01-01;MFL;1939-01-01;;2005-01-25
FIN000010002;;FIN;;;49.77;0.00;0.00;;18.57;17.79;MILORD;FIN-183-T;FIN-183-T;Turku;;N;;Y;;;;;FX;;OTM, NO;375.00;0.00;Wood;;1978-09-18;MFL;1933-01-01;;2006-07-21
FIN000010003;;FIN;;;15.11;0.00;0.00;;10.20;0.00;NINA;FIN-111-U;FIN-111-U;Uusimaa;;Y;OF6293;N;;;;;FX;;PTM, LLS;136.07;0.00;Fiber/Plastic;;1980-10-01;4L2;1980-01-01;;2002-12-17
FIN000010004;;FIN;;;8.29;0.00;0.00;;10.60;0.00;CANNON;FIN-112-U;FIN-112-U;Uusimaa;;N;;N;;;;;FX;;GNS;70.00;0.00;Wood;;1984-01-01;4L1;1959-01-01;;2000-05-08
FIN000010005;;FIN;;;15.07;0.00;0.00;;10.58;0.00;MORGANA;FIN-113-U;FIN-113-U;Uusimaa;;N;;N;;;;;FX;;GNS;77.23;0.00;Wood;;1958-09-16;4L2;1953-01-01;;1999-05-07
FIN000010006;;FIN;;;30.00;0.00;0.00;;15.48;14.25;JUNY;FIN-1105-T;FIN-1105-T;Turku;;Y;OF8632;Y;;;;;FX;;PTM, NO;262.50;0.00;Wood;;1984-10-16;MFL;1963-01-01;;2008-04-28
FIN000010007;;FIN;;;9.00;0.00;0.00;;11.10;0.00;HÄSTÖ;FIN-115-U;FIN-115-U;Uusimaa;;Y;OF8559;N;;;;;FX;;GNS, LLS;136.07;0.00;Wood;;1970-01-01;MFL;1970-01-01;;2015-03-26
FIN000010008;;FIN;;;10.50;0.00;0.00;;10.80;0.00;MONA;;FIN-116-U;Uusimaa;;Y;OF8588;N;N;N;;;GO;;GNS, NK;161.81;0.00;Fiber/Plastic;;1984-01-01;MFL;1984-01-01;;2020-01-07
FIN000010009;;FIN;;;18.35;0.00;0.00;;12.35;12.34;LENA II;FIN-143-K;FIN-143-K;Kymi;;N;;N;;;;;FX;;PTM, LLS;217.00;0.00;Fiber/Plastic;;1989-01-01;MFL;1989-01-01;;2010-12-01
FIN000010010;;FIN;;;105.00;0.00;0.00;;26.14;24.12;HELGOLAND;FIN-118-U;FIN-118-U;Uusimaa;;Y;OGUZ;Y;;;;;FX;;OTM, NO;596.00;0.00;Metal;;1968-01-01;MFL;1960-01-01;2005-02-10;
FIN000010011;;FIN;;;17.08;0.00;0.00;;11.85;0.00;STENÖ;FIN-119-U;FIN-119-U;Uusimaa;;N;;N;;;;;FX;;OTM, NO;125.00;0.00;Metal;;1984-04-27;4L2;1983-01-01;;2001-11-26
FIN000010012;;FIN;;;44.00;0.00;0.00;;17.70;16.70;IAN;FIN-12-U;FIN-12-U;Uusimaa;;N;;N;;;;;FX;;OTM, NO;250.07;0.00;Wood;;1974-01-01;4L2;1934-01-01;2000-05-26;
FIN000010013;;FIN;;;11.06;0.00;0.00;;11.20;0.00;TACOS;FIN-120-U;FIN-120-U;Uusimaa;;Y;OG6433;N;;;;;FX;;OTM, GNS;93.41;0.00;Fiber/Plastic;;1988-01-01;4L2;1988-01-01;;2002-12-17
FIN000010014;;FIN;;;81.00;0.00;0.00;;24.70;24.28;KELJA;FIN-121-U;FIN-121-U;Uusimaa;;Y;OI4084;Y;;;;;FX;;PTM, LLS;128.71;44.13;Metal;;1988-08-11;4L2;1968-01-01;;1999-09-23
FIN000010015;;FIN;;;7.91;0.00;0.00;;10.35;0.00;JUN;FIN-122-U;FIN-122-U;Uusimaa;;Y;OG3619;N;;;;;FX;;GNS;154.46;0.00;Fiber/Plastic;;1988-01-01;MFL;1988-01-01;;
