CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
BEL015542000;228099900;FRA;;;133.00;0.00;0.00;;21.53;21.00;ROUANEZ AN ARVOR;934711;LO934711;Lorient;;Y;FJZW;Y;Y;Y;8740814;;FX;;GNS, FPO;331.00;0.00;Polyester;;2018-05-18;MFL;2000-01-01;;
DNK000045520;228436900;FRA;;;209.00;0.00;0.00;;23.95;21.00;ASTRID;938270;GV938270;Guilvinec;;Y;FMUK;Y;Y;Y;9867815;;FX;;OTT, OTB;634.00;0.00;Metal;;2022-09-13;MFL;2019-01-01;;
ESP000022941;228067700;FRA;;;279.00;0.00;0.00;;33.50;33.00;PLAYA DE TUYA;932998;BA932998;Bayonne;;Y;FIUW;Y;Y;Y;9108013;;FX;;OTB, NO;707.00;0.00;Metal;;2015-08-06;MFL;1994-01-01;;
ESP000022972;228004700;FRA;;;250.00;178.47;0.00;;30.47;30.00;RIO DA BOUZA;922721;BA922721;Bayonne;;Y;FFZU;Y;Y;Y;9103257;;FX;;OTB, NO;588.00;0.00;Metal;;2011-03-22;MFL;1995-01-01;;
ESP000022984;228349800;FRA;;;227.00;158.60;0.00;;28.99;25.00;FERREIRA MARTINEZ;929520;BA929520;Bayonne;;Y;FLTR;Y;Y;Y;9108025;;FX;;OTB, NO;570.00;0.00;Other;;2010-07-02;MFL;1994-01-01;;
ESP000023157;228015700;FRA;;;305.00;196.90;0.00;;33.09;30.00;FARPESCA;930430;BA930430;Bayonne;;Y;FHZJ;Y;Y;Y;9105712;;FX;;OTB, NO;810.00;0.00;Metal;;2011-09-28;MFL;1996-01-01;;
ESP000023252;228436800;FRA;;;315.00;0.00;0.00;;36.30;34.00;LAREDO;938261;BA938261;Bayonne;;Y;FMUJ;Y;N;Y;9105724;;FX;;OTB, NO;734.00;0.00;Metal;;2022-07-21;MFL;1995-01-01;;
ESP000023601;228031700;FRA;;;244.00;113.29;0.00;;24.82;24.05;MARIA VIDAL;931195;BA931195;Bayonne;;Y;FIFF;Y;Y;Y;9160645;;FX;;LLS, LLD;588.00;0.00;Metal;;2012-11-15;MFL;1997-01-01;;
ESP000023933;226045000;FRA;;;298.00;191.34;0.00;;32.00;29.36;FARO PICAMILLO;930501;BA930501;Bayonne;;Y;FICU;Y;Y;Y;9187291;;FX;;OTB, NO;588.00;0.00;Metal;;2012-02-23;MFL;1998-01-01;;
ESP000024117;228378700;FRA;;;340.00;0.00;0.00;;36.00;31.76;PUENTEAREAS UNO;935990;BA935990;Bayonne;;Y;FLXH;Y;Y;Y;9194189;;FX;;OTB, OTM;720.00;0.00;Metal;;2019-07-19;MFL;1999-01-01;;
ESP000024436;228413900;FRA;;;393.00;0.00;0.00;;34.00;25.00;GURE AMETZA II;936938;BA936938;Bayonne;;Y;FMQJ;Y;Y;Y;9166091;;FX;;LLS, GNS;646.00;0.00;Metal;;2021-05-28;MFL;1999-01-01;;
ESP000024554;228020900;FRA;;;295.00;168.33;0.00;;29.38;25.00;PEDRA BLANCA II;930590;BA930590;Bayonne;;Y;FIDD;Y;Y;Y;8962503;;FX;;OTB, NO;688.00;0.00;Metal;;2012-01-27;MFL;2000-01-01;;
ESP000024588;228048600;FRA;;;393.00;211.81;0.00;;33.60;33.00;ARGELES;932355;LO932355;Lorient;;Y;FIOI;Y;Y;Y;9221542;;FX;;OTB, NO;954.00;0.00;Metal;;2014-11-18;MFL;2000-01-01;;
ESP000024806;228005600;FRA;;;361.00;273.81;0.00;;37.25;30.00;KIRRIXKI;929795;BA929795;United Kingdom;;Y;FFZX;Y;Y;Y;9218739;;TO;;OTB, NO;1080.00;0.00;Metal;;2011-03-30;MFL;2000-01-01;;
ESP000024939;;FRA;;;29.34;0.00;0.00;;17.95;14.98;ANDRE JOLY;939852;AJ939852;Ajaccio;;N;;Y;N;N;2844096;;FX;;TB, OTB;243.00;0.00;Fiber/Plastic;;2025-02-06;MFL;2001-01-01;;
ESP000024996;228021800;FRA;;;311.00;177.43;0.00;;30.43;25.00;RADOCHE TERCERO;930703;BA930703;Bayonne;;Y;FIDH;Y;Y;Y;8968519;;FX;;OTB, NO;888.00;0.00;Metal;;2012-03-12;MFL;2001-01-01;;
ESP000025109;227275010;FRA;;;324.00;209.68;0.00;;36.00;31.94;PUNTA VIXIA;932152;BA932152;Bayonne;;Y;FIKF;Y;Y;Y;9247156;;FX;;OTB, OTM;717.00;0.00;Metal;;2014-03-13;MFL;2001-01-01;;
ESP000025300;227209970;FRA;;;274.00;160.17;0.00;;31.00;25.00;MAR DE FLORES;931194;BA931194;Bayonne;;Y;FIFK;Y;Y;Y;8731019;;FX;;GNS, NO;701.00;0.00;Metal;;2013-01-08;MFL;2002-01-01;;
