CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
ESP000026387;238059610;HRV;;;58.00;0.00;0.00;;22.00;0.00;SIN KALI 1;SIN KALI 1;ZD R 289016;Zadar;;Y;9AA4226;Y;N;Y;;;FX;;PS, LHP;706.00;0.00;Fiber/Plastic;;2024-08-28;MFL;2005-01-01;;
FRA000683111;238680040;HRV;;;132.00;0.00;0.00;;22.40;0.00;MUCHO;MUCHO;DB R 60;Dubrovnik;;Y;9A5269;Y;Y;Y;8705187;;FX;;OTB, LLS;492.00;0.00;Metal;;2018-11-27;MFL;1986-01-01;;
FRA000686455;238680040;HRV;;;78.00;0.00;0.00;;16.53;0.00;MARETA JEDAN;MARETA JEDAN;ST R 317;Split;;Y;9A3460;Y;Y;Y;;;FX;;OTB, NO;324.00;0.00;Metal;;2016-10-19;MFL;1987-01-01;;
HRV000000001;;HRV;;;5.65;0.00;0.00;;8.66;0.00;391-ŠB;391-ŠB;391-ŠB;Šibenik;;N;;Y;Y;N;;;FX;;PS, NO;25.76;0.00;Metal;;2013-07-01;MFL;1983-01-01;2024-07-16;
HRV000000002;238434040;HRV;;;180.88;0.00;0.00;;26.21;0.00;ANE;ANE;ST R 314;Split;;Y;9AA4801;N;Y;Y;8570790;;FX;;PS, NO;534.00;0.00;Wood;;2013-07-01;MFL;1980-01-01;;
HRV000000003;;HRV;;;341.00;0.00;0.00;;34.35;0.00;PAČE;PAČE;ŠB R 58;;;Y;9AA4802;Y;;;;;FX;;PS, OTM;698.00;1.00;Metal;;2013-07-01;MFL;1977-01-01;;2015-04-03
HRV000000004;;HRV;;;12.35;0.00;0.00;;14.20;0.00;425-CS;425-CS;425-CS;Cres;;N;;N;N;N;;;FX;;OTB, NO;106.60;0.00;Metal;;2013-07-01;MFL;1990-01-01;;2023-11-27
HRV000000005;;HRV;;;15.00;0.00;0.00;;13.43;0.00;497-RK;497-RK;497-RK;Rijeka;;N;;N;N;N;;;FX;;LLS, FPO;162.00;0.00;Wood;;2013-07-01;MFL;1952-01-01;;
HRV000000006;;HRV;;;1.25;0.00;0.00;;4.85;0.00;731-ML;731-ML;731-ML;United Kingdom;;N;;N;;;;;FX;;GNS, LHP;66.20;0.00;Other;;2013-07-01;MFL;2004-01-01;;
HRV000000007;;HRV;;;37.00;0.00;0.00;;17.53;0.00;OBLIĆ;OBLIĆ;PU R 265;Pula;;Y;9AA5668;Y;Y;N;;;FX;;GTR, FPO;162.00;0.00;Wood;;2013-07-01;MFL;1956-01-01;;2025-02-21
HRV000000008;;HRV;;;1.66;0.00;0.00;;5.90;0.00;340-KK;340-KK;340-KK;;;N;;N;;;;;FX;;LLS, GNS;15.30;4.80;Fiber/Plastic;;2013-07-01;MFL;1985-01-01;;
HRV000000009;;HRV;;;0.41;0.00;0.00;;4.10;0.00;304-RB;304-RB;304-RB;Rab;;N;;N;N;N;;;FX;;GNS, LLS;14.70;0.00;Wood;;2013-07-01;MFL;1992-01-01;;
HRV000000010;;HRV;;;3.93;0.00;0.00;;9.00;0.00;218-CS;218-CS;218-CS;Cres;;N;;N;N;N;;;FX;;FPO, LLS;41.00;0.00;Wood;;2013-07-01;MFL;1985-01-01;;2022-04-28
