CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
GBR000B12568;;ITA;;;414.00;384.82;0.00;;42.20;38.35;ITTIPESCA QUARTO;00MV00291M;00MV00291M;Mazara Del Vallo;;Y;I.Y.X.T;N;;;;;FX;;OTB, NO;1350.00;0.00;Metal;;1997-07-08;MFL;1983-01-01;;
ITA000000001;;ITA;;;1.00;2.78;0.00;;6.98;0.00;PINTA;00AN00199;00AN00199;Ancona;;N;;N;;;;;FX;;GNS, NK;8.80;0.00;Wood;;1946-05-02;4H1;1923-01-01;;1998-05-18
ITA000000002;;ITA;;;1.00;0.70;0.00;;3.85;3.52;AQUILA;00AN00204;00AN00204;Ancona;;N;;N;;;;;FX;;GNS, SB;5.50;0.00;Wood;;1934-04-25;MFL;1934-01-01;;
ITA000000003;;ITA;;;0.00;404.03;0.00;;46.52;0.00;LARUS;00AN00226M;00AN00226M;Ancona;;Y;I.P.H.E;N;;;;;FX;;OTB, NO;551.60;0.00;Fiber/Plastic;;1962-06-05;G15;1949-01-01;;
ITA000000004;;ITA;;;1.00;0.63;0.00;;3.75;3.27;GINA;00AN00299;00AN00299;Ancona;;N;;N;;;;;FX;;LLS, GNS;18.40;0.00;Wood;;1946-04-11;4H1;1946-01-01;1999-02-09;
ITA000000005;;ITA;;;1.00;0.61;0.00;;4.04;3.06;KEVIN;00AN00616;00AN00616;Ancona;;N;;N;;;;;FX;;GNS, NO;0.00;0.00;Wood;;1950-03-23;MFL;1950-01-01;;
ITA000000006;;ITA;;;1.00;1.00;0.00;;4.00;3.51;MATILDE;00AN00653;00AN00653;Ancona;;N;;N;;;;;FX;;LLS, GNS;4.25;0.00;Wood;;1950-06-20;MFL;1910-01-01;;2015-02-23
ITA000000007;;ITA;;;1.00;1.40;0.00;;5.10;4.08;MARCO POLO;00AN00726;00AN00726;Ancona;;N;;N;;;;;FX;;LLS, GNS;7.30;0.00;Wood;;1952-08-19;MFL;1952-01-01;2017-12-05;
ITA000000008;;ITA;;;95.00;112.23;0.00;;24.70;20.80;INTREPIDO;00AN03904;00AN03904;Ancona;;Y;I.P.P.N;Y;;;;;FX;;OTB, NO;466.00;0.00;Wood;;1982-08-21;MFL;1979-01-01;2007-02-09;
ITA000000009;;ITA;;;0.00;22.43;0.00;;14.74;0.00;ROBERTO PADRE;00AN00900;00AN00900;Ancona;;N;;N;;;;;FX;;OTB, NO;44.10;0.00;Wood;;1956-01-01;C22;1955-01-01;;1996-05-08
ITA000000010;;ITA;;;0.00;10.64;0.00;;12.95;0.00;FRATELLO GIUSEPPE;00AN00909;00AN00909;Ancona;;N;;N;;;;;FX;;OTB, NO;95.60;0.00;Wood;;1984-01-28;4H2;1952-01-01;1997-04-07;
ITA000000011;;ITA;;;0.00;0.59;0.00;;3.70;0.00;AURORA;00AN01076;00AN01076;Ancona;;N;;N;;;;;FX;;LLS, GNS;4.40;0.00;Wood;;1958-01-01;4H1;1958-01-01;;2000-10-06
ITA000000012;;ITA;;;0.00;0.52;0.00;;3.50;0.00;AROLDO;00AN01115;00AN01115;Ancona;;N;;N;;;;;FX;;PS, LLS;4.40;0.00;Wood;;1958-08-04;4H1;1958-01-01;;2000-10-06
ITA000000013;;ITA;;;29.00;23.95;0.00;;15.80;14.18;ORGOGLIO I;07AN00735;07AN00735;Civitanova Marche;;Y;IIGL;Y;;;;;FX;;OTB, NO;77.20;0.00;Wood;;1958-10-16;MFL;1958-01-01;2012-07-05;
ITA000000014;;ITA;;;0.00;0.55;0.00;;3.50;0.00;MARIA PRIMA;00AN01143;00AN01143;Ancona;;N;;N;;;;;FX;;GNS, NO;2.90;0.00;Wood;;1959-01-07;4H1;1958-01-01;;2000-10-06
ITA000000015;;ITA;;;31.00;22.39;0.00;;17.60;14.60;NEMEZIO CASTELLANI;00AN01206;00AN01206;Ancona;;Y;I.J.B.O;N;;;;;FX;;OTB, NO;162.00;0.00;Wood;;1959-07-04;4H2;1958-01-01;2000-06-28;
ITA000000017;;ITA;;;4.00;6.13;0.00;;9.05;7.54;LUIGI GIACOMO ASSUNTA;00AN01244;00AN01244;Ancona;;Y;I.P.V.L;N;;;;;FX;;OTB, PS;47.00;0.00;Wood;;1959-08-28;MFL;1952-01-01;;
ITA000000018;;ITA;;;41.00;32.78;0.00;;18.98;15.70;GENTILINA;00AN01270;00AN01270;Ancona;;Y;I.U.J.O;N;;;;;FX;;OTB, NO;96.00;0.00;Wood;;1959-11-16;4H2;1951-01-01;2000-10-03;
ITA000000019;247081490;ITA;;;40.00;30.27;0.00;;18.06;16.22;PROVVEDITORE;07AN00853;07AN00853;Civitanova Marche;;Y;INXD;Y;Y;Y;;;FX;;OTB, NO;198.53;0.00;Wood;;1960-09-19;MFL;1960-01-01;;
ITA000000020;;ITA;;;1.00;0.66;0.00;;3.96;3.58;PAOLINA;00AN01422;00AN01422;Ancona;;N;;N;;;;;FX;;LLS, GNS;2.94;0.00;Wood;;1961-04-11;MFL;1961-01-01;2012-04-25;
ITA000000021;;ITA;;;2.00;3.09;0.00;;7.75;7.65;MARY;00AN01489;00AN01489;Ancona;;N;;N;;;;;FX;;OTB, PS;35.00;0.00;Wood;;1961-08-25;4H6;1961-01-01;1997-11-14;
ITA000000022;;ITA;;;31.00;24.96;0.00;;17.76;15.32;ANTONIO PACINOTTI;00AN01582;00AN01582;Ancona;;Y;I.K.A.Y;N;;;;;FX;;OTB, NO;162.00;0.00;Wood;;1962-08-03;4H2;1961-01-01;2000-09-20;
ITA000000023;;ITA;;;1.00;0.95;0.00;;4.42;4.04;ASTERIX;00AN01638;00AN01638;Ancona;;N;;N;;;;;FX;;LLS, GNS;11.00;0.00;Wood;;1963-05-03;MFL;1963-01-01;;
ITA000000024;;ITA;;;2.00;3.25;0.00;;8.55;7.70;LAURO;07AN00718;07AN00718;Civitanova Marche;;N;;N;;;;;FX;;OTB, GNS;31.00;0.00;Wood;;1964-04-06;4H6;1959-01-01;;2002-07-31
ITA000000025;;ITA;;;0.00;1.65;0.00;;5.40;0.00;PAOLA G.;00AN01803;00AN01803;Ancona;;N;;N;;;;;FX;;PS, LLS;14.70;0.00;Wood;;1964-05-27;4H1;1964-01-01;;2002-02-18
ITA000000026;;ITA;;;1.00;0.69;0.00;;4.52;3.94;MOIRA;00AN01943;00AN01943;Ancona;;N;;N;;;;;FX;;LLS, GNS;5.80;0.00;Wood;;1965-05-14;MFL;1965-01-01;2012-04-25;
ITA000000027;;ITA;;;1.00;0.60;0.00;;3.88;0.00;CAPOCCETTO;07AN00792;07AN00792;Civitanova Marche;;N;;N;;;;;FX;;GNS, NO;7.40;0.00;Wood;;1965-09-04;MFL;1965-01-01;2012-08-24;
ITA000000028;;ITA;;;0.00;3.88;0.00;;8.45;0.00;NADIA PRIMA;00AN02231;00AN02231;Ancona;;N;;N;;;;;FX;;OTB, GNS;14.71;0.00;Wood;;1966-11-26;4H6;1959-01-01;;2000-10-09
ITA000000029;;ITA;;;0.00;2.82;0.00;;9.02;0.00;SUSI E MARCO;00AN02438;00AN02438;Ancona;;N;;N;;;;;FX;;GNS, NK;38.20;0.00;Wood;;1968-03-11;C18;1961-01-01;;1994-06-23
ITA000000030;;ITA;;;1.00;2.53;0.00;;6.65;6.08;SETTEBELLO;00AN02482;00AN02482;Ancona;;N;;N;;;;;FX;;PS, LLS;8.00;0.00;Wood;;1968-05-14;4H4;1968-01-01;2002-03-26;
ITA000000031;;ITA;;;1.00;0.78;0.00;;5.18;5.14;EZIO;00AN02520;00AN02520;Ancona;;N;;N;;;;;FX;;GNS, NO;13.00;0.00;Wood;;1968-07-04;MFL;1968-01-01;;2011-02-15
ITA000000032;;ITA;;;1.00;0.73;0.00;;3.90;3.17;MARISA SECONDA;00AN02532;00AN02532;Ancona;;N;;N;;;;;FX;;GNS, NO;14.70;0.00;Wood;;1968-07-13;MFL;1968-01-01;;
ITA000000033;;ITA;;;46.00;38.56;0.00;;19.55;17.01;LORENZO IL MAGNIFICO;00AN02631;00AN02631;Ancona;;Y;I.J.X.D;N;;;;;FX;;OTB, NO;228.00;0.00;Wood;;1969-03-27;4H2;1954-01-01;2000-11-03;
ITA000000034;;ITA;;;1.00;2.39;0.00;;6.85;6.60;SIMONETTA QUINTA;04SB00329;04SB00329;Porto San Giorgio;;N;;N;;;;;FX;;PS, LLS;22.00;0.00;Wood;;1969-05-09;MFL;1969-01-01;;2003-01-23
ITA000000035;;ITA;;;1.00;0.54;0.00;;3.83;3.54;DEA SECONDA;00AN02657;00AN02657;Ancona;;N;;N;;;;;FX;;PS, LLS;4.00;0.00;Wood;;1969-05-16;MFL;1969-01-01;;
ITA000000036;;ITA;;;43.00;39.05;0.00;;20.58;17.81;NUOVO ROMANO;00AN02774;00AN02774;Ancona;;Y;I.R.W.T;N;;;;;FX;;OTB, NO;228.00;0.00;Wood;;1969-09-17;4H2;1958-01-01;2000-03-02;
ITA000000037;;ITA;;;56.00;50.80;0.00;;21.31;17.87;LEON D'ORO;00AN02827;00AN02827;Ancona;;Y;I.L.F.S;N;;;;;FX;;OTB, NO;283.00;0.00;Wood;;1970-03-07;4H2;1969-01-01;2000-07-07;
ITA000000038;;ITA;;;2.00;3.28;0.00;;7.26;6.61;NADIA SECONDA;00AN02838;00AN02838;Ancona;;Y;I.Q.F.T;N;;;;;FX;;OTB, GNS;23.54;0.00;Wood;;1970-04-14;4H6;1970-01-01;1999-04-27;
ITA000000039;;ITA;;;0.00;9.37;0.00;;10.75;0.00;CLAUDIO F.;00AN02844;00AN02844;Ancona;;N;;N;;;;;FX;;OTB, PS;96.30;0.00;Wood;;1970-04-23;C21;1969-01-01;1992-03-13;
ITA000000040;;ITA;;;2.00;3.97;0.00;;7.20;6.72;ASSUNTA R.;00AN02993;00AN02993;Ancona;;N;;N;;;;;FX;;OTB, GNS;20.50;0.00;Wood;;1970-12-19;4H6;1970-01-01;2001-03-20;
ITA000000041;;ITA;;;5.00;7.18;0.00;;8.09;7.30;MANUELA;00AN03016;00AN03016;Ancona;;N;;N;;;;;FX;;OTB, PS;29.00;0.00;Wood;;1971-05-08;4H6;1971-01-01;1999-10-29;
ITA000000042;;ITA;;;43.00;33.56;0.00;;19.82;16.32;AMABILIA;07AN00615;07AN00615;Civitanova Marche;;N;;N;;;;;FX;;OTB, NO;301.55;0.00;Wood;;1971-06-22;4H2;1953-01-01;1998-07-23;
ITA000000043;;ITA;;;3.00;5.05;0.00;;8.37;7.27;SQUALO TERZO;00AN03092;00AN03092;Ancona;;N;;N;;;;;FX;;OTB, GNS;24.00;0.00;Wood;;1972-01-03;4H6;1971-01-01;2000-08-30;
ITA000000044;;ITA;;;5.00;4.96;0.00;;9.86;8.90;PIETRO RICCI;00SB00450;00SB00450;San Benedetto Del Tronto;;N;;N;;;;;FX;;OTB, LLS;96.30;0.00;Wood;;1972-09-06;MFL;1972-01-01;2006-07-05;
ITA000000045;;ITA;;;0.00;3.87;0.00;;7.30;0.00;LIBERO;00AN03171;00AN03171;Ancona;;N;;N;;;;;FX;;OTB, GNS;35.30;0.00;Wood;;1972-09-16;4H6;1971-01-01;1998-08-06;
ITA000000046;;ITA;;;0.00;2.43;0.00;;6.29;0.00;EDOARDO;00AN03208;00AN03208;Ancona;;N;;N;;;;;FX;;GNS, NO;8.00;0.00;Wood;;1973-05-26;001;1973-01-01;;1991-09-16
