CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
DEU000090601;;LTU;;;1943.00;0.00;0.00;;62.22;56.11;SEBASTES M.;781;KL 781;Klaipeda;;Y;LYSO;Y;N;N;8707733;;FX;;OTM, NK;1764.00;1244.00;Metal;;1987-05-30;MFL;1986-12-31;;
DEU000100601;277336000;LTU;;;1943.00;0.00;0.00;;62.22;56.11;NIDA;759;KL 759;Klaipeda;;Y;LYSA;Y;Y;Y;8707745;;FX;;OTM, NK;1764.00;1244.00;Metal;;1987-06-25;MFL;1987-01-01;2023-06-23;
DEU101000402;;LTU;;;7646.00;0.00;0.00;;125.53;117.29;ROJUS;817;KL 817;Klaipeda;;Y;LYTF;Y;N;N;;;FX;;OTM, NK;6000.00;5755.00;Metal;;1988-12-01;MFL;1987-12-31;;
DNK000013689;277547000;LTU;;;442.00;0.00;0.00;;39.05;36.00;INSĖ;904;KL 904;Klaipeda;;Y;LYBB;N;Y;Y;8413394;;FX;;OTM, PTM;809.00;210.00;Metal;;1985-05-31;MFL;1985-01-01;2025-01-29;
DNK000013944;277354000;LTU;;;543.00;0.00;0.00;;50.50;46.44;GILIJA;886;KL 886;Klaipeda;;Y;LYSK;Y;Y;Y;7003829;;FX;;OTM, NK;1400.00;1175.00;Metal;;1973-12-31;MFL;1972-12-31;;
DNK000014198;277346000;LTU;;;296.00;0.00;0.00;;35.95;31.20;TOVĖ;788;KL 788;Klaipeda;;Y;LYSF;N;Y;Y;5362087;;FX;;OTM, PTM;638.00;360.00;Metal;;1960-12-31;MFL;1961-01-01;2025-01-29;
DNK000014292;277029000;LTU;;;378.00;0.00;0.00;;37.15;37.15;MINGĖ;856;KL-856;Klaipeda;;Y;LYAB;Y;Y;Y;6714809;;FX;;PTM, OTM;735.00;672.00;Metal;;1967-12-30;MFL;1967-01-01;;
EST010101056;277544000;LTU;;;1780.00;0.00;0.00;;58.00;52.05;TAURUS;898;KL 898;Klaipeda;;Y;LYAY;Y;Y;Y;8411023;;FX;;OTB, NK;2475.00;1415.00;Metal;;1984-12-31;MFL;1985-01-01;;
EST010101150;277553000;LTU;;;1410.00;0.00;0.00;;63.83;58.11;ONTIKA;913;KL 913;Klaipeda;;Y;LYBG;Y;Y;Y;8315956;;FX;;OTB, NK;2355.00;1380.00;Metal;;1984-12-31;MFL;1984-01-01;;
EST010101457;;LTU;;;117.00;0.00;0.00;;25.40;24.38;PREILA;859;KL-859;Klaipeda;;Y;LYSB;N;N;N;8877916;;FX;;OTM, OTB;221.00;25.00;Metal;;1977-12-31;MFL;1976-12-31;;
FIN000021431;;LTU;;;2.83;0.00;0.00;;7.77;0.00;LT-2743;LT-2743;KL LT-2743;Klaipeda;;N;;N;N;N;;;FX;;GNS, LLS;125.00;0.00;Fiber/Plastic;;2000-12-31;MFL;1999-12-31;;2016-07-19
FIN000101175;277543000;LTU;;;233.00;0.00;0.00;;33.60;30.00;RAMUS;897;KL 897;Klaipeda;;Y;LYAX;Y;Y;Y;6726280;;FX;;OTM, OTB;736.00;268.00;Metal;;1967-01-01;MFL;1966-12-31;;
LTU000000001;277207000;LTU;;;118.00;0.00;0.00;;25.50;0.00;LBB - 1032;461;KL 461;Klaipeda;;Y;LYNI;N;Y;Y;8876780;;FX;;OTB, OTM;221.00;25.20;Metal;;1976-09-26;MFL;1976-01-01;;
LTU000000002;;LTU;;;118.00;0.00;0.00;;25.50;0.00;LBB - 1036;413;KL 413;Klaipeda;;Y;LYNJ;Y;N;N;;;FX;;OTB, OTM;221.00;29.20;Metal;;1976-07-30;MFL;1975-12-31;2005-02-09;
LTU000000003;;LTU;;;118.00;0.00;0.00;;25.50;0.00;LBB - 1042;404;KL 404;Klaipeda;;Y;LYNK;Y;N;N;;;FX;;OTB, OTM;221.00;32.00;Metal;;1977-12-30;MFL;1976-12-31;2008-01-01;
LTU000000004;277213000;LTU;;;118.00;0.00;0.00;;25.50;0.00;LBB - 1044;431;KL 431;Klaipeda;;Y;LYNO;Y;Y;Y;8876649;;FX;;OTB, OTM;221.00;25.20;Metal;;1977-06-28;MFL;1977-01-01;;
LTU000000005;277213000;LTU;;;118.00;0.00;0.00;;25.50;22.00;LBB - 1066;412;KL 412;Klaipeda;;Y;LYNP;N;Y;Y;8876651;;FX;;OTB, OTM;221.00;25.20;Metal;;1981-10-30;MFL;1980-12-31;;
LTU000000006;;LTU;;;117.00;0.00;0.00;;25.50;22.00;LBB - 1101;401;KL 401;Klaipeda;;Y;LYNM;Y;N;N;;;FX;;OTB, OTM;220.00;25.20;Metal;;1985-12-25;MFL;1984-12-31;2008-07-22;
LTU000000007;277212000;LTU;;;117.00;0.00;0.00;;25.50;22.00;LBB - 1094;423;KL 423;Klaipeda;;Y;LYNN;N;Y;Y;8330449;;FX;;OTB, OTM;220.00;25.20;Metal;;1984-12-30;MFL;1983-12-31;2021-12-29;
LTU000000008;277206000;LTU;;;117.00;0.00;0.00;;25.50;22.00;LBB - 1107;403;KL 403;Klaipeda;;Y;LYKF;Y;Y;Y;8725979;;FX;;OTB, GNS;221.00;33.20;Metal;;1986-12-26;MFL;1985-12-31;2021-05-03;
LTU000000009;277205000;LTU;;;117.00;0.00;0.00;;25.50;0.00;LBB - 1113;405;KL 405;Klaipeda;;Y;LYAN;Y;Y;Y;8722575;;FX;;OTB, OTM;220.00;29.20;Metal;;1987-06-29;MFL;1987-01-01;;
LTU000000010;277290000;LTU;;;119.00;0.00;0.00;;23.06;0.00;BALTIK;861;KL 861;Klaipeda;;Y;LYMH;Y;Y;Y;8863379;;FX;;OTM, OTB;221.00;60.00;Metal;;1979-12-30;MFL;1979-01-01;;
LTU000000011;277253000;LTU;;;117.00;0.00;0.00;;25.50;22.00;ATLANT;916;KL 916;Klaipeda;;Y;LYMI;N;Y;Y;8725955;;FX;;OTB, OTM;221.00;60.00;Metal;;1985-08-19;MFL;1985-01-01;;
LTU000000012;;LTU;;;3879.00;0.00;0.00;;101.47;92.33;SAKALAS - I;657;KL 657;Klaipeda;;Y;LYOX;Y;N;N;;;FX;;OTM, NK;2855.00;1040.00;Metal;;1977-09-28;MFL;1976-12-31;;
LTU000000013;;LTU;;;3879.00;0.00;0.00;;101.48;92.33;VYTURYS;653;KL 653;Klaipeda;;Y;LYOR;Y;N;N;;;FX;;OTM, NK;2854.00;1040.00;Metal;;1981-05-04;MFL;1980-12-31;;2006-09-19
LTU000000014;;LTU;;;3879.00;0.00;0.00;;101.48;93.90;KORALAS;578;KL 578;Klaipeda;;Y;LYEP;Y;N;N;;;FX;;OTM, NK;2854.00;2360.00;Metal;;1982-06-30;MFL;1981-12-31;;
LTU000000015;;LTU;;;4378.00;0.00;0.00;;103.70;98.10;ARAS-1;774;KL 774;Klaipeda;;Y;LYOW;Y;N;N;;;FX;;OTM, NK;5148.00;663.00;Metal;;1983-06-25;MFL;1982-12-31;;
