CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
DEU000150400;275312000;LVA;;;296.00;199.41;0.00;;30.71;26.25;HARENGUS;LVV1551;LVV1551;Ventspils;;Y;YLBH;Y;Y;Y;8716942;;FX;;OTB, OTM;700.00;120.00;Metal;;1988-06-30;MFL;1988-01-01;;
DNK000006781;275420000;LVA;;;246.00;0.00;0.00;;33.50;32.16;SIRIUS;LVR0842;LVR0842;Riga;;Y;YL2771;Y;Y;Y;8612108;;FX;;OTB, OTM;633.00;35.00;Metal;;2012-05-15;MFL;1985-01-01;;
DNK000007384;;LVA;;;296.00;0.00;0.00;;35.09;0.00;SEA LADY;LVL2144;LVL2144;Liepaja;;Y;YLDA;Y;Y;Y;;;FX;;OTM, OTB;577.00;510.00;Metal;;1985-01-01;MFL;1985-01-01;2012-09-24;
DNK000013618;;LVA;;;396.00;0.00;0.00;;35.25;0.00;INGRID GAY;LVV1553;LVV1553;Ventspils;;Y;YL2661;Y;Y;Y;;;FX;;OTB, OTM;735.00;326.00;Metal;;1984-01-01;MFL;1984-01-01;2011-04-27;
EST010101150;275500000;LVA;;;1410.00;0.00;0.00;;63.83;58.11;AUSEKLIS;LVR0851;LVR0851;Riga;;Y;YLPL;Y;Y;Y;8315956;;FX;;OTB, OTM;1840.00;0.00;Metal;;2020-01-23;MFL;1984-01-01;;
EST010126471;;LVA;;;89.00;0.00;0.00;;27.10;24.60;ESTA;LVL2139;LVL2139;Liepaja;;Y;YL2550;Y;Y;Y;;;FX;;GNS, NO;165.00;0.00;Metal;;1973-12-31;MFL;1973-01-01;2011-04-08;
EST090617002;275423000;LVA;;;117.00;0.00;0.00;;25.50;24.48;VIVITA;LVL2146;LVL2146;Liepaja;;Y;YL2791;Y;Y;Y;8970823;;FX;;OTM;354.00;26.20;Metal;;2001-01-01;MFL;2001-01-01;;
GBR000B10280;;LVA;;;15.12;0.00;0.00;;11.20;10.75;SILVA;VP108;VP108;Ventspils;;N;;N;N;N;;;FX;;GNS, NK;125.00;0.00;Metal;;1989-01-01;MFL;1989-01-01;;
GBR000B11108;275107000;LVA;;;554.00;0.00;0.00;;38.50;33.20;GLENROSE;LVV1555;LVV1555;Ventspils;;Y;YL2694;Y;Y;Y;8821010;;FX;;OTM, OTB;1268.00;158.00;Metal;;2009-08-10;MFL;1990-01-01;;
IRL000I13750;275547000;LVA;;;224.00;0.00;0.00;;23.20;0.00;ARDENT;LVV0855;LVV0855;Ventspils;;Y;YLSG;Y;Y;Y;9456642;;FX;;OTM, LLS;749.00;162.00;Metal;;2007-01-01;MFL;2007-01-01;;
LTU000000001;275526000;LVA;;;118.00;0.00;0.00;;25.50;22.00;ALBATROSS 2;LVL2159;LVL2159;Liepaja;;Y;YLRU;Y;Y;Y;8876780;;FX;;OTM, LLS;221.00;70.00;Metal;;2021-10-21;MFL;1976-01-01;;
LTU000000005;275527000;LVA;;;118.00;0.00;0.00;;25.50;0.00;ALBATROSS 3;LVL2160;LVL2160;Liepaja;;Y;YLRV;Y;Y;Y;8876651;;FX;;OTM, LLS;221.00;34.00;Metal;;1981-10-21;MFL;1981-01-01;;
LTU000000011;275243000;LVA;;;111.00;0.00;0.00;;23.86;22.00;LIBAVA;LVL1545;LVL1545;Liepaja;;Y;YL2330;N;Y;Y;8725955;;FX;;OTM, OTB;221.00;30.00;Metal;;2023-03-09;MFL;1985-01-01;;
LTU000000047;275440000;LVA;;;117.00;0.00;0.00;;25.50;0.00;ILONA;LVL2148;LVL2148;Liepaja;;Y;YL2830;Y;Y;Y;8829244;;FX;;OTB, OTM;220.00;30.00;Metal;;1990-01-01;MFL;1990-01-01;2024-11-08;
LTU000000060;;LVA;;;118.00;0.00;0.00;;25.50;0.00;ALBATROSS;LVL0600;LVL0600;Liepaja;;Y;YL2163;Y;Y;Y;;;FX;;OTM, OTB;221.00;0.00;Metal;;1977-01-01;MFL;1977-01-01;;
LVA000000001;;LVA;;;112.00;0.00;0.00;;25.45;22.00;AGNESE;LVR0711;LVR0711;Riga;;Y;YL2069;Y;Y;Y;;;FX;;OTM, OTB;386.00;34.00;Metal;;1980-01-01;MFL;1980-01-01;;
LVA000000002;275230000;LVA;;;112.00;0.00;0.00;;25.45;22.00;AKO;LVR0798;LVR0798;Riga;;Y;YL2256;Y;Y;Y;9076715;;FX;;OTM, NO;368.00;42.00;Metal;;1992-12-31;MFL;1992-01-01;;
LVA000000003;;LVA;;;1898.00;0.00;0.00;;62.26;55.02;ATLAS;LVL2071;LVL2071;Liepaja;;Y;YLHQ;Y;Y;Y;;;FX;;OTB, OTM;1766.00;0.00;Metal;;1984-12-31;MFL;1984-01-01;;
LVA000000004;;LVA;;;194.00;0.00;0.00;;31.63;29.15;BULDURI;LVL2109;LVL2109;Liepaja;;Y;YL2334;N;Y;Y;;;FX;;OTM, NO;224.00;0.00;Metal;;1975-12-31;MFL;1975-01-01;2004-05-28;
LVA000000006;;LVA;;;191.00;0.00;0.00;;31.60;30.00;DIĀNA;LVL2117;LVL2117;Liepaja;;Y;YL2370;Y;Y;Y;;;FX;;OTM, NO;224.00;0.00;Metal;;1978-12-31;MFL;1978-01-01;2006-10-30;
