CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
CYP000000780;;MLT;;;85.00;0.00;0.00;;23.70;0.00;STELLA DEL MARE II;MFA7197;MFA7197;Valletta (Pixkerija);;Y;9HB2106;Y;Y;N;;;TO;;OTB, NO;184.00;0.00;Metal;;2010-12-09;MFL;1962-01-01;;
CYP000000793;;MLT;;;195.00;0.00;0.00;;27.53;0.00;TREMAR;MFA6025;MFA6025;Valletta (Pixkerija);;Y;9H9651;Y;Y;N;;;TO;;OTB, NO;448.00;0.00;Metal;;2010-08-28;MFL;1980-01-01;;
FRA000623068;;MLT;;;72.00;0.00;0.00;;20.40;0.00;JOSEPH;MFA7963;MFA7963;Marsaxlokk (Ix-Xatt);;Y;9HB6537;Y;Y;N;;;LL;;LLS, LHP;300.00;0.00;Metal;;2019-12-20;MFL;1986-01-01;;
FRA000644732;;MLT;;;128.00;0.00;0.00;;20.40;0.00;LELI;MFA7011;MFA7011;Marsaxlokk (Il-Maghluq);;Y;9HB4326;Y;Y;N;;;LL;;LLS, LLD;650.00;0.00;Metal;;2015-04-29;MFL;1986-01-01;;
HRV000003219;;MLT;;;328.00;0.00;0.00;;39.81;0.00;MARIA MADRE;MFA7515;MFA7515;Marsaxlokk (Ix-Xatt);;Y;9HA5852;N;N;N;;;SO;;LLD;1250.00;0.00;Metal;;2023-04-13;MFL;2008-01-01;;
IRL000I11129;;MLT;;;225.00;0.00;0.00;;27.35;0.00;Salve Regina;MFA6035;MFA6035;Valletta (Grand Harbour);;Y;9H8798;Y;Y;N;7521560;;TO;;OTB, NO;444.38;0.00;Metal;;2008-11-26;MFL;1985-01-01;;
ITA000013607;;MLT;;;14.00;0.00;0.00;;17.25;0.00;Costabile;MFA7012;MFA7012;Marsaxlokk (Ix-Xatt);;Y;9HB5318;Y;Y;N;8530441;;MO;;PS, LLS;164.12;0.00;Wood;;2016-10-06;MFL;1951-01-01;;
ITA000018441;;MLT;;;76.00;0.00;0.00;;22.65;0.00;Sandokan;MFA7033;MFA7033;Marsaxlokk (Kavallerizza);;Y;9HB4656;Y;Y;N;8533003;;LL;;LLD, LLS;227.90;213.20;Wood;;2015-09-02;MFL;1992-01-01;;
ITA000018615;;MLT;;;106.00;0.00;0.00;;23.96;0.00;Marie De Lourdes I;MFA7116;MFA7116;Marsaxlokk (Il-Maghluq);;Y;9HB3737;Y;Y;N;8688183;;MO;;LLD;350.00;0.00;Fiber/Plastic;;2014-04-30;MFL;1992-01-01;;
ITA000025170;;MLT;;;7.78;0.00;0.00;;10.50;0.00;Falco;MFA7277;MFA7277;Marsaxlokk (Il-Maghluq);;Y;9HB3646;Y;N;N;;;MO;;LLD, LLS;73.50;73.40;Wood;;2014-02-21;MFL;2000-01-01;;
MLT000000002;;MLT;;;1.32;0.00;0.00;;6.20;0.00;Wave Warrior 2;MFC7506;MFC7506;Marsaxlokk (Il-Maghluq);;Y;9H8214;N;N;N;;;MO;;LLS, FPO;30.00;18.00;Fiber/Plastic;;2005-08-11;MFL;2004-01-01;;2010-06-17
MLT000000003;;MLT;;;0.69;0.00;0.00;;4.27;0.00;Patrizja;MFA8127;MFA8127;Dwejra;;Y;9H8161;N;N;N;;;MO;;FPO, LLS;10.30;0.00;Fiber/Plastic;;2005-08-11;MFL;2001-01-01;;
MLT000000005;;MLT;;;95.77;0.00;0.00;;23.90;0.00;MADONNA DI POMPEI;MFA0031;MFA31;Marsaxlokk (Kavallerizza);;Y;9H7793;Y;Y;N;;;LL;;LLD, LLS;470.00;0.00;Wood;;2005-11-28;MFL;2005-01-01;;2023-04-04
MLT000000006;;MLT;;;2.37;0.00;0.00;;6.50;0.00;Il-Kipx;MFB7091;MFB7091;Marsaxlokk (Il-Maghluq);;Y;9H8450;N;N;N;;;MO;;LLS, LLD;104.00;0.00;Fiber/Plastic;;2006-01-16;MFL;2005-01-01;;
MLT000000008;;MLT;;;5.40;0.00;0.00;;9.76;0.00;Pele;MFC5213;MFC5213;St. Paul'S Bay (Il-Gillieru);;N;;N;N;N;;;MO;;LTL, NK;104.00;45.20;Wood;;2006-01-25;MFL;1926-01-01;;2009-10-02
MLT000000009;;MLT;;;1.72;0.00;0.00;;5.49;0.00;Not Named;MFA7230;MFA7230;Il-Vecca;;Y;9H7512;N;Y;N;;;MO;;GTR, GTN;70.00;20.10;Fiber/Plastic;;2006-01-26;MFL;2004-01-01;;
MLT000000010;;MLT;;;10.56;0.00;0.00;;11.98;0.00;CHARCLAYDAR;MFA7376;MFA7376;Marsaxlokk (Ix-Xatt);;Y;9H8273;Y;N;N;;;MO;;LA, LLD;161.00;134.08;Fiber/Plastic;;2006-03-07;MFL;2006-01-01;;
