CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
BEL000041982;;NLD;;;14.00;0.00;0.00;;14.36;0.00;BOURIC;BEL000041982;BR-9;Breskens;;Y;PA2442;Y;Y;N;;;TU;;FPO, LHP;83.00;0.00;Metal;;2012-01-12;MFL;1982-01-01;;
BEL000071985;244170523;NLD;;;57.00;0.00;0.00;;19.10;0.00;JELTE ALBERT;BEL000071985;ZK-44;Zoutkamp;;Y;PDKV;Y;Y;Y;8530257;;TU;;TBB, FPO;221.00;0.00;Metal;;1985-03-22;MFL;1985-01-01;;
BEL001191970;244052000;NLD;;;66.00;0.00;0.00;;22.55;0.00;VISAREND;BEL001191970;WR-27;Wieringen/Den Oever;;Y;PDPG;Y;Y;Y;8432601;;MO;;TBB, OTB;220.00;13.00;Metal;;1992-06-30;MFL;1970-01-01;;
BEL001391987;;NLD;;;9.00;0.00;0.00;;11.10;0.00;EVA MARIA;BEL001391987;TX-50;Texel;;N;;N;N;N;;;MO;;OTB, TBB;66.00;0.00;Metal;;1997-11-10;MFL;1987-01-01;;
BEL002011991;;NLD;;;160.00;0.00;0.00;;23.93;0.00;ADRIANA MARIA;BEL002011991;BRU-201;Bruinisse;;Y;PCDU;N;N;N;;;FX;;OTB, OTM;220.00;398.00;Metal;;1994-08-17;E17;1989-01-01;;
BEL010821987;245504000;NLD;;;50.00;0.00;0.00;;20.86;0.00;VRIJHEID;BEL010821987;WL-18;Westdongeradeel;;Y;PIIW;Y;Y;Y;8431803;;DB;;TBB, MIS;221.00;56.00;Metal;;1994-10-17;MFL;1987-01-01;;
BEL011101959;;NLD;;;34.00;0.00;0.00;;18.00;0.00;DORUS;BEL011101959;ZK-67;Zoutkamp;;Y;PCHO;Y;N;N;;;FX;;TBB, MIS;221.00;3.00;Metal;;1999-12-14;MFL;1959-01-01;;
BEL012111971;244810702;NLD;;;28.00;0.00;0.00;;14.95;0.00;GERRIT SENIOR;BEL012111971;UK-190;Urk;;Y;PBAY;Y;Y;Y;;;MTG;;OTB, MIS;194.00;37.00;Metal;;1999-08-23;MFL;1971-01-01;;
BEL014271964;;NLD;;;69.00;0.00;0.00;;22.31;0.00;MARJON;BEL014271964;TH-11;Tholen;;N;;Y;N;N;;;FX;;TBB, OTB;220.00;40.00;Metal;;1999-01-25;MFL;1964-01-01;2012-02-03;
BEL014551964;;NLD;;;34.00;0.00;0.00;;18.56;0.00;MARLOUGER;BEL014551964;WL-23;Westdongeradeel;;Y;PFAK;Y;N;N;;;FX;;TBB, MIS;221.00;0.00;Metal;;2000-07-19;MFL;1964-01-01;;2014-05-12
BEL025181998;244150372;NLD;;;384.00;0.00;0.00;;37.81;0.00;DRAKKAR;BEL025181998;UK-136;Urk;;Y;PBJS;Y;Y;Y;8740797;;MO;;TBB, MIS;1471.00;833.00;Metal;;1998-06-26;MFL;1998-01-01;2023-07-04;
BEL030381986;244165000;NLD;;;75.00;0.00;0.00;;24.54;0.00;BRIGITTA;BEL030381986;VD-6;Volendam;;Y;PDGY;Y;Y;Y;8412326;;TU;;TBB, OTB;221.00;0.00;Metal;;1995-07-06;MFL;1986-01-01;;
BEL030992022;244682000;NLD;;;240.00;0.00;0.00;;24.99;0.00;ARAVIS;BEL030992022;SCH-99;Scheveningen;;Y;PGXS;Y;Y;Y;9917268;;SN;;SSC, OTB;500.00;0.00;Metal;;2023-05-26;MFL;2022-01-01;;
BEL031981967;;NLD;;;158.00;0.00;0.00;;29.20;0.00;ARTIC RANGER;BEL031981967;DZ-8;Delfzijl;;N;;N;N;N;;;FX;;SDN, MIS;368.00;40.00;Metal;;1999-05-12;4J7;1967-01-01;;
BEL032071985;244157000;NLD;;;78.00;0.00;0.00;;23.77;0.00;PETRONELLA;BEL032071985;UK-368;Urk;;Y;PBBC;Y;Y;Y;;;TU;;TBB, MIS;221.00;110.00;Metal;;2001-04-04;MFL;1985-01-01;;
BEL033211961;;NLD;;;98.00;0.00;0.00;;26.50;0.00;AURORA;BEL033211961;BR-21;Breskens;;Y;PCWR;N;N;N;;;FX;;DRB, TBB;416.00;233.00;Metal;;1992-10-12;Z18;1961-01-01;;1994-08-03
BEL034301957;244792000;NLD;;;51.00;0.00;0.00;;19.75;0.00;JAN VAN CEES;BEL034301957;UK-94;Urk;;Y;PBBF;Y;Y;Y;;;TU;;TBB, GNS;221.00;65.00;Metal;;2000-02-17;MFL;1957-01-01;;
BEL035541964;244721000;NLD;;;50.00;0.00;0.00;;22.25;0.00;ESTER JACOBA;BEL035541964;UK-271;Urk;;Y;PCFC;Y;Y;Y;8433186;;TU;;TBB, MIS;221.00;70.00;Metal;;1998-10-09;MFL;1964-01-01;;
BEL040521984;244570000;NLD;;;106.00;0.00;0.00;;23.90;0.00;NOVA SPES;BEL040521984;TX-33;Texel;;Y;PBQJ;Y;Y;Y;8985153;;TU;;TBB, MIS;221.00;124.00;Metal;;1999-09-30;MFL;1984-01-01;;
BEL043501985;;NLD;;;61.00;0.00;0.00;;19.94;0.00;IMMETJE HANS;BEL043501985;ST-10;Stavoren;;Y;PEVU;N;N;N;;;FX;;TBB, GNS;191.00;20.00;Metal;;1992-02-10;Z18;1985-01-01;;
BEL044021963;244175000;NLD;;;97.00;0.00;0.00;;23.78;0.00;ZWERVER;BEL044021963;LO-7;Lauwersoog;;Y;PBBD;Y;Y;Y;8529076;;TU;;TBB, MIS;221.00;85.00;Metal;;2001-01-18;MFL;1963-01-01;;
BEL045751966;;NLD;;;63.00;0.00;0.00;;20.97;0.00;BOREAS;BEL045751966;ZK-186;Zoutkamp;;N;;N;N;N;;;FX;;TBB, OTB;221.00;0.00;Metal;;1999-09-30;4J6;1966-01-01;;2001-01-16
BEL047201963;;NLD;;;68.00;0.00;0.00;;22.00;0.00;STELLA MARIS;BEL047201963;UK-367;Urk;;Y;PA3809;Y;N;N;;;FX;;TBB, MIS;221.00;6.00;Metal;;2013-03-29;MFL;1963-01-01;;2016-04-26
DEU000060400;246833000;NLD;;;174.00;0.00;0.00;;31.65;0.00;VANTAGE;DEU000060400;UK-5;Urk;;Y;PCMX;Y;Y;Y;7022485;;MO;;TBB, MIS;736.00;60.00;Metal;;2012-11-12;MFL;1970-01-01;2023-05-31;
DEU000250603;;NLD;;;41.00;0.00;0.00;;17.80;0.00;ANGERMUNDE;DEU000250603;HA-35;Harlingen;;N;;N;N;N;;;FX;;OTB, PTB;147.00;0.00;Wood;;1995-08-04;Z18;1950-01-01;;
DEU000280300;;NLD;;;87.00;0.00;0.00;;24.71;0.00;RH VAN SCHIJNDEL;DEU000280300;HD-101;Den Helder;;N;;N;N;N;;;FX;;OTB, TBB;220.00;116.00;Metal;;1983-11-29;Z18;1983-01-01;;
DEU000290300;244020098;NLD;;;98.00;0.00;0.00;;24.65;0.00;PIETER;DEU000290300;HD-66;Den Helder;;Y;PEAM;Y;Y;Y;8531938;;TU;;TBB, FPO;221.00;200.00;;;2021-08-27;MFL;1983-01-01;;
DEU000590300;245647000;NLD;;;257.00;0.00;0.00;;39.30;0.00;SCHILLHÖRN;DEU000590300;HA-36;Harlingen;;Y;PHJJ;Y;Y;Y;8100612;;DM;;DRB, MIS;714.00;636.00;Metal;;1993-07-28;MFL;1981-01-01;;
DEU001120300;;NLD;;;124.00;0.00;0.00;;24.33;0.00;BONAFIDE;DEU001120300;WR-289;Wieringen/Den Oever;;N;;N;N;N;;;FX;;OTB, OTM;459.00;44.00;Wood;;1992-10-13;4J3;1968-01-01;;1997-02-04
DEU001440300;;NLD;;;23.00;0.00;0.00;;15.17;0.00;AALTJE;DEU001440300;ZK-22;Zoutkamp;;N;;N;N;N;;;FX;;TBB, OTB;221.00;0.00;Wood;;1998-04-15;MFL;1966-01-01;;2003-01-21
DEU002170300;;NLD;;;9.00;0.00;0.00;;11.50;0.00;SOLEA;DEU002170300;ZK-1;Zoutkamp;;Y;PC6287;N;N;N;;;WOP;;GNS, FPO;70.00;0.00;Metal;;2024-08-09;MFL;1999-01-01;;
DEU002180300;244328000;NLD;;;70.00;0.00;0.00;;19.99;0.00;GEERTRUIDA;DEU002180300;YE-238;Yerseke;;Y;PFOW;Y;Y;Y;8450172;;MO;;TBB, OTB;221.00;0.00;Metal;;2023-10-09;MFL;2010-01-01;;
DEU200050208;;NLD;;;14.00;0.00;0.00;;11.03;0.00;ALBATROS;DEU200050208;ST-6;Stavoren;;N;;N;N;N;;;GO;;GNS, FPO;115.00;0.00;Fiber/Plastic;;2025-01-24;MFL;1983-01-01;;
DEU200650219;245715000;NLD;;;58.00;0.00;0.00;;20.25;0.00;WILLEM ANNE;DEU200650219;WL-33;Westdongeradeel;;Y;PCSG;Y;Y;Y;8432558;;TU;;TBB, OTB;221.00;40.00;Metal;;1993-04-06;MFL;1976-01-01;;
DEU201100219;;NLD;;;160.00;0.00;0.00;;23.93;0.00;LUB ROMKES;DEU201100219;UK-194;Urk;;Y;PCNS;Y;N;N;9013921;;FX;;OTB, TBB;221.00;260.00;Metal;;2011-12-16;MFL;1991-01-01;;
DEU300660207;;NLD;;;105.00;0.00;0.00;;23.94;0.00;WILLEM;DEU300660207;GO-2;Goedereede;;N;;N;N;N;;;FX;;OTB, OTM;221.00;5.00;Wood;;1992-02-21;4J4;1964-01-01;;2000-04-01
DEU400040109;;NLD;;;108.00;0.00;0.00;;23.85;0.00;AALTJE;DEU400040109;UK-229;Urk;;Y;PCAQ;Y;N;N;;;FX;;TBB, MIS;208.00;85.00;Metal;;1999-12-03;MFL;1972-01-01;;2005-02-25
DEU400290107;244790085;NLD;;;24.00;0.00;0.00;;14.35;0.00;MERON IV;DEU400290107;IJM-31;Ijmuiden/Velsen;;Y;PBNW;Y;Y;Y;;;FX;;TBB, MIS;221.00;45.00;Fiber/Plastic;;2014-06-26;MFL;1983-01-01;;
DEU400750101;;NLD;;;93.00;0.00;0.00;;26.80;0.00;ZEEMEEUW;DEU400750101;WR-61;Wieringen/Den Oever;;N;;N;N;N;;;FX;;PTB, MIS;243.00;18.00;Metal;;1993-05-25;Z18;1959-01-01;;1996-10-17
DEU400760101;;NLD;;;0.00;47.99;0.00;;18.65;0.00;MARIA;DEU400760101;GO-17;Goedereede;;N;;N;N;N;;;FX;;TBB, MIS;206.00;0.00;Wood;;1991-12-16;E17;1972-01-01;;1992-08-04
DEU401110101;244630078;NLD;;;137.00;0.00;0.00;;23.98;0.00;MARE FRISICUM;DEU401110101;LO-28;Lauwersoog;;Y;PDCL;Y;Y;Y;9045259;;MO;;OTB, TBB;221.00;181.00;;;2016-03-22;MFL;1990-01-01;;2021-02-26
DEU401170101;245813000;NLD;;;184.00;0.00;0.00;;26.47;0.00;VOLHARDING;DEU401170101;HD-36;Den Helder;;Y;PHBS;Y;Y;Y;9021722;;MO;;OTB, TBB;423.00;0.00;Metal;;2004-09-28;MFL;1991-01-01;;
DEU401300101;;NLD;;;257.00;0.00;0.00;;42.84;0.00;JENNY;DEU401300101;HA-17;Harlingen;;Y;PCEC;Y;N;N;;;FX;;HMD, DRB;191.00;142.00;Metal;;1997-05-13;MFL;1954-01-01;;2008-03-14
DEU401340101;244615490;NLD;;;69.00;0.00;0.00;;19.96;0.00;MAARTEN SENIOR;DEU401340101;UK-214;Urk;;Y;PCZC;Y;Y;Y;8538687;;MO;;TBB, OTB;221.00;0.00;Metal;;2021-06-17;MFL;2004-01-01;;
DEU500080105;;NLD;;;6.00;0.00;0.00;;9.64;0.00;PALOMA;DEU500080105;TX-45;Texel;;N;;N;N;N;;;FX;;OTB, MIS;75.00;0.00;Fiber/Plastic;;2009-05-15;MFL;1978-01-01;;
DEU500220105;;NLD;;;37.00;0.00;0.00;;18.16;0.00;VERA;DEU500220105;HA-1;Harlingen;;Y;PIFU;N;N;N;;;FX;;TBB, MIS;160.00;60.00;Metal;;1995-03-09;4JZ;1960-01-01;;2002-07-05
DEU500450102;245104000;NLD;;;40.00;0.00;0.00;;18.06;0.00;HELMINA CHRISTINA;DEU500450102;UK-4;Urk;;Y;PE7723;Y;Y;N;;;MO;;TBB, GNS;221.00;0.00;Metal;;2021-06-01;MFL;1946-01-01;;2021-09-01
DEU500710110;;NLD;;;131.00;0.00;0.00;;31.20;0.00;SUDSTRAND;DEU500710110;YE-44;Yerseke;;Y;PHBE;N;N;N;8137172;;FX;;DRB, MIS;220.00;78.20;Metal;;2004-07-20;AQU;1976-01-01;;2010-09-29
DEU500730110;;NLD;;;115.00;0.00;0.00;;30.91;0.00;ZEELAND;DEU500730110;YE-37;Yerseke;;Y;PI6250;N;N;N;6814764;;FX;;DRB, MIS;360.00;0.00;Metal;;2001-03-02;AQU;1968-01-01;;
DEU500760110;;NLD;;;187.00;0.00;0.00;;36.22;0.00;ADRIAAN;DEU500760110;YE-77;Yerseke;;Y;PDEK;N;N;N;8421999;;FX;;DRB, MIS;716.00;0.00;Metal;;1985-01-01;AQU;1985-01-01;2022-05-16;
DEU500830113;;NLD;;;186.00;0.00;0.00;;35.90;0.00;EX MARE GRATIA;DEU500830113;YE-182;Yerseke;;Y;DJJP;N;N;N;8702094;;FX;;DRB, MIS;362.00;411.00;Metal;;2004-08-04;AQU;1987-01-01;;
DNK000005696;244740354;NLD;;;79.00;0.00;0.00;;27.98;0.00;POLARIS;DNK000005696;HA-19;Harlingen;;Y;PE9840;Y;Y;Y;8590752;;DB;;DRH, MIS;251.00;190.00;Metal;;2012-07-31;MFL;1955-01-01;;
DNK000010726;;NLD;;;22.00;0.00;0.00;;14.54;0.00;ALETTA;DNK000010726;IJM-368;Ijmuiden/Velsen;;Y;PD8804;Y;N;N;;;FX;;GNS, OTB;98.00;6.00;Wood;;2009-03-17;MFL;1955-01-01;;2017-04-26
DNK000013605;244790800;NLD;;;186.00;0.00;0.00;;28.80;0.00;JAN DE WIT;DNK000013605;UK-157;Urk;;Y;PCPH;Y;Y;Y;8608212;;MO;;OTT, OTB;634.00;102.00;Metal;;2013-12-10;MFL;1987-01-01;;
DNK000014039;;NLD;;;12.00;0.00;0.00;;10.80;0.00;SOLE TRADER;DNK000014039;SCH-35;Scheveningen;;N;;N;N;N;;;GO;;GNS, FPO;96.00;0.00;Fiber/Plastic;;2005-08-02;MFL;1995-01-01;;
DNK000014314;244110439;NLD;;;60.00;0.00;0.00;;19.98;0.00;CALETA;DNK000014314;HD-79;Den Helder;;Y;PDEL;Y;Y;Y;;;MO;;TBB, OTB;221.00;25.00;Metal;;1989-01-01;MFL;1976-01-01;;
DNK000015003;;NLD;;;10.00;0.00;0.00;;9.85;0.00;DE ZEEUW;DNK000015003;TH-36;Tholen;;N;;N;N;N;;;GO;;GNS, OTB;88.00;0.00;Fiber/Plastic;;2018-11-23;MFL;1989-01-01;;
DNK000018558;244507000;NLD;;;208.00;0.00;0.00;;25.92;0.00;JACOBA ALIJDA;DNK000018558;UK-268;Urk;;Y;PHJS;Y;Y;Y;7813377;;TU;;OTT, OTB;683.00;380.00;Metal;;2007-04-06;MFL;1979-01-01;;
DNK000019683;244030922;NLD;;;25.00;0.00;0.00;;13.41;0.00;ALBERTJE;DNK000019683;UK-128;Urk;;Y;PF2155;Y;Y;Y;8592815;;GO;;GNS, MIS;143.00;0.00;Fiber/Plastic;;2008-06-27;MFL;1992-01-01;;
DNK000040071;244150302;NLD;;;219.00;0.00;0.00;;27.12;0.00;BERENDINA;DNK000040071;UK-642;Urk;;Y;PCIN;Y;Y;Y;9568079;;FX;;SDN, OTT;746.00;110.00;Metal;;2010-04-15;MFL;2009-01-01;;
FRA000322866;;NLD;;;11.00;0.00;0.00;;12.00;0.00;VERTROUWEN;FRA000322866;SL-18;Stellendam;;Y;PD4127;N;N;N;;;FX;;GNS, OTB;206.00;0.00;Fiber/Plastic;;2006-06-16;MFL;1977-01-01;2008-01-16;
FRA000544858;244938000;NLD;;;310.00;0.00;0.00;;34.30;0.00;JOHANNA;FRA000544858;SL-9;Stellendam;;Y;PHOE;Y;Y;Y;7928835;;SPE;;SDN, OTB;500.00;660.00;Metal;;2007-10-24;MFL;1981-01-01;;
FRA000545164;246742000;NLD;;;310.00;0.00;0.00;;34.30;0.00;SIMPLON;FRA000545164;SCH-65;Scheveningen;;Y;PCFG;Y;Y;Y;8108688;;SPE;;SDN, OTB;500.00;660.00;Metal;;2010-07-28;MFL;1982-01-01;;
FRA000545166;244630637;NLD;;;317.00;0.00;0.00;;34.50;0.00;GALIBIER;FRA000545166;SCH-135;Scheveningen;;Y;PBIB;Y;Y;Y;8120442;;FX;;OTB, OTT;500.00;670.00;Metal;;2016-03-24;MFL;1982-01-01;;
FRA000648870;245434000;NLD;;;6.00;0.00;0.00;;9.74;0.00;DAUWTRIPPER;FRA000648870;BR-8;Breskens;;Y;PCDV;N;N;Y;;;MO;;TBB, LHP;118.00;0.00;Fiber/Plastic;;2016-02-09;MFL;1987-01-01;;
FRA000686426;;NLD;;;17.00;0.00;0.00;;11.99;0.00;ALEXIS 2;FRA000686426;ZZ-85;Zierikzee;;N;;N;N;N;;;WOP;;FPO, GNS;84.00;0.00;Metal;;1988-01-01;MFL;1988-01-01;;
FRA000716630;;NLD;;;2125.00;0.00;0.00;;78.22;0.00;SCOMBRUS;FRA000716630;SCH-27;Scheveningen;;Y;PCJQ;Y;N;N;8202812;;FX;;OTM, MIS;2942.00;2177.00;Metal;;2011-02-04;MFL;1982-01-01;;
FRA102636030;;NLD;;;0.00;70.67;0.00;;22.32;0.00;ANNEWIEN;FRA102636030;GO-64;Goedereede;;N;;N;N;N;8433162;;FX;;TBB, MIS;221.00;120.00;Metal;;1993-02-09;4J7;1970-01-01;;
GBR000010737;;NLD;;;20.00;0.00;0.00;;14.63;0.00;TOBY VISHOLM;GBR000010737;SCH-1;Scheveningen;;N;;N;N;N;;;FX;;NK, MIS;165.00;0.00;Wood;;1996-08-22;4J7;1948-01-01;;2000-04-01
GBR000011478;;NLD;;;233.00;0.00;0.00;;32.31;0.00;SHEMARA;GBR000011478;DZ-9;Delfzijl;;Y;ONB 4;N;N;N;;;FX;;DRB, GNS;559.00;460.00;Metal;;2000-08-16;MFL;1975-01-01;;2004-06-28
GBR000018956;;NLD;;;328.00;0.00;0.00;;36.60;0.00;DE VROUW MELANIE;GBR000018956;UK-6;Urk;;N;;N;N;N;;;FX;;TBB, MIS;1294.00;368.00;Metal;;1993-04-21;E17;1974-01-01;;1994-09-08
GBR000A14515;;NLD;;;6.00;0.00;0.00;;9.95;0.00;MERU;GBR000A14515;YE-152;Yerseke;;N;;N;N;N;;;GO;;OTB, GNS;95.00;0.00;Metal;;2021-07-14;MFL;1987-01-01;;
