CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
DEU000070300;;POL;;;93.00;0.00;0.00;;25.40;22.70;<NO NAME GIVEN>;PL02006;WLA-127;;;Y;SPG2811;Y;;;;;FX;;OTB, OTM;165.00;0.00;Metal;;1972-03-24;MFL;1972-01-01;2009-11-10;
DEU000370606;;POL;;;23.11;0.00;0.00;;11.34;10.75;;PL02018;ŚWI-48;;;Y;SPS2590;N;N;N;;;FX;;OTB, SSC, FPO, OTM, GNS, LLS;147.00;0.00;Metal;;1998-09-01;MFL;1998-01-01;2016-12-05;
DEU001280602;;POL;;;31.48;0.00;0.00;;12.01;10.10;No name;PL02280;KOŁ-288;Kołobrzeg;;Y;SPS3130;Y;Y;N;;;TTW;;OTB, LLS, GNS, PTM, OTM, LLD;110.00;0.00;Metal;;2001-12-18;MFL;2001-01-01;2024-10-03;
DEU002120300;261536000;POL;;;2348.00;0.00;0.00;;80.35;73.65;POLONUS;PL02309;GDY-58;Gdynia;;Y;SNLE;Y;Y;Y;9048902;;TTP;;OTB, PTB, OTM, PT, OTP, TBS;3000.00;536.00;Metal;;1992-12-31;MFL;1992-01-01;;
DEU107000301;;POL;;;3071.00;0.00;0.00;;91.98;84.90;WIESBADEN;PL00014;GDY-157;;;Y;SNBH;N;;;;;FX;;OTB, OTM;3530.00;588.00;Metal;;1973-12-31;MFL;1973-01-01;;2008-10-28
DEU200640201;;POL;;;120.00;128.65;0.00;;26.09;23.45;MERCATOR;PL00005;GDY-40;;;Y;SPG2669;N;;;;;FX;;OTB, OTM;296.00;0.00;Metal;;1973-01-05;MFL;1972-01-01;2008-09-10;
DEU300540207;;POL;;;9.48;0.00;0.00;;10.52;9.55;No name;PL01995;WŁA-44;Władysławowo;;Y;SPG2761;N;N;N;;;FX;;GNS, LLS, LLD, FPO;50.00;0.00;Fiber/Plastic;;1983-05-20;MFL;1982-01-01;2025-03-10;
DEU300590207;;POL;;;184.00;0.00;0.00;;29.95;27.53;LAGUNA;PL00002;WLA-54;;;Y;SPS2434;N;;;;;FX;;OTM, OTB;588.00;0.00;Metal;;1965-12-31;MFL;1965-01-01;2009-10-27;
DEU300740207;;POL;;;44.00;0.00;0.00;;18.10;16.84;BORNEO;PL00021;MRZ-10;;;Y;SPS2466;Y;;;;;FX;;OTB, OTM;221.00;0.00;Wood;;2003-10-13;MFL;1951-01-01;2008-11-17;
DNK000009275;;POL;;;2.50;0.00;0.00;;7.50;6.84;No name;PL02328;SWA-26;;;Y;SPG4455;N;N;N;;;WO;;FYK, GNS, FPO, LLS, LLD;20.00;0.00;Fiber/Plastic;;1976-01-01;MFL;1976-01-01;;
