CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
DEU002120300;263442601;PRT;;;2348.00;0.00;0.00;;80.35;73.65;SANTA PRINCESA;PTAVE-138850-N;PTAVE-138850-N;Aveiro;;Y;CUXE3;Y;Y;Y;9048902;;TTP;;OTB, NO;3000.00;536.00;Metal;;1992-12-31;MFL;1992-01-01;;
DEU110000301;263588000;PRT;;;3104.00;0.00;0.00;;92.01;84.90;PRINCESA SANTA JOANA;PTAVE-113028-N;PTAVE-113028-N;Aveiro;;Y;CUIY6;Y;Y;Y;7234636;;TTP;;OTB, OTM;3530.00;0.00;Metal;;1973-02-01;MFL;1973-01-01;;
ESP000015586;263587000;PRT;;;966.00;0.00;0.00;;56.20;47.99;NOVO VIRGEM DA BARCA;PTAVE-113027-N;PTAVE-113027-N;Aveiro;;Y;CUKB8;Y;Y;Y;8619687;;TTP;;OTB, NO;1879.00;0.00;Metal;;1988-01-01;MFL;1988-01-01;;
ESP000023312;263434960;PRT;;;209.00;0.00;0.00;;28.30;0.00;MAR DE ÁGUEDA;PTAVE-112671-C;PTAVE-112671-C;Aveiro;;Y;CUIX2;Y;Y;Y;9148702;;TTW;;OTB, NO;707.60;0.00;Metal;;1996-10-28;MFL;1996-01-01;;
ESP000024061;263436270;PRT;;;227.24;0.00;0.00;;28.00;23.32;MONTELOURO;PTLEI-117282-C;PTLEI-117282-C;Leixões;;Y;CUZY3;Y;Y;Y;9192844;;TTW;;OTB, FPO, LLS;686.10;172.00;Metal;;1998-08-06;MFL;1998-01-01;;
ESP000024184;263435250;PRT;;;217.82;0.00;0.00;;28.00;0.00;CRISTINA PEDROSA;PTLEI-113026-C;PTLEI-113026-C;Leixões;;Y;CUIX5;Y;Y;Y;9192870;;TTW;;OTB, NO;544.20;0.00;Metal;;1999-04-20;MFL;1999-04-20;;
ESP000024233;263436480;PRT;;;25.59;0.00;0.00;;16.31;13.83;VIRGEM DA PIEDADE;PTCAS-117610-C;PTCAS-117610-C;Cascais;;Y;CUJO7;Y;Y;Y;;;TTW;;OTB, NO;95.62;0.00;Fiber/Plastic;;1999-05-05;MFL;1999-05-05;;
ESP000024358;263422240;PRT;;;87.03;0.00;0.00;;20.50;17.38;CARLOS CUNHA;PTANC-112937-C;PTANC-112937-C;Âncora;;Y;CUET2;Y;Y;Y;2858815;;LL;;GNS, LLD;317.00;0.00;Metal;;1999-10-29;MFL;1999-10-14;;
ESP000024628;263441300;PRT;;;181.29;0.00;0.00;;24.85;20.51;ANTÓNIO DO VELLIÑO;PTLEI-123776-C;PTLEI-123776-C;Leixões;;Y;CUAW8;Y;Y;Y;8733861;;TTW;;OTB, NO;610.30;0.00;Metal;;2000-07-06;MFL;2000-01-01;;
ESP000024804;263434780;PRT;;;227.11;0.00;0.00;;28.00;23.32;PRAIA SÃO FRANCISCO;PTLEI-117606-C;PTLEI-117606-C;Leixões;;Y;CUXT7;Y;Y;Y;9223978;;TTF;;OTB, NO;640.80;242.70;Metal;;2000-09-18;MFL;2000-01-01;;
ESP000024882;263427750;PRT;;;210.32;0.00;0.00;;26.10;22.67;NOSSA;PTVDC-118925-C;PTVDC-118925-C;Viana Do Castelo;;Y;CUIC7;Y;Y;Y;8687476;;LL;;LLS, NO;128.70;0.00;Metal;;2001-03-13;MFL;2001-03-13;;
ESP000024883;;PRT;;;338.00;0.00;0.00;;35.00;29.00;POLO SUL;A-3877-N;A-3877-N;Finland;;Y;CUIG5;Y;;;;;FX;;OTB, NO;365.50;0.00;Metal;;2001-03-28;MFL;2001-01-01;;
ESP000025049;;PRT;;;297.00;0.00;0.00;;32.50;27.12;LABAYEN;L-2077-C;L-2077-C;Finland;;Y;CUEK5;Y;;;9252151;;FX;;OTB, NO;538.70;0.00;Metal;;2001-10-02;MFL;2001-10-02;;
ESP000025478;263435370;PRT;;;75.58;0.00;0.00;;23.00;19.65;CASADO MARTIN;PTOLH-112942-C;PTOLH-112942-C;Olhão;;Y;CUIY5;Y;Y;Y;;;TTW;;OTB, NO;165.50;41.22;Fiber/Plastic;;2003-01-01;MFL;2003-01-01;;
ESP000025499;263436260;PRT;;;269.00;0.00;0.00;;33.70;0.00;SIMON BALAYO SAMBADE;PTLEI-117561-C;PTLEI-117561-C;Leixões;;Y;CUZY2;Y;Y;Y;9313319;;TTW;;OTB, NO;729.20;0.00;Metal;;2003-03-05;MFL;2003-01-01;;
ESP000025916;263441150;PRT;;;210.00;0.00;0.00;;27.90;24.55;CRUZ DE MALTA;PTAVE-121936-C;PTAVE-121936-C;Aveiro;;Y;CUAV6;Y;Y;Y;9312262;;TTW;;OTB, NO;783.00;0.00;Metal;;2004-04-01;MFL;2004-01-01;;
ESP000026840;263442640;PRT;;;42.67;0.00;0.00;;21.73;18.65;IRMÃOS LUCAS;PTVRE-137844-C;PTVRE-137844-C;Vila Real De Santo António;;Y;CUXE7;Y;Y;Y;8795584;;TTW;;OTB, NO;328.00;0.00;Fiber/Plastic;;2006-11-13;MFL;2006-01-01;;
ESP000027665;263589000;PRT;;;2165.00;0.00;0.00;;65.50;0.00;SANTA PRINCESA;PTVDC-112150-N;PTVDC-112150-N;Viana Do Castelo;;Y;CUIZ5;Y;Y;Y;8609357;;TTP;;OTB, OTM;3000.00;0.00;Metal;;2014-12-05;MFL;1986-02-01;;
FRA000424711;263435960;PRT;;;142.47;0.00;0.00;;22.00;19.38;SILMAR;PTCAM-113032-C;PTCAM-113032-C;Caminha;;Y;CUZW6;Y;Y;Y;8229470;;MOX;;GNS, LLS, FPO;323.00;0.00;Fiber/Plastic;;1981-01-01;MFL;1980-01-01;;
GBR000C16458;263586000;PRT;;;1691.00;0.00;0.00;;55.50;47.23;SANTA PRINCESA;V-1100-N;V-1100-N;Finland;;Y;CUNN4;Y;Y;Y;8709834;;TTP;;OTB, NO;2425.00;0.00;Metal;;1998-07-08;MFL;1987-01-01;;
GBR000C16878;263441712;PRT;;;1.70;0.00;0.00;;6.13;0.00;RUMO NOVO;PTQRT-113031-L;PTQRT-113031-L;Quarteira;;Y;CUJJ3;N;N;Y;;;MOX;;GNS, FPO;37.28;0.00;Fiber/Plastic;;2006-06-06;MFL;1989-01-01;;
PRT000000001;;PRT;;;0.00;356.41;0.00;;45.25;40.54;ILHA DO FAIAL;V-16-N;V-16-N;Finland;;Y;CSFX;Y;;;;;FX;;OTB, NO;625.00;0.00;Metal;;1941-01-01;4K5;1941-01-01;2001-11-16;
PRT000000002;;PRT;;;0.00;1013.74;0.00;;65.85;0.00;PASCOALMAR;A-3257-A;A-3257-A;Finland;;N;;Y;;;;;FX;;OTB, NO;1361.00;0.00;Metal;;1986-01-01;G27;1986-01-01;1992-11-12;
PRT000000003;;PRT;;;0.00;185.17;0.00;;30.12;0.00;MAR FORMOSO;PE-2007-N;PE-2007-N;United Kingdom;;Y;CUYV;Y;;;;;FX;;LLS, FPO;625.00;0.00;Metal;;1978-01-01;G27;1978-01-01;;
PRT000000004;;PRT;;;178.00;168.21;0.00;;30.70;25.86;LIRIOS DO MAR;VC-184-C;VC-184-C;;;Y;CUKB;N;;;;;FX;;PS, LLS;441.00;0.00;Wood;;1984-01-01;MFL;1984-01-01;;2007-01-18
PRT000000006;;PRT;;;0.00;1265.79;0.00;;71.67;0.00;SENHORA DAS CANDEIAS;V-7-N;V-7-N;Finland;;Y;CSNM;Y;;;;;FX;;OTB, NO;1250.00;0.00;Metal;;1947-01-01;G27;1947-01-01;1992-03-17;
PRT000000007;;PRT;;;0.00;1289.15;0.00;;71.62;0.00;SENHOR DOS MAREANTES;V-6-N;V-6-N;Finland;;Y;CSNN;Y;;;;;FX;;OTB, NO;1250.00;0.00;Metal;;1948-01-01;G27;1948-01-01;1992-03-17;
PRT000000010;;PRT;;;0.00;374.53;0.00;;38.03;33.80;FILIPE ALEXANDRE;PE-2111-N;PE-2111-N;United Kingdom;;Y;CUGC;Y;;;;;FX;;OTB, NO;636.00;0.00;Metal;;1968-01-01;G27;1968-01-01;1995-07-21;
PRT000000011;;PRT;;;0.00;1818.43;0.00;;77.98;0.00;SANTA MARIA MADALENA;V-2-N;V-2-N;Finland;;Y;CUFA;Y;;;;;FX;;OTB, NO;1177.00;0.00;Metal;;1961-01-01;3;1961-01-01;1990-12-31;
PRT000000012;204820000;PRT;;;2251.00;1865.39;0.00;;84.94;76.70;SANTA ISABEL;PD-454-N;PD-454-N;Finland;;Y;CUEG;Y;;;7224540;;FX;;OTB, NO;2684.50;0.00;Metal;;1972-01-01;MFL;1972-01-01;;
PRT000000013;;PRT;;;1377.00;1188.59;0.00;;67.36;60.00;JOAO FERREIRA;A-3360-N;A-3360-N;Finland;;Y;CUDP;Y;;;;;FX;;OTB, NO;1030.00;0.00;Metal;;1956-01-01;4K5;1956-01-01;1997-01-09;
PRT000000014;;PRT;;;0.00;1297.22;0.00;;71.40;0.00;INVICTA;P-609-N;P-609-N;United Kingdom;;Y;CSOI;Y;;;;;FX;;OTB, NO;1250.00;0.00;Metal;;1948-01-01;3;1948-01-01;;1990-12-06
PRT000000015;;PRT;;;0.00;254.88;0.00;;33.98;0.00;CIDADE DE FARO;O-1-N;O-1-N;Finland;;Y;CUFU;Y;;;;;FX;;OTB, NO;588.00;0.00;Metal;;1972-01-01;G27;1972-01-01;1993-01-27;
PRT000000016;;PRT;;;0.00;440.83;0.00;;50.55;0.00;CESAR VIEIRA;A-3271-N;A-3271-N;Finland;;Y;CUYK;Y;;;;;FX;;OTB, NO;662.00;0.00;Metal;;1972-01-01;G27;1972-01-01;1994-03-10;
PRT000000017;;PRT;;;202.00;185.11;0.00;;34.73;30.58;PARGO;LX-93-A;LX-93-A;;;Y;CUDS;Y;;;;;FX;;OTB, NO;331.00;0.00;Metal;;1948-01-01;MFL;1948-01-01;;2005-12-19
PRT000000018;;PRT;;;384.00;368.81;0.00;;45.52;40.00;MARINHAIS;LX-95-A;LX-95-A;;;Y;CSOX;Y;;;;;FX;;GNS, NO;530.00;0.00;Metal;;1951-01-01;MFL;1951-01-01;;2005-12-19
PRT000000019;;PRT;;;345.00;339.17;0.00;;45.44;40.00;RIO SABOR;A-3617-N;A-3617-N;Finland;;Y;CUZB;Y;;;;;FX;;OTB, NO;649.00;0.00;Metal;;1947-01-01;MFL;1947-01-01;2003-05-16;
PRT000000020;;PRT;;;708.00;595.68;0.00;;61.83;55.60;PRAIA DO RESTELO;LX-91-N;LX-91-N;;;Y;CUYB;N;;;;;FX;;OTB, NO;867.87;0.00;Metal;;1957-01-01;MFL;1957-01-01;;2015-12-31
PRT000000021;;PRT;;;708.00;764.94;0.00;;61.83;55.60;PRAIA DE ANCORA;V-18-N;V-18-N;Finland;;Y;CUYC;Y;;;;;FX;;OTB, NO;868.00;0.00;Metal;;1958-01-01;4K5;1958-01-01;2001-06-01;
PRT000000022;;PRT;;;0.00;458.12;0.00;;51.07;0.00;MONTE DE SANTA LUZIA;V-15-N;V-15-N;Finland;;N;;Y;;;;;FX;;OTB, NO;736.00;0.00;Metal;;1955-01-01;G27;1955-01-01;1993-02-15;
PRT000000023;;PRT;;;0.00;432.16;0.00;;47.34;0.00;ALCOA;LX-86-A;LX-86-A;;;Y;CSJN;Y;;;;;FX;;OTB, NO;883.00;0.00;Metal;;1929-01-01;3;1929-01-01;;1991-04-09
PRT000000024;263547000;PRT;;;708.00;598.97;0.00;;61.73;55.60;PRAIA DE BUARCOS;A-3623-N;A-3623-N;Finland;;Y;CUYD;N;N;Y;5283530;;TTP;;OTB, NO;867.87;0.00;Metal;;1958-01-01;MFL;1958-01-01;2020-06-03;
PRT000000025;;PRT;;;0.00;418.09;0.00;;47.10;0.00;ALGOL;LX-82-A;LX-82-A;;;Y;CSCT;Y;;;;;FX;;OTB, NO;673.00;0.00;Metal;;1930-01-01;3;1930-01-01;;1991-04-09
PRT000000026;;PRT;;;465.00;454.07;0.00;;52.46;46.25;ANAMAR;LX-84-N;LX-84-N;;;Y;CUYI;N;;;;;FX;;OTB, NO;809.03;0.00;Metal;;1959-01-01;MFL;1958-01-01;2010-04-08;
PRT000000027;;PRT;;;465.00;454.59;0.00;;52.50;0.00;TERESAMAR;LX-85-N;LX-85-N;;;Y;CUYG;Y;;;;;FX;;OTB, NO;809.00;0.00;Metal;;1958-01-01;G27;1958-01-01;;1994-07-18
PRT000000028;;PRT;;;0.00;2381.98;0.00;;84.79;0.00;PRAIA DA COMENDA;V-10-N;V-10-N;Finland;;N;;Y;;;;;FX;;OTB, NO;2648.00;0.00;Metal;;1976-01-01;G27;1974-01-01;1993-02-15;
PRT000000030;;PRT;;;0.00;1923.60;0.00;;84.89;0.00;JOAO ALVARES FAGUNDES;LX-70-N;LX-70-N;;;N;;Y;;;;;FX;;OTB, NO;2207.00;0.00;Metal;;1973-01-01;G27;1973-01-01;1994-04-12;
PRT000000031;;PRT;;;0.00;558.84;0.00;;56.83;0.00;ALCAIDE;V-14-N;V-14-N;Finland;;N;;Y;;;;;FX;;OTB, NO;868.00;0.00;Metal;;1958-01-01;G27;1958-01-01;1993-05-21;
PRT000000032;;PRT;;;2218.00;2381.98;0.00;;84.87;76.70;PRAIA DE SANTA CRUZ;V-12-N;V-12-N;Finland;;Y;CUFW;Y;;;;;FX;;OTB, OTM;2686.00;0.00;Metal;;1974-01-01;MFL;1974-01-01;;
PRT000000033;;PRT;;;0.00;1905.56;0.00;;84.85;0.00;ELISABETH;LX-67-N;LX-67-N;;;Y;CUFN;Y;;;;;FX;;OTB, NO;2207.00;0.00;Metal;;1971-01-01;G27;1971-01-01;1993-03-23;
PRT000000034;;PRT;;;0.00;606.82;0.00;;56.95;50.86;ALPIARCA;LX-82-N;LX-82-N;;;Y;CUYE;Y;;;;;FX;;OTB, NO;868.00;0.00;Metal;;1958-01-01;G27;1958-01-01;;
PRT000000035;;PRT;;;0.00;628.47;0.00;;52.17;44.00;TROPICAL;LX-65-N;LX-65-N;;;Y;CUYT;Y;;;;;FX;;OTB, NO;993.00;0.00;Metal;;1965-01-01;G27;1965-01-01;1994-06-21;
PRT000000036;;PRT;;;0.00;1488.46;0.00;;79.70;0.00;SAO RAFAEL;LX-66-N;LX-66-N;;;Y;CUEF;Y;;;;;FX;;GNS, OTB;1986.00;0.00;Metal;;1959-01-01;G27;1959-01-01;;
PRT000000037;;PRT;;;0.00;433.21;0.00;;51.10;45.21;SAMARITANA;PE-2030-N;PE-2030-N;United Kingdom;;Y;CUYA;Y;;;;;FX;;OTB, NO;736.00;0.00;Metal;;1958-01-01;G27;1957-01-01;1994-05-30;
PRT000000038;;PRT;;;0.00;628.47;0.00;;52.17;0.00;HORIZONTE;LX-64-N;LX-64-N;;;Y;CUFO;Y;;;;;FX;;OTB, NO;993.00;0.00;Metal;;1965-01-01;G27;1965-01-01;1994-05-16;
PRT000000039;;PRT;;;420.00;425.77;0.00;;51.09;45.20;ALVALADE;LX-65-A;LX-65-A;;;Y;CUZA;Y;;;;;FX;;OTB, NO;736.00;0.00;Metal;;1957-01-01;MFL;1957-01-01;;2005-12-19
PRT000000040;;PRT;;;0.00;1904.43;0.00;;84.79;0.00;LUIS FERREIRA DE CARVALHO;LX-62-N;LX-62-N;;;Y;CUFL;Y;;;;;FX;;OTB, NO;2207.00;0.00;Metal;;1969-01-01;G27;1969-01-01;1993-03-25;
PRT000000041;;PRT;;;0.00;495.46;0.00;;55.57;0.00;JOAO CORTE REAL;LX-76-N;LX-76-N;;;Y;CSMM;Y;;;;;FX;;OTB, NO;736.00;0.00;Metal;;1956-01-01;3;1956-01-01;;1990-12-28
PRT000000044;263538000;PRT;;;1033.00;1139.13;0.00;;62.43;56.15;ALMOUROL;LX-61-N;LX-61-N;;;Y;CUYQ;N;;;;;TTP;;OTB, NO;1103.00;0.00;Metal;;1967-01-01;MFL;1966-01-01;;2015-12-31
PRT000000045;;PRT;;;0.00;418.03;0.00;;51.24;0.00;ILHA DE S.VICENTE;LX-58-A;LX-58-A;;;Y;CSOZ;Y;;;;;FX;;OTB, NO;736.00;0.00;Metal;;1954-01-01;3;1953-01-01;1991-03-27;
PRT000000046;;PRT;;;0.00;480.87;0.00;;55.66;0.00;PEDRO DE BARCELOS;LX-75-N;LX-75-N;;;Y;CSMR;Y;;;;;FX;;OTB, NO;736.00;0.00;Metal;;1955-01-01;3;1954-01-01;;1991-08-30
PRT000000047;;PRT;;;0.00;1139.71;0.00;;62.45;0.00;ILHAVENSE;LX-59-N;LX-59-N;;;Y;CUYN;Y;;;;;FX;;OTB, NO;1103.00;0.00;Metal;;1967-01-01;G27;1966-01-01;1993-04-22;
