CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
BGR002010206;264900344;ROU;;;119.00;0.00;0.00;;23.19;0.00;RK 21;65154;3 6523 CT;Constanta;;Y;YQQC;N;Y;Y;8966236;;FX;;TBB, OTM, GNS;220.65;0.00;Metal;;2016-08-15;MFL;1975-01-01;;
ROM000000001;;ROU;;;246.00;0.00;0.00;;39.80;34.80;PELICAN 1;ROUP048639CT;ROUP048639CT;;;Y;;N;N;N;;;FX;;OTM, GNS;441.00;71.20;Metal;;2004-03-26;MFL;1986-01-01;;2008-06-17
ROM000000002;;ROU;;;134.00;0.00;0.00;;25.67;0.00;MORUNUL;63247;ROUP090187CT;Constanta;;Y;YQLC;N;Y;Y;;;FX;;OTM, NO;420.00;50.00;Metal;;2004-03-26;MFL;1981-01-01;;2011-09-05
ROM000000003;;ROU;;;134.00;0.00;0.00;;25.80;0.00;DELFIN;63252;ROUP054365CT;Constanta;;N;;N;Y;Y;;;FX;;OTM, NO;420.00;0.00;Metal;;2005-03-01;MFL;1981-01-01;;2008-07-17
ROM000000004;;ROU;;;129.00;0.00;0.00;;25.30;23.48;CHEFALU 6;ROUP040082SL;ROUP040082SL;;;Y;YQZV;N;N;N;;;FX;;OTM, GNS;283.00;68.00;Metal;;2004-03-26;MFL;1985-01-01;;2010-07-12
ROM000000005;;ROU;;;115.00;0.00;0.00;;25.43;0.00;MEDUZA 2;ROUP100073CT;ROUP100073CT;;;Y;YQZU;Y;Y;N;;;FX;;OTM, GNS;287.00;47.00;Metal;;2004-03-26;MFL;1981-01-01;;2010-07-15
ROM000000006;;ROU;;;129.00;0.00;0.00;;25.35;0.00;CHEFALU 12;63261;ROUP105745SL;Sulina;;Y;YQZY;N;Y;Y;;;FX;;OTM, NO;283.00;70.00;Metal;;2005-03-21;MFL;1989-01-01;;2010-07-19
ROM000000008;;ROU;;;137.00;0.00;0.00;;21.70;0.00;HENDEM MUSTAFA;ROUP040026CT;ROUP040026CT;;;Y;YQZW;Y;Y;N;;;FX;;OTM, GNS;470.00;20.00;Metal;;2004-03-26;MFL;1997-01-01;;2011-07-25
ROM000000009;;ROU;;;20.00;0.00;0.00;;15.42;0.00;MARIO;ROUP040025CT;ROUP040025CT;;;Y;;Y;Y;N;;;FX;;GNS, LLD;110.00;0.00;Metal;;2004-03-26;MFL;1956-01-01;;2012-09-14
ROM000000010;;ROU;;;129.00;0.00;0.00;;25.28;0.00;TETHYS 2;ROUP047090CT;ROUP047090CT;;;Y;;N;N;N;;;FX;;OTM, NO;283.00;0.00;Metal;;2004-03-26;MFL;1987-01-01;;2008-07-17
ROM000000011;;ROU;;;115.00;0.00;0.00;;25.45;0.00;MEDUZA 4;ROUP040144CT;ROUP040144CT;;;Y;YQZT;Y;Y;N;;;FX;;OTM, GNS;220.00;96.00;Metal;;2004-03-26;MFL;1982-01-01;;2010-06-16
