CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
HRV000003336;278956000;SVN;;;36.00;0.00;0.00;;17.90;0.00;LUŠTURA;141-KP;141-KP;Koper;;Y;S50K3;Y;;Y;;;FX;;OTB, OTM;270.00;0.00;Wood;;2018-03-16;MFL;;;
ITA000012130;;SVN;;;7.26;0.00;0.00;;12.33;0.00;223-KP;223-KP;223-KP;Koper;;Y;S5UC7;Y;N;Y;;;FX;;OTB, OTM;132.30;0.00;Wood;;2022-03-09;MFL;;;
ITA000016988;;SVN;;;20.88;0.00;0.00;;19.85;0.00;ZVEZDA;98-IZ;98-IZ;Izola;;Y;S5Z1098;Y;;Y;;;FX;;OTB, DRB;244.40;0.00;Wood;;2024-10-01;MFL;;;
SVN000000001;;SVN;;;156.20;0.00;0.00;;29.13;0.00;Riba I;R-31;R-31;Koper;;Y;S50Z2;Y;N;N;;;FX;;PTM, OTB;600.00;0.00;Metal;;1981-04-22;MFL;;2012-11-21;
SVN000000002;;SVN;;;156.20;0.00;0.00;;29.13;0.00;Riba II;R-32;R-32;Koper;;Y;S50Z3;Y;N;N;;;FX;;PTM, OTB;600.00;0.00;Metal;;1981-04-22;MFL;;2012-11-21;
SVN000000003;278698000;SVN;;;9.35;0.00;0.00;;11.10;0.00;Kirka;20-KP;20-KP;Koper;;Y;S5K2020;Y;;N;;;FX;;OTB, GNS;124.00;0.00;Wood;;1982-05-10;MFL;;;
SVN000000004;;SVN;;;0.45;0.00;0.00;;4.50;0.00;37-KP;37-KP;37-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;0.00;0.00;Wood;;2003-07-14;MFL;;;2011-12-20
SVN000000005;278786000;SVN;;;4.80;0.00;0.00;;11.23;0.00;Saetta;42-KP;42-KP;Koper;;Y;S5UC2;Y;;N;;;FX;;OTB, GNS;103.00;0.00;Wood;;1996-06-26;MFL;;2024-06-26;
SVN000000006;;SVN;;;0.79;0.00;0.00;;4.83;0.00;57-KP;57-KP;57-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;24.26;0.00;Fiber/Plastic;;2004-01-27;MFL;;;
SVN000000007;;SVN;;;3.04;0.00;0.00;;7.00;0.00;Mira III;71-KP;71-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;12.23;0.00;Wood;;1983-01-06;MFL;;;
SVN000000008;;SVN;;;0.85;0.00;0.00;;5.20;0.00;80-KP;80-KP;80-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;8.03;0.00;Wood;;1993-06-04;MFL;;;
SVN000000009;278837000;SVN;;;11.77;0.00;0.00;;13.48;0.00;Amigo;81-KP;81-KP;Koper;;Y;S5UC4;Y;N;N;;;FX;;PS, GNS;117.68;0.00;Other;;1985-09-25;MFL;;;
SVN000000010;278538000;SVN;;;7.48;0.00;0.00;;12.32;0.00;Andrea;117-KP;117-KP;Koper;;Y;S5K2117;Y;N;Y;;;FX;;OTB, DRB;184.00;0.00;Wood;;2001-03-14;MFL;;;
SVN000000011;278575000;SVN;;;11.75;0.00;0.00;;14.13;0.00;Levante;120-KP;120-KP;Koper;;Y;S5K2120;Y;N;N;;;FX;;PS, GND;96.00;155.00;Wood;;1998-07-17;MFL;;;
SVN000000012;;SVN;;;1.61;0.00;0.00;;5.97;0.00;140-KP;140-KP;140-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;84.60;0.00;Other;;2003-07-15;MFL;;;2011-07-11
SVN000000013;;SVN;;;1.22;0.00;0.00;;4.50;0.00;Loris;KP-162;KP-162;Koper;;N;;N;N;N;;;FX;;GNS, GTR;2.94;0.00;Wood;;2004-04-05;MFL;;;2018-06-26
SVN000000014;;SVN;;;5.41;0.00;0.00;;8.60;0.00;171-KP;171-KP;171-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;220.50;0.00;Fiber/Plastic;;2003-12-11;MFL;;;
SVN000000015;;SVN;;;14.81;0.00;0.00;;13.96;0.00;Due fratelli - Folpo;197-KP;197-KP;Koper;;Y;S5K2197;N;N;N;;;FX;;OTB, GNS;161.80;0.00;Wood;;2001-09-04;MFL;;2013-02-12;
SVN000000016;;SVN;;;1.13;0.00;0.00;;5.13;0.00;235-KP;235-KP;235-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;4.41;0.00;Wood;;2004-01-28;MFL;;;
SVN000000017;;SVN;;;1.26;0.00;0.00;;6.80;0.00;294-KP;294-KP;294-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;10.29;0.00;Wood;;2003-07-01;MFL;;2004-08-31;
SVN000000018;;SVN;;;0.92;0.00;0.00;;4.30;0.00;328-KP;328-KP;328-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;2.94;0.00;Wood;;2004-04-26;MFL;;;2018-04-06
SVN000000019;278526000;SVN;;;22.42;0.00;0.00;;16.20;0.00;Deklica;362-KP;362-KP;Koper;;Y;S5UZ3;Y;Y;Y;;;FX;;OTB, OTM;123.00;0.00;Wood;;1967-02-28;MFL;;;
SVN000000020;;SVN;;;3.00;0.00;0.00;;7.48;0.00;Igor;365-KP;365-KP;Koper;;N;;N;N;N;;;FX;;GNS, GND;33.00;0.00;Wood;;1999-08-30;MFL;;;
SVN000000021;;SVN;;;6.18;0.00;0.00;;11.96;0.00;Amigo II;396-KP;396-KP;Koper;;N;;N;N;N;;;FX;;PS, GNS;110.40;0.00;Wood;;1985-04-23;MFL;;;2011-12-20
SVN000000022;;SVN;;;5.16;0.00;0.00;;9.73;0.00;Palamida;413-KP;413-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;131.00;0.00;Fiber/Plastic;;2003-07-18;MFL;;2012-02-15;
SVN000000023;;SVN;;;1.69;0.00;0.00;;6.00;0.00;477-KP;477-KP;477-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;13.23;0.00;Wood;;2004-03-25;MFL;;;
SVN000000024;;SVN;;;1.74;0.00;0.00;;7.30;0.00;Sali;541-KP;541-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;27.78;0.00;Wood;;1999-05-19;MFL;;;2014-01-23
SVN000000025;;SVN;;;0.80;0.00;0.00;;4.92;0.00;635-KP;635-KP;635-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;2.94;0.00;Wood;;2004-04-13;MFL;;;
SVN000000026;;SVN;;;8.60;0.00;0.00;;11.46;0.00;654-KP;654-KP;654-KP;Koper;;Y;S5K2654;N;N;N;;;FX;;OTB, GTR;80.00;0.00;Wood;;1989-07-13;MFL;;2012-10-04;
SVN000000027;;SVN;;;2.16;0.00;0.00;;6.72;0.00;660-KP;660-KP;660-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;34.38;0.00;Wood;;2001-06-15;MFL;;;
SVN000000028;;SVN;;;2.48;0.00;0.00;;7.50;0.00;Artur III;661-KP;661-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;11.70;0.00;Wood;;2004-03-30;MFL;;;
SVN000000029;;SVN;;;0.68;0.00;0.00;;4.45;0.00;700-KP;700-KP;700-KP;Koper;;N;;N;;N;;;FX;;GNS, GTR;2.94;0.00;Wood;;2003-04-14;MFL;;;
SVN000000030;;SVN;;;2.18;0.00;0.00;;6.17;0.00;902-KP;902-KP;902-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;13.23;0.00;Wood;;2004-03-31;MFL;;;2012-08-08
SVN000000031;278329000;SVN;;;20.78;0.00;0.00;;15.80;0.00;Lastovka;921-KP;921-KP;Koper;;Y;S5UZ2;Y;Y;Y;;;FX;;OTB, GNS;129.00;0.00;Wood;;1955-05-10;MFL;;2023-07-17;
SVN000000032;;SVN;;;0.62;0.00;0.00;;4.83;0.00;Barčica;959-KP;959-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;3.31;0.00;Fiber/Plastic;;2004-04-13;MFL;;;
SVN000000033;;SVN;;;1.16;0.00;0.00;;6.06;0.00;1204-KP;1204-KP;1204-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;13.23;0.00;Wood;;2004-03-30;MFL;;;2013-11-14
SVN000000034;278063000;SVN;;;14.13;0.00;0.00;;13.40;0.00;Giovanna II;1221-KP;1221-KP;Koper;;Y;S5K3221;Y;;N;;;FX;;GNS, GTR;162.00;0.00;Other;;1998-02-02;MFL;;2024-10-17;
SVN000000035;;SVN;;;1.46;0.00;0.00;;6.22;0.00;1881-KP;1881-KP;1881-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;12.00;0.00;Wood;;2003-08-18;MFL;;;2010-04-15
SVN000000036;;SVN;;;0.58;0.00;0.00;;3.91;0.00;2109-KP;2109-KP;2109-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;2.94;0.00;Fiber/Plastic;;2004-03-16;MFL;;2012-04-26;
SVN000000037;;SVN;;;1.75;0.00;0.00;;5.55;0.00;2468-KP;2468-KP;2468-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;27.40;0.00;Fiber/Plastic;;2014-07-07;MFL;;;
SVN000000038;;SVN;;;0.92;0.00;0.00;;5.48;0.00;Špric;2758-KP;2758-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;84.52;0.00;Fiber/Plastic;;2004-02-04;MFL;;2012-08-08;
SVN000000039;;SVN;;;2.14;0.00;0.00;;6.80;0.00;2963-KP;2963-KP;2963-KP;Koper;;N;;N;N;N;;;FX;;GNS, GTR;16.17;0.00;Wood;;2004-04-09;MFL;;;2013-05-29
SVN000000040;;SVN;;;2.00;0.00;0.00;;7.90;0.00;269-KP;269-KP;269-KP;Koper;;N;;N;N;N;;;FX;;GTR, GNS;100.00;0.00;Fiber/Plastic;;2004-04-20;MFL;;;2018-04-06
SVN000000041;;SVN;;;0.80;0.00;0.00;;5.00;0.00;1-PI;1-PI;1-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;13.23;0.00;Fiber/Plastic;;1992-11-04;MFL;;;2016-11-15
SVN000000042;;SVN;;;1.93;0.00;0.00;;6.20;0.00;2-PI;2-PI;2-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;28.70;0.00;Wood;;1995-10-16;MFL;;;2022-01-03
SVN000000044;;SVN;;;0.64;0.00;0.00;;4.85;0.00;4-PI;4-PI;4-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;0.00;0.00;Fiber/Plastic;;2003-01-16;MFL;;;2018-04-06
SVN000000045;;SVN;;;7.61;0.00;0.00;;11.45;0.00;Maona;5-PI;5-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;90.00;0.00;Fiber/Plastic;;1997-07-25;MFL;;;2021-10-21
SVN000000046;;SVN;;;3.75;0.00;0.00;;7.95;0.00;Levante;6-PI;6-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;58.80;0.00;Wood;;2002-01-11;MFL;;;
SVN000000048;;SVN;;;0.70;0.00;0.00;;4.15;0.00;8-PI;8-PI;8-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;18.40;0.00;Fiber/Plastic;;2000-11-15;MFL;;;2013-06-20
SVN000000049;;SVN;;;1.65;0.00;0.00;;6.75;0.00;Verona;9-PI;9-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;94.88;0.00;Fiber/Plastic;;2001-04-25;MFL;;2010-04-15;
SVN000000050;;SVN;;;3.90;0.00;0.00;;8.05;0.00;Orkan;919-KP;919-KP;Piran;;N;;N;N;N;;;FX;;GNS, GTR;58.00;0.00;Other;;2001-05-11;MFL;;;
SVN000000051;;SVN;;;6.05;0.00;0.00;;9.40;0.00;Five;4330-PI;4330-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;242.36;0.00;Fiber/Plastic;;2002-03-19;MFL;;;2013-07-10
SVN000000053;;SVN;;;1.09;0.00;0.00;;4.50;0.00;13-PI;13-PI;13-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;2.94;0.00;Fiber/Plastic;;2002-12-24;MFL;;;
SVN000000054;;SVN;;;5.53;0.00;0.00;;9.99;0.00;Ma-Ni;14-PI;14-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;88.00;0.00;Fiber/Plastic;;1987-08-18;MFL;;;
SVN000000055;;SVN;;;2.16;0.00;0.00;;6.72;0.00;15-PI;15-PI;15-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;11.03;0.00;Wood;;1996-11-12;MFL;;;
SVN000000056;;SVN;;;1.62;0.00;0.00;;5.50;0.00;16-PI;16-PI;16-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;6.61;0.00;Wood;;2002-11-15;MFL;;;2018-04-06
SVN000000057;;SVN;;;0.94;0.00;0.00;;5.85;0.00;17-PI;17-PI;17-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;0.00;0.00;Wood;;2007-04-24;MFL;;;
SVN000000058;;SVN;;;2.02;0.00;0.00;;7.90;0.00;Valentina;18-PI;18-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;92.00;0.00;Wood;;1989-03-03;MFL;;;
SVN000000059;;SVN;;;1.09;0.00;0.00;;4.50;0.00;19-PI;19-PI;19-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;18.38;0.00;Fiber/Plastic;;1996-03-15;MFL;;;2017-03-07
SVN000000060;;SVN;;;8.20;0.00;0.00;;9.99;0.00;Furia;20-PI;20-PI;Piran;;N;;N;N;N;;;FX;;OTB, GNS;205.80;0.00;Fiber/Plastic;;1997-06-30;MFL;;;
SVN000000061;;SVN;;;1.09;0.00;0.00;;4.50;0.00;21-PI;21-PI;21-PI;Piran;;N;;N;N;N;;;FX;;GNS, GTR;18.23;0.00;Fiber/Plastic;;2003-03-31;MFL;;;
SVN000000062;;SVN;;;4.80;0.00;0.00;;10.90;0.00;Pirat;291-KP;291-KP;Koper;;N;;N;N;N;;;FX;;OTB, NO;177.00;0.00;Wood;;1998-07-22;MFL;;;
