CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
BEL013491989;;SWE;;;68.00;0.00;0.00;;16.55;0.00;NETANYA;SIRW;SG76;Krokås;;Y;SIRW;Y;N;N;;;FX;;GND, LLD;315.00;0.00;Metal;;1998-02-17;4M4;1989-01-01;1998-12-31;
DEU000130630;265741440;SWE;;;19.40;0.00;0.00;;11.89;0.00;AXELIA;SFD2268;VY21;Ronehamn;;Y;SFD2268;N;Y;Y;;;FX;;OTM, OTB;174.00;50.00;Fiber/Plastic;;2015-03-11;MFL;2000-01-01;;
DNK000001225;;SWE;;;1.33;0.00;0.00;;6.66;0.00;SOFIE;SFC5005;KA124;Hasslö;;Y;SFC5005;N;Y;N;;;FX;;GNS;20.59;0.00;Fiber/Plastic;;1996-07-01;4M1;1979-01-01;;
DNK000001439;;SWE;;;8.75;0.00;0.00;;10.30;0.00;GULLBRIS;SFD2362;LL467;Lysekil;;Y;SFD2362;N;Y;N;;;FX;;OTB, TBN;81.00;0.00;Wood;;2015-12-09;MFL;1958-01-01;;2019-11-22
DNK000001560;;SWE;;;4.46;0.00;0.00;;8.84;0.00;FELICIA;SFC8575;LL15;Grundsund;;Y;SFC8575;N;Y;N;;;FX;;FPO, GND;58.00;0.00;Fiber/Plastic;;2008-02-07;MFL;2008-01-01;;
DNK000001700;;SWE;;;5.29;0.00;0.00;;9.22;0.00;JOSEFINE;SFC9448;SD64;Grebbestad;;Y;SFC9448;N;Y;N;;;FX;;OTB, FPO;140.00;0.00;Metal;;2010-09-24;MFL;1989-01-01;;2019-11-20
DNK000002695;265757320;SWE;;;11.74;0.00;0.00;;11.81;0.00;MIA;SFD2285;NG6;Oxelösund;;Y;SFD2285;N;Y;Y;;;FX;;OTM, NO;140.00;0.00;Wood;;2015-05-12;MFL;1964-01-01;;2019-06-20
DNK000003274;265622460;SWE;;;5.04;0.00;0.00;;9.24;0.00;ANGELICA;SFC8101;SG24;Hörvik;;Y;SFC8101;N;N;Y;;;FX;;FPO;63.00;0.00;Fiber/Plastic;;2006-11-14;MFL;1970-01-01;;
DNK000003300;266086000;SWE;;;45.00;0.00;0.00;;18.01;0.00;SUNDLAND II;SMBP;SD341;Grebbestad;;Y;SMBP;Y;N;Y;;;FX;;OTB, TBN;246.00;0.00;Wood;;2009-06-01;MFL;1969-01-01;;
DNK000004968;265649560;SWE;;;7.15;0.00;0.00;;9.90;0.00;MILIA;SFC8728;SD4;Hamburgsund;;Y;SFC8728;N;Y;Y;;;FX;;GND, FPO;62.00;0.00;Wood;;2008-06-15;MFL;1980-01-01;;
DNK000005490;266077000;SWE;;;72.00;0.00;0.00;;20.51;0.00;GOTTSKÄR;SFE2775;GG56;Bohus-Björkö;;Y;SFE2775;Y;N;Y;;;FX;;OTB, TBN;213.00;0.00;Wood;;2019-02-05;MFL;1967-01-01;;2020-01-30
DNK000006100;;SWE;;;4.37;0.00;0.00;;9.67;0.00;HILD;SFD2564;HG79;"Viken"", Höganäs";;Y;SFD2564;N;Y;N;;;FX;;GND, GNS;96.00;0.00;Wood;;2017-06-06;MFL;1985-01-01;;
DNK000006137;265020000;SWE;;;373.00;0.00;0.00;;39.30;0.00;GLOMSKÄR;SBAM;SM53;Öregrund;;Y;SBAM;Y;N;Y;8331833;;FX;;OTM, NO;700.00;0.00;Metal;;2020-02-05;MFL;1983-01-01;;
DNK000006333;265686850;SWE;;;8.80;0.00;0.00;;10.23;0.00;AERÖ;SFC8535;GG477;Fiskebäck;;Y;SFC8535;N;Y;Y;;;FX;;TBN, NO;98.00;0.00;Wood;;2007-12-10;MFL;1964-01-01;;
DNK000006456;;SWE;;;15.49;0.00;0.00;;11.00;0.00;SILVERFJORD;SFC5408;SG134;Hällevik;;Y;SFC5408;N;Y;N;;;FX;;OTB, GNS;121.32;0.00;Wood;;1998-02-03;MFL;1966-01-01;;2010-02-03
DNK000006457;266354000;SWE;;;28.00;0.00;0.00;;14.86;0.00;SVAN;SFE2773;LL161;Ellös;;Y;SFE2773;Y;N;Y;;;FX;;TBN, OTB;153.00;0.00;Wood;;2019-02-04;MFL;1956-01-01;;
DNK000006974;265005000;SWE;;;25.00;0.00;0.00;;14.84;0.00;MELINA;SFE2009;SIN77;Simrishamn;;Y;SFE2009;Y;N;Y;;;FX;;OTB, TBN;224.00;0.00;Wood;;2018-02-01;MFL;1992-01-01;;
