CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
ESP000004885;;ESP;Secretaría General de Pesca;10/05/1989;1.37;0.00;0.00;4885;6.41;4.50;ADORACION;3-AL-1479;3-AL-1479;Tarifa;Baja Definitiva (desde el 17/01/2000);U;;N;;;;-;FX;MEDITERRANEO;LLS, NO;11,03 kW (15,0 CV)|11.00;0.00;Madera;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3446;1949-01-01;4E1;;;2000-01-17
ESP000026613;224185950;ESP;Secretaría General de Pesca;23/03/2006;4.00;6.44;0.00;26613;10.50;8.24;ALFONSITO CHICO;3AL-1-1-05;3AL-1-1-05;Tarifa;Alta Definitiva (desde el 10/01/2007);Y;EB2302;N;N;Y;;-;FX;MEDITERRANEO;GNS, GTR;22,06 kW (30,0 CV)|22.06;19.86;Poliester|Polyester;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14375;2005-12-28;MFL;2005-01-01;;
-;;;Andalucía;10/02/2006;;;;26570;;;ALMADRABA DIEZ;;;Tarifa;Alta Definitiva (desde el 10/02/2006);;;;;;;-;;;;261,10 kW (355,0 CV);;Poliester;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14332;;;;;
ESP000004900;224264580;ESP;Secretaría General de Pesca;10/05/1989;1.09;1.95;0.00;4900;6.00;0.00;AMALIA;3AL-1-433;3AL-1-433;Tarifa;Alta Definitiva (desde el 10/03/2022);N;;N;N;Y;;-;FX;MEDITERRANEO;GNS, GTR;22,06 kW (30,0 CV)|22.06;0.00;Madera|Wood;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/20965;1960-10-24;MFL;1960-01-01;;
ESP000027431;225025880;ESP;Secretaría General de Pesca;17/06/2011;1.98;3.80;0.00;27431;9.04;7.40;ANA ISABEL SEGUNDO;3AL-1-1-10;3AL-1-1-10;Tarifa;Alta Definitiva (desde el 06/08/2012);N;;N;N;Y;;-;FX;MEDITERRANEO;GNS, GTR;33,82 kW (46,0 CV)|33.82;0.00;Poliester|Polyester;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/15188;2011-03-18;MFL;2010-01-01;;
ESP000004879;;ESP;Secretaría General de Pesca;10/05/1989;0.76;1.41;0.00;4879;0.00;4.78;ANTONIO Y MANUEL;3-AL-1442;3-AL-1442;Ceuta;Baja Definitiva (desde el 13/03/2001);U;;N;;;;-;FX;MEDITERRANEO;LLS, LHP;7,35 kW (10,0 CV)|7.00;0.00;Madera;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3444;1963-06-26;4E1;;;2001-03-13
-;;;Andalucía;24/10/2022;;;;100401;;;AUXILIAR JC MACKINTOSH;;;Tarifa;Alta Definitiva (desde el 30/03/2023);;;;;;;-;;;;12,14 kW (16,5 CV);;Fibra de Vidrio/Plástico;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22913;;;;;
ESP000004908;;ESP;Secretaría General de Pesca;10/05/1989;0.79;1.76;0.00;4908;0.00;5.10;CARACOLA DEL MAR;3-AL-1469;3-AL-1469;Tarifa;Baja Definitiva (desde el 13/03/2001);U;;N;;;;-;FX;MEDITERRANEO;LHP, NO;5,88 kW (8,0 CV)|6.00;0.00;Madera;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3463;1940-10-31;4E1;;;2001-03-13
ESP000014184;224541850;ESP;Secretaría General de Pesca;10/05/1989;3.40;1.43;0.00;14184;8.30;0.00;CRISTO;3AL-1-492;3AL-1-492;Tarifa;Baja Definitiva (desde el 02/10/2015);N;;N;N;Y;;-;FX;MEDITERRANEO;GNS, GTR;22,06 kW (30,0 CV)|22.06;0.00;Madera|Wood;;1951-07-14;MFL;1950-01-01;;2015-10-02
ESP000022025;224264980;ESP;Secretaría General de Pesca;05/07/1991;10.05;8.35;0.00;22025;10.76;8.99;DASERBE;3AL-1-1-91;3AL-1-1-91;Tarifa;Alta Definitiva (desde el 03/09/2012);N;;Y;N;Y;;-;FX;MEDITERRANEO;PS, NK;44,12 kW (60,0 CV)|44.12;29.09;Poliester|Polyester;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/9861;1991-02-01;MFL;1991-01-01;;
