sources;port_name;coordinates;locode;country_region;fao_areas
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;'S-Gravendeel;51.78333333,4.616666667,0.000001;NLGRA;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;'S-Gravenmoer;51.66666667,4.8,0.000001;NLSGM;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;'S-Gravenpolder;51.45,3.9,0.000001;NLSGP;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;'S-Gravenzande;52.0,4.166666667,0.000001;NLGRZ;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;'S-Heerenberg;51.88333333,6.25,0.000001;NLHRB;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;'S-Heerenbroek;52.53333333,6.016666667,0.000001;NLSHB;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;'S-Heerenhoek;51.45,3.766666667,0.000001;NLSHE;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;'S-Hertogenbosch;51.7,5.316666667,0.000001;NLHTB;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;'T Goy;52.0,5.233333333,0.000001;NLGOY;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aa;59.43833333,27.15555556,0.000001;EEAAK;EE;{27.3.d.32}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aachen;;DEAAH;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aadamiansu;59.65222222,25.67555556,0.000001;EEAAD;EE;{27.3.d.32}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aalburg;;NLALB;NL;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aalen;;DEAAL;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aalsmeer;;NLAAM;NL;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aalst;51.95,5.533333333,0.000001;NLAAL;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aalten;;NLLTE;NL;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aarbergen;;DEAAR;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aardenburg;;NLAAR;NL;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aarle Rixtel;51.5,5.633333333,0.000001;NLARI;NL;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aasiaat (Egedesminde);;GLJEG;GL;
