PUERTO BASE;AÑO;NUM_BARCOS
Adra;2006;45
Adra;2007;48
Adra;2008;53
Adra;2009;51
Adra;2010;47
Adra;2011;46
Adra;2012;47
Adra;2013;42
Adra;2014;37
Adra;2015;36
Adra;2016;32
Adra;2017;31
Adra;2018;29
Adra;2019;31
Adra;2020;28
Adra;2021;30
Adra;2022;32
Adra;2023;31
Adra;2024;32
Adra;2025;37
Agaete;2006;33
Agaete;2007;35
Agaete;2008;29
Agaete;2009;28
Agaete;2010;27
Agaete;2011;26
Agaete;2012;19
Agaete;2013;19
Agaete;2014;18
Agaete;2015;19
Agaete;2016;19
Agaete;2017;17
Agaete;2018;17
Agaete;2019;16
Agaete;2020;18
Agaete;2021;16
Agaete;2022;16
Agaete;2023;16
Agaete;2024;18
Agaete;2025;15
Alcalá;2006;8
Alcalá;2007;8
Alcalá;2008;8
Alcalá;2009;8
Alcalá;2010;6
Alcalá;2011;5
Alcalá;2012;2
Alcalá;2013;2
Alcalá;2014;2
Alcalá;2015;2
Alcalá;2016;2
Alcalá;2017;1
Alcalá;2018;1
Alcalá;2019;1
Alcalá;2020;1
Alcalá;2021;1
Alcalá;2022;1
Alcalá;2023;1
Alcalá;2024;1
Alcudia;2006;33
Alcudia;2007;32
Alcudia;2008;35
Alcudia;2009;36
Alcudia;2010;37
Alcudia;2011;39
Alcudia;2012;40
Alcudia;2013;41
Alcudia;2014;40
Alcudia;2015;40
Alcudia;2016;38
Alcudia;2017;39
Alcudia;2018;40
Alcudia;2019;39
Alcudia;2020;38
Alcudia;2021;37
Alcudia;2022;34
Alcudia;2023;33
Alcudia;2024;33
Alcudia;2025;32
Aldan-Hio;2006;48
Aldan-Hio;2007;49
Aldan-Hio;2008;42
Aldan-Hio;2009;41
Aldan-Hio;2010;38
Aldan-Hio;2011;38
Aldan-Hio;2012;33
Aldan-Hio;2013;34
Aldan-Hio;2014;33
Aldan-Hio;2015;28
Aldan-Hio;2016;26
Aldan-Hio;2017;26
Aldan-Hio;2018;24
Aldan-Hio;2019;24
Aldan-Hio;2020;24
Aldan-Hio;2021;23
Aldan-Hio;2022;21
Aldan-Hio;2023;20
Aldan-Hio;2024;20
Aldan-Hio;2025;21
Algeciras;2006;90
Algeciras;2007;81
Algeciras;2008;70
Algeciras;2009;56
Algeciras;2010;52
Algeciras;2011;49
Algeciras;2012;42
Algeciras;2013;40
Algeciras;2014;41
Algeciras;2015;38
Algeciras;2016;36
Algeciras;2017;36
Algeciras;2018;35
Algeciras;2019;36
Algeciras;2020;37
Algeciras;2021;36
Algeciras;2022;36
Algeciras;2023;34
Algeciras;2024;26
